path,column,dtype,missing,meaning
experiments/runs/q2-calibration-sensitivity-20260925/A_scale_offset_audit.csv,dataset,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/A_scale_offset_audit.csv,target,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/A_scale_offset_audit.csv,n,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/A_scale_offset_audit.csv,raw_mae,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-calibration-sensitivity-20260925/A_scale_offset_audit.csv,median_offset,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/A_scale_offset_audit.csv,offset_adjusted_mae,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-calibration-sensitivity-20260925/A_scale_offset_audit.csv,raw_mean_signed_error,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/B_source_offset_audit.csv,dataset,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/B_source_offset_audit.csv,calibration_mode,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/B_source_offset_audit.csv,n,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/B_source_offset_audit.csv,offset_added,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/B_source_offset_audit.csv,mae,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-calibration-sensitivity-20260925/B_source_offset_audit.csv,rmse,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-calibration-sensitivity-20260925/B_source_offset_audit.csv,mean_signed_error,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/Q_axis_sensitivity.csv,scenario_variant,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/Q_axis_sensitivity.csv,n,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/Q_axis_sensitivity.csv,min_difference,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/Q_axis_sensitivity.csv,median_difference,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/Q_axis_sensitivity.csv,max_difference,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-calibration-sensitivity-20260925/Q_axis_sensitivity.csv,mean_absolute_difference,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,source_row_dataset,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,source_row_index,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,quality_axis,object,0,quality proxy or assumed quality; see data.md
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,N_params_B,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,D_tokens_B,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,Q_A,float64,0,quality proxy or assumed quality; see data.md
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,Q_B_assumed,float64,0,quality proxy or assumed quality; see data.md
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,p_effect_centered,float64,0,normalized mixture fraction
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,Q_effect_centered,float64,0,quality proxy or assumed quality; see data.md
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,scenario_variant,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,predicted_loss,float64,0,model prediction; never an observed training target
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,observed_joint_row,bool,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/combined_scenario_examples.csv,interpretation,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/q1_support_effects_for_combination.csv,dataset,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/q1_support_effects_for_combination.csv,index,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/q1_support_effects_for_combination.csv,Q_A,float64,0,quality proxy or assumed quality; see data.md
experiments/runs/q2-combined-scenario-20260925/q1_support_effects_for_combination.csv,delta_p_mean_loss,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/q1_support_effects_for_combination.csv,quality_axis,object,0,quality proxy or assumed quality; see data.md
experiments/runs/q2-combined-scenario-20260925/q1_support_effects_for_combination.csv,Q_B_assumed,float64,0,quality proxy or assumed quality; see data.md
experiments/runs/q2-combined-scenario-20260925/q1_support_effects_for_combination.csv,delta_Q_mean_loss,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/scenario_sensitivity_summary.csv,quality_axis,object,0,quality proxy or assumed quality; see data.md
experiments/runs/q2-combined-scenario-20260925/scenario_sensitivity_summary.csv,scenario_variant,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-combined-scenario-20260925/scenario_sensitivity_summary.csv,predicted_loss_min,float64,0,model prediction; never an observed training target
experiments/runs/q2-combined-scenario-20260925/scenario_sensitivity_summary.csv,predicted_loss_median,float64,0,model prediction; never an observed training target
experiments/runs/q2-combined-scenario-20260925/scenario_sensitivity_summary.csv,predicted_loss_max,float64,0,model prediction; never an observed training target
experiments/runs/q2-combined-scenario-20260925/scenario_sensitivity_summary.csv,predicted_loss_mean,float64,0,model prediction; never an observed training target
experiments/runs/q2-combined-scenario-20260925/scenario_sensitivity_summary.csv,n_scenarios,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,dataset,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,model_type,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,n,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,mae,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,rmse,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,r2,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,mean_signed_error,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,mean_absolute_percentage,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,target,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_domain_validation.csv,validation_role,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_validation_summary.csv,dataset,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_validation_summary.csv,validation_role,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_validation_summary.csv,model_type,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_validation_summary.csv,n,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_validation_summary.csv,mae,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/mixture_validation_summary.csv,rmse,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/mixture_validation_summary.csv,r2,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_validation_summary.csv,mean_signed_error,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/mixture_validation_summary.csv,mean_absolute_percentage,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,dataset,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,model_type,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,n,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,mae,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,rmse,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,r2,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,mean_signed_error,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,mean_absolute_percentage,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,train_source,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/quality_cross_source_validation.csv,test_source,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_external_validation.csv,dataset,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_external_validation.csv,model_type,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_external_validation.csv,n,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_external_validation.csv,mae,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/scale_external_validation.csv,rmse,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/scale_external_validation.csv,r2,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_external_validation.csv,mean_signed_error,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_external_validation.csv,mean_absolute_percentage,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_leave_one_size_out.csv,dataset,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_leave_one_size_out.csv,model_type,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_leave_one_size_out.csv,n,int64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_leave_one_size_out.csv,mae,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/scale_leave_one_size_out.csv,rmse,float64,0,error metric; see protocol/axis/model columns
experiments/runs/q2-local-model-validation-20260925/scale_leave_one_size_out.csv,r2,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_leave_one_size_out.csv,mean_signed_error,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_leave_one_size_out.csv,mean_absolute_percentage,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-local-model-validation-20260925/scale_leave_one_size_out.csv,held_out_N_params_B,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-model-finalization-20260925/mixture_coefficients.csv,axis,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-model-finalization-20260925/mixture_coefficients.csv,domain,object,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-model-finalization-20260925/mixture_coefficients.csv,coefficient_full,float64,0,source/stage-specific field; defined by producing script and run report
experiments/runs/q2-model-finalization-20260925/mixture_coefficients.csv,p_on_Q_loading,float64,0,normalized mixture fraction
