partition,high,low,n,rate
A1_full,value,expression,85,0.0016591840718329105
A1_full,value,cleanliness,201,0.003923482334569588
A1_full,value,no_ads,1884,0.03677532695686121
A1_full,value,nonrepetition,2031,0.03964473941050166
A1_full,expression,value,326,0.006363458910794456
A1_full,expression,cleanliness,54,0.0010540698809291431
A1_full,expression,no_ads,2904,0.05668553581885614
A1_full,expression,nonrepetition,1472,0.02873316416162405
A1_full,cleanliness,value,408,0.00796408354479797
A1_full,cleanliness,expression,6,0.00011711887565879367
A1_full,cleanliness,no_ads,2080,0.040601210228381805
A1_full,cleanliness,nonrepetition,1745,0.034062073004099164
A1_full,no_ads,value,1135,0.022154987312121805
A1_full,no_ads,expression,1374,0.026820222525863753
A1_full,no_ads,cleanliness,1233,0.0240679289478821
A1_full,no_ads,nonrepetition,2523,0.04924848721452274
A1_full,nonrepetition,value,3622,0.07070076127269179
A1_full,nonrepetition,expression,3455,0.06744095256685535
A1_full,nonrepetition,cleanliness,3334,0.06507905524106969
A1_full,nonrepetition,no_ads,1939,0.037848916650400154
A1_fit,value,expression,67,0.0016373811676727193
A1_fit,value,cleanliness,153,0.003739094308267553
A1_fit,value,no_ads,1528,0.03734206603289426
A1_fit,value,nonrepetition,1622,0.03963928737261419
A1_fit,expression,value,247,0.006036315647987488
A1_fit,expression,cleanliness,38,0.0009286639458442288
A1_fit,expression,no_ads,2297,0.05613529167379457
A1_fit,expression,nonrepetition,1181,0.02886189789584301
A1_fit,cleanliness,value,330,0.008064713213910408
A1_fit,cleanliness,expression,6,0.0001466311493438256
A1_fit,cleanliness,no_ads,1658,0.040519074268677145
A1_fit,cleanliness,nonrepetition,1399,0.034189496322002
A1_fit,no_ads,value,888,0.02170141010288619
A1_fit,no_ads,expression,1101,0.026906815904592
A1_fit,no_ads,cleanliness,961,0.023485422419902733
A1_fit,no_ads,nonrepetition,2007,0.049048119455509666
A1_fit,nonrepetition,value,2870,0.07013856643612991
A1_fit,nonrepetition,expression,2772,0.06774359099684743
A1_fit,nonrepetition,cleanliness,2663,0.06507979178376794
A1_fit,nonrepetition,no_ads,1580,0.03861286932720741
A1_holdout,value,expression,18,0.0017457084666860634
A1_holdout,value,cleanliness,48,0.004655222577829503
A1_holdout,value,no_ads,356,0.03452623411890214
A1_holdout,value,nonrepetition,409,0.03966637571525555
A1_holdout,expression,value,79,0.007661720492677723
A1_holdout,expression,cleanliness,16,0.0015517408592765009
A1_holdout,expression,no_ads,607,0.05886916884880225
A1_holdout,expression,nonrepetition,291,0.02822228687809136
A1_holdout,cleanliness,value,78,0.007564736688972942
A1_holdout,cleanliness,expression,0,0.0
A1_holdout,cleanliness,no_ads,422,0.04092716516341771
A1_holdout,cleanliness,nonrepetition,346,0.03355639608185433
A1_holdout,no_ads,value,247,0.023954999515080982
A1_holdout,no_ads,expression,273,0.026476578411405296
A1_holdout,no_ads,cleanliness,272,0.026379594607700514
A1_holdout,no_ads,nonrepetition,516,0.050043642711667155
A1_holdout,nonrepetition,value,752,0.07293182038599554
A1_holdout,nonrepetition,expression,683,0.06623993793036563
A1_holdout,nonrepetition,cleanliness,671,0.06507613228590825
A1_holdout,nonrepetition,no_ads,359,0.03481718553001649
A2_full,value,expression,0,0.0
A2_full,value,cleanliness,4,0.00022827141471209268
A2_full,value,no_ads,645,0.03680876562232494
A2_full,value,nonrepetition,8901,0.5079609655880842
A2_full,expression,value,2,0.00011413570735604634
A2_full,expression,cleanliness,0,0.0
A2_full,expression,no_ads,474,0.02705016264338298
A2_full,expression,nonrepetition,8176,0.4665867716715174
A2_full,cleanliness,value,26,0.0014837641956286023
A2_full,cleanliness,expression,0,0.0
