partition,domain,n,n_conflict,conflict_rate,education_disagreement_n,education_disagreement_rate,value_ad_tradeoff_n,positive_only,negative_only,middle
A1_full,ALL,51230,15124,0.29521764591059924,415,0.008100722233066562,310,14958,14439,6709
A1_full,arxiv,1419,798,0.5623678646934461,7,0.004933051444679351,0,581,31,9
A1_full,book,171,80,0.4678362573099415,1,0.005847953216374269,1,3,86,2
A1_full,c4,10000,3939,0.3939,153,0.0153,209,3064,2595,402
A1_full,commoncrawl,9640,2584,0.2680497925311203,35,0.0036307053941908715,98,3477,2393,1186
A1_full,github,10000,3347,0.3347,42,0.0042,0,685,5167,801
A1_full,stackexchange,10000,1535,0.1535,58,0.0058,0,3416,2138,2911
A1_full,wikipedia,10000,2841,0.2841,119,0.0119,2,3732,2029,1398
A1_fit,ALL,40919,12085,0.2953395733033554,327,0.007991397639238496,256,11910,11513,5411
A1_fit,arxiv,1146,641,0.5593368237347295,5,0.004363001745200698,0,471,26,8
A1_fit,book,135,64,0.4740740740740741,1,0.007407407407407408,1,3,66,2
A1_fit,c4,7944,3153,0.3969033232628399,117,0.01472809667673716,169,2406,2046,339
A1_fit,commoncrawl,7676,2025,0.26380927566440854,27,0.0035174570088587808,85,2767,1931,953
A1_fit,github,8001,2669,0.3335833020872391,33,0.004124484439445069,0,553,4131,648
A1_fit,stackexchange,7957,1232,0.1548322231996984,43,0.005404046751288174,0,2711,1686,2328
A1_fit,wikipedia,8060,2301,0.2854838709677419,101,0.012531017369727048,1,2999,1627,1133
A1_holdout,ALL,10311,3039,0.2947337794588304,88,0.008534574726020755,54,3048,2926,1298
A1_holdout,arxiv,273,157,0.575091575091575,2,0.007326007326007326,0,110,5,1
A1_holdout,book,36,16,0.4444444444444444,0,0.0,0,0,20,0
A1_holdout,c4,2056,786,0.38229571984435795,36,0.017509727626459144,40,658,549,63
A1_holdout,commoncrawl,1964,559,0.2846232179226069,8,0.004073319755600814,13,710,462,233
A1_holdout,github,1999,678,0.3391695847923962,9,0.004502251125562781,0,132,1036,153
A1_holdout,stackexchange,2043,303,0.14831130690161526,15,0.007342143906020558,0,705,452,583
A1_holdout,wikipedia,1940,540,0.27835051546391754,18,0.009278350515463918,1,733,402,265
A2_full,ALL,17523,10206,0.5824345146379045,51,0.002910460537579182,16,6920,300,97
A2_full,arxiv,17523,10206,0.5824345146379045,51,0.002910460537579182,16,6920,300,97
A2_overlap,ALL,1419,798,0.5623678646934461,7,0.004933051444679351,0,581,31,9
A2_overlap,arxiv,1419,798,0.5623678646934461,7,0.004933051444679351,0,581,31,9
A2_new,ALL,16104,9408,0.5842026825633383,44,0.00273224043715847,16,6339,269,88
A2_new,arxiv,16104,9408,0.5842026825633383,44,0.00273224043715847,16,6339,269,88
A3_full,ALL,203752,69142,0.3393439082806549,985,0.004834308374887118,44,13486,105140,15984
A3_full,github,203752,69142,0.3393439082806549,985,0.004834308374887118,44,13486,105140,15984
A3_overlap,ALL,10000,3347,0.3347,42,0.0042,0,685,5167,801
A3_overlap,github,10000,3347,0.3347,42,0.0042,0,685,5167,801
A3_new,ALL,193752,65795,0.3395835913951856,943,0.0048670465337132,44,12801,99973,15183
A3_new,github,193752,65795,0.3395835913951856,943,0.0048670465337132,44,12801,99973,15183
union_unique,ALL,261086,90327,0.3459664631577335,1402,0.005369878124449415,370,34098,114681,21980
union_unique,arxiv,17523,10206,0.5824345146379045,51,0.002910460537579182,16,6920,300,97
union_unique,book,171,80,0.4678362573099415,1,0.005847953216374269,1,3,86,2
union_unique,c4,10000,3939,0.3939,153,0.0153,209,3064,2595,402
union_unique,commoncrawl,9640,2584,0.2680497925311203,35,0.0036307053941908715,98,3477,2393,1186
union_unique,github,203752,69142,0.3393439082806549,985,0.004834308374887118,44,13486,105140,15984
union_unique,stackexchange,10000,1535,0.1535,58,0.0058,0,3416,2138,2911
union_unique,wikipedia,10000,2841,0.2841,119,0.0119,2,3732,2029,1398
