partition,lambda,mean,p10,p90,delta_vs_core_mean,rank_correlation_original,rank_correlation_core,rank_shift_ge_10pp_vs_core
A1_full,0.0,58.69442865319256,42.157533428439685,74.98248082801929,3.7933522980751004e-17,0.942355005203722,1.0,0.0
A1_full,0.1,56.3451229731004,39.4699053310285,73.03346178067676,-2.3493056800921677,0.9368658383078216,0.9972729409459729,0.002576615264493461
A1_full,0.25,52.82116445296215,35.39527976261675,70.3248197624761,-5.873264200230423,0.9204064858767715,0.9841317792937326,0.05473355455787624
A1_full,0.5,46.94790025273172,28.257132276012925,66.27738864299141,-11.746528400460846,0.8783988834884316,0.9456808093207936,0.23460862775717353
A1_fit,0.0,58.679218596747695,42.16354354657658,74.97940319978856,1.1200177535259039e-17,0.9421257537050277,0.9999999999999998,0.0
A1_fit,0.1,56.3316510934087,39.47786734194701,73.00528034907455,-2.347567503338982,0.9367002551169099,0.9972844333618067,0.0026637992130794986
A1_fit,0.25,52.81029983840022,35.426693039412626,70.31539204850957,-5.8689187583474585,0.920361929377084,0.9841999710160338,0.054840049854590775
A1_fit,0.5,46.94138108005277,28.291937916998304,66.31492877379063,-11.737837516694915,0.8785667985608872,0.9458485230416831,0.23226374056061977
A1_holdout,0.0,58.75478946200531,42.15009506072992,74.98899189935095,1.4402427676642512e-16,0.9433171958696919,1.0,0.0
A1_holdout,0.1,56.39858586177314,39.45270336461344,73.12826997193682,-2.356203600232176,0.9375825342169971,0.9972100685719787,0.0023276112889147513
A1_holdout,0.25,52.864280461424876,35.259759185838604,70.3627846888887,-5.890509000580444,0.920629491569757,0.9838373654535861,0.05508680050431578
A1_holdout,0.5,46.973771460844425,28.16319792558104,66.20097022194246,-11.781018001160888,0.8778136505724342,0.9449748994374076,0.24459315294345843
A2_full,0.0,76.5525471374364,70.29314809763139,82.55653761198266,2.392399783704041e-17,0.6035340856325799,1.0,0.0
A2_full,0.1,74.8364511303611,68.5037646091062,80.63310469268204,-1.7160960070752986,0.6090174009626186,0.9954813879323988,0.01169891000399475
A2_full,0.25,72.26230711974814,65.66358044830574,77.89276669916642,-4.290240017688252,0.6133900341438301,0.9732159749413694,0.10078182959538892
A2_full,0.5,67.97206710205988,60.60919899589547,73.45881847001628,-8.580480035376503,0.6100660204182383,0.894239212470947,0.3789876162757519
A2_overlap,0.0,76.72896844898113,70.09902616462138,83.0743311191647,-3.154629482233003e-16,0.6314765341303092,1.0,0.0
A2_overlap,0.1,75.01842770812618,68.2756747535085,81.19307254310512,-1.7105407408549518,0.6382104973102659,0.9955920340010164,0.009161381254404511
A2_overlap,0.25,72.45261659684374,65.54707708431229,78.26140129151433,-4.276351852137384,0.6427038463572158,0.9742125975736518,0.09513742071881606
A2_overlap,0.5,68.17626474470636,60.575677950250075,73.8117784112676,-8.552703704274768,0.6387060255778718,0.9001280283735477,0.3749119097956307
A2_new,0.0,76.53700181695191,70.30617476744746,82.52503724668424,5.3828995133340925e-17,0.6007858622223455,1.0,0.0
A2_new,0.1,74.82041630895965,68.52002470855484,80.61371119314506,-1.7165855079922556,0.6061447334262166,0.9954587548565448,0.011922503725782414
A2_new,0.25,72.24553804697126,65.68819118007225,77.85539115922842,-4.291463769980643,0.6104680205667647,0.9731055046861798,0.10134128166915052
A2_new,0.5,67.95407427699061,60.62480636746073,73.41988411228328,-8.582927539961286,0.6072170110829203,0.8935987090042355,0.3802781917536016
A3_full,0.0,46.93572648489136,35.93592772178927,57.70732071178354,1.5806151349840268e-17,0.9593903446677837,1.0,0.0
A3_full,0.1,44.33511524691746,32.822405476937824,55.41095975961913,-2.600611237973898,0.9599854490128759,0.9958618822228814,0.0033913777533472063
A3_full,0.25,40.434198389956606,27.84842598438678,51.98542437888906,-6.5015280949347485,0.9487222477075914,0.978311744253342,0.10270328634810946
A3_full,0.5,33.932670295021865,18.994983367450295,46.65386591532291,-13.003056189869497,0.9135498925046811,0.9359230162232051,0.2735433271820645
A3_overlap,0.0,46.97258718903012,35.786649475806804,57.63165168667888,-1.6520118606422328e-17,0.9597416884774166,1.0,0.0
A3_overlap,0.1,44.377250777370485,32.645937593500456,55.317744603439664,-2.5953364116596447,0.9600517600445166,0.9960428221924271,0.0045
A3_overlap,0.25,40.48424615988101,27.64409109945877,51.954556516444285,-6.488341029149114,0.9489902995779036,0.9793075837210767,0.094
A3_overlap,0.5,33.9959051307319,18.815501824096568,46.53165063168812,-12.976682058298229,0.9148577409765772,0.9385741400897418,0.2749
A3_new,0.0,46.93382401657419,35.94381940653332,57.710616132202034,1.7474586770184964e-17,0.9593734709981835,0.9999999999999998,0.0
A3_new,0.1,44.33294053231049,32.831295993707094,55.41430546748395,-2.6008834842637043,0.9599845395837501,0.9958515945064009,0.0033496428423964654
A3_new,0.25,40.43161530591493,27.86072039524424,51.98830347644092,-6.502208710659264,0.9487092246975377,0.9782585730960073,0.10316280606135679
A3_new,0.5,33.929406595255664,19.007428961064637,46.66140815990282,-13.004417421318529,0.9134812012201117,0.9357802137660913,0.27379846401585534
union_unique,0.0,51.06742501713049,36.969412267560045,70.01991946025186,2.3731386040722495e-17,0.9597193856690046,0.9999999999999998,0.0
union_unique,0.1,48.57045007456409,33.83647649258893,68.03088962603576,-2.496974942566397,0.9592795892081789,0.9974585052995358,0.0006434661375945091
union_unique,0.25,44.8249876607145,28.847337841291186,65.22088770219862,-6.242437356415995,0.9506868255924624,0.9862056542992551,0.04998353033100204
union_unique,0.5,38.58255030429851,19.86344987273892,60.802929367512235,-12.48487471283199,0.9236757750784558,0.9563446377083258,0.19930597580873735
