id,dataset,domain,Q_candidate,score_status
BkiUdvE4eIfiUWiFdbiw,A1,arxiv,43.05792632,candidate_not_validated
BkiUdb44dbjiU9oEeWKt,A1,arxiv,72.73784063,candidate_not_validated
BkiUd0E5qhDBdMC-Fcd6,A1,arxiv,80.9044886,candidate_not_validated
BkiUdPA4dbgg3Wyis_JT,A1,arxiv,77.38414532,candidate_not_validated
BkiUdILxK7FjYAb_67PT,A1,arxiv,80.86732557,candidate_not_validated
BkiUfYzxK6-gD5TlfjZo,A1,arxiv,57.95810453,candidate_not_validated
BkiUdZY5qrqCyq8KqH5a,A1,arxiv,73.23451838,candidate_not_validated
BkiUcQrxK02iP15vfcUN,A1,arxiv,74.58514028,candidate_not_validated
BkiUd-7xK7IAD7XMJnpB,A1,arxiv,73.68025135,candidate_not_validated
BkiUdC84eIZjfagW4Wnr,A1,arxiv,74.135722,candidate_not_validated
BkiUbCM5jDKDx8o5qk9R,A1,arxiv,78.87900076,candidate_not_validated
BkiUdafxaL3SuhsxKGrm,A1,arxiv,80.23917478,candidate_not_validated
BkiUbg05ixsDMJPI2xCB,A1,arxiv,78.39623107,candidate_not_validated
BkiUdEU5qsBC4wbX-bkK,A1,arxiv,67.70785456,candidate_not_validated
BkiUbhg25V5hd-428xX-,A1,arxiv,72.60750167,candidate_not_validated
BkiUdGM4dbgg4JMhnNMO,A1,arxiv,64.44325697,candidate_not_validated
BkiUbfvxK6Ot9TMSpOC0,A1,arxiv,72.4647833,candidate_not_validated
BkiUbQY5qX_AY1OJK5_l,A1,arxiv,73.42997323,candidate_not_validated
BkiUd044eIXh4qTE56WZ,A1,arxiv,72.73875115,candidate_not_validated
BkiUe5rxK03BfHDu5U-k,A1,arxiv,78.59542056,candidate_not_validated
BkiUdMg4eIXhx5LdSlN-,A1,arxiv,69.91160746,candidate_not_validated
BkiUdmU5qhLAB-QFvl37,A1,arxiv,73.16655387,candidate_not_validated
BkiUc5XxK3YB9raXz91v,A1,arxiv,79.59726498,candidate_not_validated
BkiUbtg4uzlgqIdPjLwn,A1,arxiv,68.6056438,candidate_not_validated
BkiUb4bxaL3SuhzLnCaY,A1,arxiv,74.34102637,candidate_not_validated
BkiUc_w25V5ih3AxzUJY,A1,arxiv,68.20417419,candidate_not_validated
BkiUdKg4uBhhxJVAbSlB,A1,arxiv,80.40807428,candidate_not_validated
BkiUfS45qhLBlnv5FwQt,A1,arxiv,66.93745729,candidate_not_validated
BkiUdjg5qoTA-AMJsvsi,A1,arxiv,72.27123406,candidate_not_validated
BkiUeAY5qsMAI5yh7a-M,A1,arxiv,74.00540749,candidate_not_validated
BkiUdHjxaJJQnMJkXr4l,A1,arxiv,71.6553449,candidate_not_validated
BkiUcNbxK6Ot9Pm3uYdF,A1,arxiv,77.20074148,candidate_not_validated
BkiUdozxK6Ot9UjEBvcU,A1,arxiv,69.02427958,candidate_not_validated
BkiUfd425V5jLX3kjIIW,A1,arxiv,74.48531952,candidate_not_validated
BkiUc__xK7ICUyBu0Ytk,A1,arxiv,71.45422656,candidate_not_validated
BkiUdODxK3YB9ohkMhwr,A1,arxiv,74.85292387,candidate_not_validated
BkiUbdvxK7Ehm308o-UQ,A1,arxiv,73.00076854,candidate_not_validated
BkiUc3U5qoYAq3Pz8uon,A1,arxiv,78.07141849,candidate_not_validated
BkiUbGE5qdmB6uAdshyW,A1,arxiv,68.2299973,candidate_not_validated
BkiUfo8241xiP6pGxj80,A1,arxiv,75.45409815,candidate_not_validated
BkiUfK3xK4tBVhat52yo,A1,arxiv,78.23702789,candidate_not_validated
BkiUdf_xK7FjYEXSFEcl,A1,arxiv,72.24135234,candidate_not_validated
BkiUelHxK7IDF1DduRfs,A1,arxiv,75.6168903,candidate_not_validated
BkiUaYzxK7ICUn2IXhit,A1,arxiv,77.89230989,candidate_not_validated
BkiUdJQ4ubng-JcX4VCP,A1,arxiv,76.7859842,candidate_not_validated
BkiUbbnxK0-nUh8iIHaL,A1,arxiv,73.65405725,candidate_not_validated
BkiUctrxK7FjYHGHzffr,A1,arxiv,67.1331385,candidate_not_validated
BkiUawDxK6EuNAra_58K,A1,arxiv,67.04543823,candidate_not_validated
BkiUairxK0wg09lJ_0zB,A1,arxiv,74.94764105,candidate_not_validated
BkiUdpY4eIOjSBZeeNPE,A1,arxiv,73.56901363,candidate_not_validated
BkiUd-k241xg-MOC_zQI,A1,arxiv,74.62618187,candidate_not_validated
BkiUeGvxK6nrxjHzCYv8,A1,arxiv,67.79509797,candidate_not_validated
BkiUd0Q4eIZjxkFh19au,A1,arxiv,71.76471313,candidate_not_validated
BkiUfEs5qhDCNj5tich1,A1,arxiv,72.2823515,candidate_not_validated
BkiUeZbxaKgTq1C9OpJ4,A1,arxiv,74.12785901,candidate_not_validated
BkiUdgg5qoYDgbkp4TEY,A1,arxiv,75.41160961,candidate_not_validated
BkiUbVHxK7FjYCv2QCBP,A1,arxiv,64.49144257,candidate_not_validated
BkiUfXDxK1ThhAqzYsFE,A1,arxiv,75.45735831,candidate_not_validated
BkiUbq825V5hd-4287Pf,A1,arxiv,77.81050859,candidate_not_validated
BkiUdBw25YjgKNDlVLJa,A1,arxiv,80.17949541,candidate_not_validated
BkiUbSLxK7Ehm4qsy0t6,A1,arxiv,78.70512903,candidate_not_validated
BkiUdgc5qhLBWY0XuZmA,A1,arxiv,78.0536448,candidate_not_validated
BkiUd3c4eIZijir1ousz,A1,arxiv,73.63386742,candidate_not_validated
BkiUd3A4dbjiVENjpLkA,A1,arxiv,72.01045244,candidate_not_validated
BkiUdNs5qWTA6f4qDodK,A1,arxiv,78.13035162,candidate_not_validated
BkiUdbfxK02iP5rWKrVw,A1,arxiv,74.29209996,candidate_not_validated
BkiUexfxK6nrxjHzDAkJ,A1,arxiv,71.97535103,candidate_not_validated
BkiUbUY5qhLACFWlxBr3,A1,arxiv,72.93224864,candidate_not_validated
BkiUajHxK6nrxjHy_BsR,A1,arxiv,74.42590277,candidate_not_validated
BkiUbVI5i7PA9OgJDNwj,A1,arxiv,74.26736608,candidate_not_validated
BkiUbEQ241xg-EsBtZ7v,A1,arxiv,74.26135006,candidate_not_validated
BkiUdNc5qsBDGOt8lJgH,A1,arxiv,75.6689897,candidate_not_validated
BkiUd9c4uzqh_N6SCiss,A1,arxiv,69.21371903,candidate_not_validated
BkiUd6I4eILhQCVbe7nL,A1,arxiv,74.81304341,candidate_not_validated
BkiUbv_xK7Ehm2ZQzdWT,A1,arxiv,73.77867283,candidate_not_validated
BkiUdmA5qhLAB_d2fBwl,A1,arxiv,73.52111086,candidate_not_validated
BkiUakrxK5YsWOzBAUlJ,A1,arxiv,77.19258637,candidate_not_validated
BkiUd6TxK6wB9lIs9ivi,A1,arxiv,70.5953552,candidate_not_validated
BkiUdjg5qX_Bw5o9IG_E,A1,arxiv,73.5090981,candidate_not_validated
BkiUe0nxK7kjXLlzdoBA,A1,arxiv,71.78002958,candidate_not_validated
BkiUd2Y4ubnhDSvJRyHO,A1,arxiv,76.0114937,candidate_not_validated
BkiUe404uzliCt-nLV60,A1,arxiv,73.80642783,candidate_not_validated
BkiUdmQ5qoTA_-bStSha,A1,arxiv,76.64300264,candidate_not_validated
BkiUbhzxK3YB9raXyg57,A1,arxiv,76.60503863,candidate_not_validated
BkiUeFrxK4sA-9F9lSY9,A1,arxiv,73.88330632,candidate_not_validated
BkiUbuo5qoaAwmU2sBb7,A1,arxiv,67.43561346,candidate_not_validated
BkiUd5E5qg5A51O-MOXL,A1,arxiv,66.21204542,candidate_not_validated
BkiUbynxK4sA-9F9jLdg,A1,arxiv,72.64022618,candidate_not_validated
BkiUa245qsNCPV6Yix3b,A1,arxiv,74.62229374,candidate_not_validated
BkiUdd4241xg-QyzEflc,A1,arxiv,78.29277784,candidate_not_validated
BkiUbb04dbjiU9i0yjOT,A1,arxiv,69.98949343,candidate_not_validated
BkiUec7xK02iP4Y2vYfY,A1,arxiv,69.06865767,candidate_not_validated
BkiUbL7xK7Ehm308osVM,A1,arxiv,79.17373961,candidate_not_validated
BkiUdgs5qhLA5d-DF18W,A1,arxiv,41.34114738,candidate_not_validated
BkiUal_xK2li-DeXxupJ,A1,arxiv,68.91244525,candidate_not_validated
BkiUbQHxK0iCl7UGVngH,A1,arxiv,77.55901148,candidate_not_validated
BkiUdY45qoYA4xX7Fs7m,A1,arxiv,73.73266163,candidate_not_validated
BkiUc5025V5ipNhMBkE8,A1,arxiv,67.30612796,candidate_not_validated
BkiUbmzxK1UJ-rRH-1MD,A1,arxiv,79.57975597,candidate_not_validated
BkiUbh04uzqh_Kly7RNW,A1,arxiv,75.22657896,candidate_not_validated
BkiUdK84eIZjvCjkaEGo,A1,arxiv,71.51608988,candidate_not_validated
BkiUbLPxK6-gDw5AtUZ3,A1,arxiv,71.26980824,candidate_not_validated
BkiUd1_xaKgQMdMtQloi,A1,arxiv,74.97082081,candidate_not_validated
BkiUaafxK1Thg9qFa1Qs,A1,arxiv,72.30538768,candidate_not_validated
BkiUbRw4ubnjorKKr43C,A1,arxiv,74.15196073,candidate_not_validated
BkiUfgM5qhDCiwNLy3CU,A1,arxiv,65.55581602,candidate_not_validated
BkiUa2nxK4sA-5Y3qUsP,A1,arxiv,72.36642174,candidate_not_validated
BkiUa_U4ubnjoqNEqKRH,A1,arxiv,71.59822454,candidate_not_validated
BkiUdW85qsJBjnJ89-mW,A1,arxiv,73.28747218,candidate_not_validated
BkiUdlg4eILhQJztnknv,A1,arxiv,77.88406828,candidate_not_validated
BkiUfQPxK0zjCrsOBupv,A1,arxiv,74.60694674,candidate_not_validated
BkiUfufxK3YB9i3RN54o,A1,arxiv,75.60748375,candidate_not_validated
BkiUdX85qdmDH5kXI0R3,A1,arxiv,75.62880905,candidate_not_validated
BkiUbjE5qoaAwj4XNMHR,A1,arxiv,76.02811665,candidate_not_validated
BkiUbdM5qsMAIwbUZ5AS,A1,arxiv,80.89267294,candidate_not_validated
BkiUdTrxK02iP5rWKmQx,A1,arxiv,75.77045937,candidate_not_validated
BkiUdBQ5qYVBSqkygqvC,A1,arxiv,76.00724337,candidate_not_validated
BkiUdqk25V5i1dkg3xWc,A1,arxiv,71.6818222,candidate_not_validated
BkiUbXXxK7Tt6CA5FTG7,A1,arxiv,80.86002015,candidate_not_validated
BkiUc_Y4c3aisMwilqSJ,A1,arxiv,72.14683077,candidate_not_validated
BkiUdlE5qoYAo52Vqk4-,A1,arxiv,74.39630446,candidate_not_validated
BkiUed04eIOjR4Mj-00Z,A1,arxiv,76.09970364,candidate_not_validated
BkiUdWg5qg5A59MXG8c0,A1,arxiv,59.07803135,candidate_not_validated
BkiUfsA5qhLBrnqN0sQf,A1,arxiv,68.09616261,candidate_not_validated
BkiUbwnxK4sA-7sDdyQM,A1,arxiv,70.0041209,candidate_not_validated
BkiUd9Y4eILhP_ZFB6pa,A1,arxiv,76.87116501,candidate_not_validated
BkiUeTzxK6mkyCfODSv-,A1,arxiv,71.21064646,candidate_not_validated
BkiUfbI25V5jXvdT3FCG,A1,arxiv,65.1964955,candidate_not_validated
BkiUdhHxaKgQIQzdyQmI,A1,arxiv,79.94286882,candidate_not_validated
BkiUc-vxK7IDPXIhnLPg,A1,arxiv,73.16182494,candidate_not_validated
BkiUdfTxK6Ot9UjEBlvA,A1,arxiv,77.98745605,candidate_not_validated
BkiUdG45qX_Bl-uWGa7i,A1,arxiv,78.99242983,candidate_not_validated
BkiUfSvxK6nrxjHzDfaq,A1,arxiv,78.28253618,candidate_not_validated
BkiUdPc5qoYA0D8lKjOo,A1,arxiv,75.43886938,candidate_not_validated
BkiUbWY25YjgKLaE8IjZ,A1,arxiv,73.54701602,candidate_not_validated
BkiUc-XxK3xgpbERC94a,A1,arxiv,74.21735366,candidate_not_validated
BkiUftw5qhDCYT-7h2Ps,A1,arxiv,65.81907613,candidate_not_validated
BkiUduA4uzlhgyWvJ1dJ,A1,arxiv,73.02710809,candidate_not_validated
BkiUfN_xK7IAE_K9ytSd,A1,arxiv,56.22029697,candidate_not_validated
