partition,domain,n,Q_original_mean,Q_core_mean_mean,Q_core_min_mean,Q_candidate_mean,delta_vs_core_mean,delta_vs_original_mean,Q_applicability_scenario_mean,Q_candidate_p10,Q_candidate_p90
A1_full,ALL,51230,60.94713054317855,58.694428653192574,35.201371852270874,52.82116445296215,-5.873264200230423,-8.125966090216417,54.7157047753457,35.39527976261675,70.3248197624761
A1_full,arxiv,1419,63.862359595226955,76.72896844898113,59.623561040431596,72.45261659684374,-4.276351852137384,8.590257001616795,72.45261659684374,65.54707708431229,78.26140129151433
A1_full,book,171,56.03252048079187,61.78400012766471,38.33270522519439,55.921176402047124,-5.86282372561758,-0.11134407874473866,55.921176402047124,42.54715626732006,68.30893069958994
A1_full,c4,10000,66.00211266187871,61.08452997792024,32.47372134154928,53.93182781882749,-7.152702159092741,-12.070284843051212,53.93182781882749,32.87085609400567,72.5695935409785
A1_full,commoncrawl,9640,64.33570995356366,64.12883811209728,40.44492775111909,58.20786052185272,-5.920977590244547,-6.127849431710934,58.20786052185272,43.554314800136154,71.96497217280046
A1_full,github,10000,51.701407532414024,46.97258718903012,21.019223072433668,40.48424615988101,-6.488341029149114,-11.217161372533013,50.18997623145196,27.64409109945877,51.954556516444285
A1_full,stackexchange,10000,61.38787333596662,59.832444635162524,41.796537956133896,55.323467965405385,-4.508976669757159,-6.064405370561249,55.323467965405385,42.93485625965593,66.90411913506058
A1_full,wikipedia,10000,61.100906920424805,59.03744922303736,36.94216270599998,53.513627593778025,-5.523821629259345,-7.587279326646784,53.513627593778025,39.64118850284703,69.3595790494014
A1_fit,ALL,40919,60.924490838141324,58.679218596747695,35.203543563357854,52.81029983840022,-5.868918758347458,-8.114190999741098,54.71237832573217,35.426693039412626,70.31539204850957
A1_fit,arxiv,1146,63.88279142886751,76.66315771354095,59.643494398628945,72.40824188481295,-4.254915828728001,8.525450455945457,72.40824188481295,65.8034208544533,78.20634306479009
A1_fit,book,135,56.19986361327165,62.18135419617805,39.02274039217582,56.3917007451775,-5.789653451000559,0.19183713190584023,56.3917007451775,44.37063836319246,69.36037888613701
A1_fit,c4,7944,65.99865608058316,61.08020614686056,32.449691446350805,53.92257747173311,-7.157628675127437,-12.076078608850036,53.92257747173311,32.88924029322742,72.39647471778916
A1_fit,commoncrawl,7676,64.2890951170234,64.0583265768886,40.43583151481495,58.15270281137019,-5.905623765518413,-6.136392305653213,58.15270281137019,43.42199891352611,71.88975930334875
A1_fit,github,8001,51.67022851625255,46.94157371057139,20.973437178436342,40.449539577537635,-6.492034133033763,-11.220688938714916,50.177217320711726,27.548052228192788,51.98410501196319
A1_fit,stackexchange,7957,61.379004188282565,59.83343440130244,41.79412362913943,55.323606708261686,-4.509827693040751,-6.055397480020882,55.323606708261686,42.9021404036723,66.90662466239054
A1_fit,wikipedia,8060,61.11537559969055,59.08653138707372,37.015406997023014,53.568750289561045,-5.517781097512676,-7.546625310129504,53.568750289561045,39.747501651208424,69.44494287723788
A1_holdout,ALL,10311,61.036975765797,58.75478946200531,35.192753459683544,52.864280461424876,-5.890509000580444,-8.17269530437214,54.7289057249855,35.259759185838604,70.3627846888887
A1_holdout,arxiv,273,63.776590799065524,77.00522889885085,59.53988474558113,72.63889286053343,-4.36633603831743,8.862302061467913,72.63889286053343,65.07444735686691,78.41663564698379
A1_holdout,book,36,55.404983733992694,60.2939223707397,35.74507334901406,54.156710115308286,-6.137212255431408,-1.2482736186844094,54.156710115308286,41.29465625774818,66.16613271453537
A1_holdout,c4,2056,66.0154682464176,61.1012364535711,32.566568368522375,53.96756943230891,-7.1336670212621796,-12.04789881410867,53.96756943230891,32.58241218684502,73.12146040170182
A1_holdout,commoncrawl,1964,64.51789706419659,64.40442189227132,40.48047902905727,58.4234361764678,-5.98098571580351,-6.09446088772879,58.4234361764678,44.28124071881199,72.224291865472
A1_holdout,github,1999,51.82620158359361,47.09671867534744,21.20248117041897,40.623159299115315,-6.473559376232117,-11.20304228447828,50.2410437876464,27.905308669290232,51.83494228447556
A1_holdout,stackexchange,2043,61.42241656069598,59.82858973101414,41.80594118662581,55.32292759491706,-4.505662136097084,-6.099488965778922,55.32292759491706,43.11204056891276,66.88576535864391
A1_holdout,wikipedia,1940,61.04079477873311,58.833530541525505,36.637859105151726,53.284612682432055,-5.5489178590934465,-7.756182096301051,53.284612682432055,39.36982620502781,68.57749588329092
A2_full,ALL,17523,63.50495891176884,76.55254713743639,59.39158706668338,72.26230711974814,-4.290240017688252,8.757348207979296,72.26230711974814,65.66358044830574,77.89276669916642
A2_full,arxiv,17523,63.50495891176884,76.55254713743639,59.39158706668338,72.26230711974814,-4.290240017688252,8.757348207979296,72.26230711974814,65.66358044830574,77.89276669916642
A2_overlap,ALL,1419,63.862359595226955,76.72896844898113,59.623561040431596,72.45261659684374,-4.276351852137384,8.590257001616795,72.45261659684374,65.54707708431229,78.26140129151433
A2_overlap,arxiv,1419,63.862359595226955,76.72896844898113,59.623561040431596,72.45261659684374,-4.276351852137384,8.590257001616795,72.45261659684374,65.54707708431229,78.26140129151433
A2_new,ALL,16104,63.47346663843134,76.53700181695191,59.37114673702934,72.24553804697126,-4.291463769980643,8.772071408539928,72.24553804697126,65.68819118007222,77.85539115922842
A2_new,arxiv,16104,63.47346663843134,76.53700181695191,59.37114673702934,72.24553804697126,-4.291463769980643,8.772071408539928,72.24553804697126,65.68819118007222,77.85539115922842
A3_full,ALL,203752,51.689312095130276,46.93572648489136,20.929614105152364,40.434198389956606,-6.5015280949347485,-11.255113705173667,50.15905129255587,27.84842598438678,51.98542437888906
A3_full,github,203752,51.689312095130276,46.93572648489136,20.929614105152364,40.434198389956606,-6.5015280949347485,-11.255113705173667,50.15905129255587,27.84842598438678,51.98542437888906
A3_overlap,ALL,10000,51.701407532414024,46.97258718903012,21.019223072433668,40.48424615988101,-6.488341029149114,-11.217161372533013,50.18997623145196,27.64409109945877,51.954556516444285
A3_overlap,github,10000,51.701407532414024,46.97258718903012,21.019223072433668,40.48424615988101,-6.488341029149114,-11.217161372533013,50.18997623145196,27.64409109945877,51.954556516444285
A3_new,ALL,193752,51.688687820940395,46.93382401657419,20.924989173937135,40.43161530591493,-6.502208710659264,-11.257072515025468,50.157455183153346,27.86072039524424,51.98830347644092
A3_new,github,193752,51.688687820940395,46.93382401657419,20.924989173937135,40.43161530591493,-6.502208710659264,-11.257072515025468,50.157455183153346,27.86072039524424,51.98830347644092
union_unique,ALL,261086,54.23226387916311,51.06742501713049,26.097675591466512,44.8249876607145,-6.242437356415995,-9.407276218448613,52.414280953385905,28.847337841291186,65.22088770219861
union_unique,arxiv,17523,63.50495891176884,76.55254713743639,59.39158706668338,72.26230711974814,-4.290240017688252,8.757348207979296,72.26230711974814,65.66358044830574,77.89276669916642
