features,tail_probability,partition,n_conflict,rate
all16,0.1,A1_full,14928,0.2913917626390787
all16,0.1,A1_fit,11888,0.2905251838998998
all16,0.1,A1_holdout,3040,0.29483076326253516
all16,0.1,A2_full,15886,0.9065799235290761
all16,0.1,A2_overlap,1283,0.9041578576462297
all16,0.1,A2_new,14603,0.9067933432687532
all16,0.1,A3_full,61441,0.3015479602654207
all16,0.1,A3_overlap,2974,0.2974
all16,0.1,A3_new,58467,0.3017620463272637
all16,0.1,union_unique,87998,0.33704603080977147
all16,0.15,A1_full,24119,0.4707983603357408
all16,0.15,A1_fit,19252,0.4704904811945551
all16,0.15,A1_holdout,4867,0.4720201726311706
all16,0.15,A2_full,17138,0.9780288763339611
all16,0.15,A2_overlap,1384,0.9753347427766033
all16,0.15,A2_new,15754,0.9782662692498758
all16,0.15,A3_full,84967,0.4170118575523185
all16,0.15,A3_overlap,4150,0.415
all16,0.15,A3_new,80817,0.4171156942896073
all16,0.15,union_unique,120690,0.46226147706119824
all16,0.2,A1_full,32438,0.6331836814366583
all16,0.2,A1_fit,25876,0.6323712700701386
all16,0.2,A1_holdout,6562,0.6364077199107749
all16,0.2,A2_full,17367,0.9910974148262284
all16,0.2,A2_overlap,1400,0.9866102889358703
all16,0.2,A2_new,15967,0.9914927968206657
all16,0.2,A3_full,107766,0.5289076917036397
all16,0.2,A3_overlap,5218,0.5218
all16,0.2,A3_new,102548,0.5292745365209134
all16,0.2,union_unique,150953,0.578173475406571
all16,0.25,A1_full,40918,0.7987116923677533
all16,0.25,A1_fit,32729,0.7998484811456781
all16,0.25,A1_holdout,8189,0.7942003685384541
all16,0.25,A2_full,17470,0.9969754037550648
all16,0.25,A2_overlap,1412,0.9950669485553206
all16,0.25,A2_new,16058,0.9971435668156979
all16,0.25,A3_full,151201,0.7420835132906671
all16,0.25,A3_overlap,7401,0.7401
all16,0.25,A3_new,143800,0.7421858871134234
all16,0.25,union_unique,200776,0.7690033169147331
without_DSIR13,0.1,A1_full,13812,0.26960765176654305
without_DSIR13,0.1,A1_fit,10981,0.2683594418240915
without_DSIR13,0.1,A1_holdout,2831,0.27456114828823586
without_DSIR13,0.1,A2_full,15373,0.8773041145922502
without_DSIR13,0.1,A2_overlap,1226,0.8639887244538408
without_DSIR13,0.1,A2_new,14147,0.8784773969200199
without_DSIR13,0.1,A3_full,57122,0.28035062232517965
without_DSIR13,0.1,A3_overlap,2781,0.2781
without_DSIR13,0.1,A3_new,54341,0.28046678227837646
without_DSIR13,0.1,union_unique,82300,0.31522180430969104
without_DSIR13,0.15,A1_full,22757,0.44421237556119464
without_DSIR13,0.15,A1_fit,18161,0.4438280505388695
without_DSIR13,0.15,A1_holdout,4596,0.4457375618271749
without_DSIR13,0.15,A2_full,16977,0.9688409518917993
without_DSIR13,0.15,A2_overlap,1367,0.9633544749823819
without_DSIR13,0.15,A2_new,15610,0.969324391455539
without_DSIR13,0.15,A3_full,79396,0.38966979465232243
without_DSIR13,0.15,A3_overlap,3908,0.3908
without_DSIR13,0.15,A3_new,75488,0.3896114620752302
without_DSIR13,0.15,union_unique,113855,0.4360823636656121
without_DSIR13,0.2,A1_full,30947,0.604079640835448
without_DSIR13,0.2,A1_fit,24696,0.6035338106991862
without_DSIR13,0.2,A1_holdout,6251,0.606245756958588
without_DSIR13,0.2,A2_full,17305,0.987559207898191
without_DSIR13,0.2,A2_overlap,1395,0.9830866807610994
without_DSIR13,0.2,A2_new,15910,0.987953303527074
without_DSIR13,0.2,A3_full,101704,0.4991558365071263
without_DSIR13,0.2,A3_overlap,4933,0.4933
without_DSIR13,0.2,A3_new,96771,0.499458070110244
without_DSIR13,0.2,union_unique,143628,0.5501175857763342
without_DSIR13,0.25,A1_full,39904,0.7789186023814172
without_DSIR13,0.25,A1_fit,31935,0.7804442923825118
without_DSIR13,0.25,A1_holdout,7969,0.7728639317234022
without_DSIR13,0.25,A2_full,17439,0.9952063002910461
without_DSIR13,0.25,A2_overlap,1408,0.9922480620155039
without_DSIR13,0.25,A2_new,16031,0.9954669647292598
without_DSIR13,0.25,A3_full,147364,0.723251796301386
without_DSIR13,0.25,A3_overlap,7221,0.7221
without_DSIR13,0.25,A3_new,140143,0.7233112432387795
without_DSIR13,0.25,union_unique,196078,0.7510092459955724
core11,0.1,A1_full,12028,0.23478430607066172
core11,0.1,A1_fit,9562,0.23368117500427674
core11,0.1,A1_holdout,2466,0.23916205993599068
core11,0.1,A2_full,15236,0.869485818638361
core11,0.1,A2_overlap,1214,0.8555320648343904
core11,0.1,A2_new,14022,0.870715350223547
core11,0.1,A3_full,51808,0.25426989673720995
core11,0.1,A3_overlap,2498,0.2498
core11,0.1,A3_new,49310,0.2545005987034972
core11,0.1,union_unique,75360,0.28864052457810835
core11,0.15,A1_full,20613,0.4023618973257857
core11,0.15,A1_fit,16449,0.4019892959260979
core11,0.15,A1_holdout,4164,0.40384055862670937
core11,0.15,A2_full,16858,0.9620498773041146
core11,0.15,A2_overlap,1354,0.9541930937279774
core11,0.15,A2_new,15504,0.96274217585693
core11,0.15,A3_full,74310,0.3647080764851388
core11,0.15,A3_overlap,3648,0.3648
core11,0.15,A3_new,70662,0.36470333209463646
core11,0.15,union_unique,106779,0.40898018277502435
core11,0.2,A1_full,28913,0.564376341987117
core11,0.2,A1_fit,23074,0.563894523326572
core11,0.2,A1_holdout,5839,0.566288429832218
core11,0.2,A2_full,17230,0.9832791188723392
core11,0.2,A2_overlap,1387,0.9774489076814659
core11,0.2,A2_new,15843,0.9837928464977646
core11,0.2,A3_full,97542,0.4787290431504967
core11,0.2,A3_overlap,4757,0.4757
core11,0.2,A3_new,92785,0.4788853792476981
core11,0.2,union_unique,137541,0.5268034287552761
core11,0.25,A1_full,37389,0.7298262736677728
core11,0.25,A1_fit,29915,0.7310784721034238
core11,0.25,A1_holdout,7474,0.7248569488895354
core11,0.25,A2_full,17390,0.9924099754608229
core11,0.25,A2_overlap,1405,0.9901338971106413
core11,0.25,A2_new,15985,0.9926105315449578
