dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,ALL,51230,51230,64.008171052280858,64.508638665171063,10.827594566757911,49.770340039238626,77.83551109784301,
A1,fit,ALL,40919,40919,63.979325473784805,64.463118652697588,10.831436071896466,49.759339768128562,77.811053366030706,
A1,holdout,ALL,10311,10311,64.12264416124016,64.702337044149488,10.812102155842888,49.856605487052278,77.937679021130961,
A2,full,ALL,17523,17523,68.423453391387071,68.85301086520758,6.6999602920180257,60.072301019849732,76.537097137636678,
A2,overlap_A1,ALL,1419,1419,68.828975515837939,69.620489828410925,6.8497206662502013,60.252487355450739,76.95834472953706,
A2,new_only,ALL,16104,16104,68.387720909109646,68.770887560141617,6.6856412889498245,60.06862925201596,76.482921599871815,
A3,full,ALL,203752,203752,52.131344436537084,52.559415958089502,7.6784699581142348,42.248799723594978,61.198683069477063,
A3,overlap_A1,ALL,10000,10000,52.150919542328097,52.644093313375457,7.6465993174609332,42.138324123574776,61.2035288389771,
A3,new_only,ALL,193752,193752,52.130334118925369,52.555229821671674,7.680129589650611,42.254294235958213,61.1981918428867,
A1+A2+A3,unique_union,ALL,261086,261086,55.463758902195721,54.507580505262496,10.119623652560707,43.473860358230922,69.748113617466657,
A1+A2+A3,all_file_rows_diagnostic,ALL,272505,261086,55.411784988968762,54.473209544487489,10.091350113389204,43.438658864787392,69.65818843038636,
