dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,ALL,51230,51230,60.94713054317868,61.035716375354212,8.5940849594898712,49.842983035990571,72.053385057112735,
A1,fit,ALL,40919,40919,60.924490838141423,60.998211246986124,8.5945548358534456,49.829699726764652,72.02487225767193,
A1,holdout,ALL,10311,10311,61.036975765797166,61.180665998744196,8.5920485876892183,49.898608245704573,72.164539804852183,
A2,full,ALL,17523,17523,63.504958911768838,63.767158013773944,5.4920014497301262,56.692645104158366,70.367824093611972,
A2,overlap_A1,ALL,1419,1419,63.862359595226806,64.405653734340603,5.6028494851220048,56.906174482532123,70.651443264974063,
A2,new_only,ALL,16104,16104,63.473466638431347,63.704456784709933,5.4811866865427943,56.682858649086306,70.329682887358544,
A3,full,ALL,203752,203752,51.68931209513098,51.871708774228708,5.7298912611995263,44.517183555275409,58.442048773799506,
A3,overlap_A1,ALL,10000,10000,51.701407532414713,51.938064102872389,5.7047356160229059,44.435631057928731,58.417488464301094,
A3,new_only,ALL,193752,193752,51.688687820941112,51.868391960986003,5.7312005750251362,44.521202543962154,58.443320512951367,
A1+A2+A3,unique_union,ALL,261086,261086,54.232263879163661,53.297823285463409,7.7224911498550854,45.386539019930112,65.270892487780884,
A1+A2+A3,all_file_rows_diagnostic,ALL,272505,261086,54.18953637821361,53.271085756798186,7.6948994542706615,45.3659621560655,65.193215732347525,
