dataset_id,subset,indicator,n_records,zero_rate,one_rate,normalized_mean
A1,full,fineweb_edu,51230,0.010111262931875854,0.010072223306656256,0.39607442388559294
A1,full,fluency_en_fluent_margin,51230,0.010267421432754246,0.010033183681436658,0.55174549004290541
A1,full,modernbert_cleanliness_expected,51230,0.0099941440562170605,0.010247901620144446,0.65788339175586996
A1,full,modernbert_readability_expected,51230,0.0098184657427288699,0.010150302557095451,0.69036237853825044
A1,full,dsir_books,51230,0.010033183681436658,0.010169822369705251,0.93150435303538315
A1,full,dsir_wiki,51230,0.009935584618387663,0.010247901620144446,0.93443958431111906
A1,full,dsir_math,51230,0.0099746242436072607,0.010208861994924849,0.92049189813191112
A1,full,qurater_writing_style,51230,0.010404060121022839,0.0098379855553386679,0.39193960278725254
A1,full,qurater_facts_trivia,51230,0.010345500683193442,0.0098184657427288699,0.42033170240560408
A1,full,qurater_educational_value,51230,0.0096623072418504791,0.010325980870583642,0.45202279118668903
A1,full,ad_en_no_ad_margin,51230,0.010052703494046458,0.010599258247120828,0.70071692357454796
A1,full,rps_doc_frac_unique_words,51230,0.010111262931875854,0.010306461057973844,0.47291858774492601
A1,full,rps_doc_frac_no_alph_words,51230,0.010228381807534648,0.010013663868826858,0.85984562344991888
A1,full,rps_doc_frac_chars_top_2gram,51230,0.010228381807534648,0.083017763029474917,0.83280208365463781
A1,full,rps_doc_frac_chars_top_3gram,51230,0.010208861994924849,0.2257661526449346,0.85980566852214246
A1,full,rps_lines_ending_with_terminal_punctution_mark,51230,0.0099941440562170605,0.20936951005270349,0.54410947998701586
A1,fit,fineweb_edu,40919,0.010019795205161417,0.010019795205161417,0.39619641510201942
A1,fit,fluency_en_fluent_margin,40919,0.010068672254942691,0.010068672254942691,0.55148272709857526
A1,fit,modernbert_cleanliness_expected,40919,0.010019795205161417,0.010019795205161417,0.65726983547622053
A1,fit,modernbert_readability_expected,40919,0.010019795205161417,0.010019795205161417,0.69004058258110479
A1,fit,dsir_books,40919,0.010019795205161417,0.010019795205161417,0.93101950411279588
A1,fit,dsir_wiki,40919,0.010019795205161417,0.010019795205161417,0.93397065520477018
A1,fit,dsir_math,40919,0.010019795205161417,0.010019795205161417,0.91999929475627651
A1,fit,qurater_writing_style,40919,0.010068672254942691,0.010019795205161417,0.39222483701032967
A1,fit,qurater_facts_trivia,40919,0.010044233730052055,0.010019795205161417,0.42018683189950701
A1,fit,qurater_educational_value,40919,0.010019795205161417,0.010117549304723967,0.45185964936585948
