indicator,raw_direction,critic_weight,fit_normalized_sd,information,oriented_p01,oriented_p99
fineweb_edu,benefit,0.061486665068110812,0.19785086232414076,2.6489607635727648,0.035733166038990016,3.237854328155517
fluency_en_fluent_margin,benefit,0.068928253481454038,0.26528307288379188,2.9695583387342692,-3.3720703125,7.1484375
modernbert_cleanliness_expected,benefit,0.080007598098029875,0.29973175004198421,3.4468772686664741,1.0003027795870698,4.9999983652504341
modernbert_readability_expected,benefit,0.076401313720169742,0.27441181623661592,3.2915117791143111,1.0027719088942413,4.9919925708465591
dsir_books,benefit,0.042563670371297276,0.13815272778609627,1.8337226883636437,-56861.634403391996,-234.39492144220003
dsir_wiki,benefit,0.041669780491548056,0.13529607147861361,1.7952122371009598,-61035.004896138802,-233.23648886100023
dsir_math,benefit,0.0429540754490043,0.13996613607637545,1.8505420707711935,-45719.557870865799,-230.56234010440028
qurater_writing_style,benefit,0.062938624407097243,0.23391453948064556,2.711513893019899,-5.30859375,5.6282031249999989
qurater_facts_trivia,benefit,0.058322398170958106,0.21888006325813036,2.5126382154764482,-4.203125,5.0617968749999989
qurater_educational_value,benefit,0.063702624314508682,0.22484544009656901,2.7444284408468835,-4.7024218749999998,8.421875
ad_en_no_ad_margin,benefit,0.077529724508821882,0.21908855955960616,3.3401258306492347,-3.4451367187499997,8.1051171874999994
rps_doc_frac_unique_words,benefit,0.068619123169464044,0.19596554651303705,2.9562404255512176,17.252055302868051,100
rps_doc_frac_no_alph_words,cost,0.04939756927499226,0.16676582989166769,2.1281398605758293,-99.878841907079504,-16.636880168577591
rps_doc_frac_chars_top_2gram,cost,0.058623687254240567,0.18125275801044677,2.5256183138314974,-21,-0
rps_doc_frac_chars_top_3gram,cost,0.057762349002360124,0.1803326379800336,2.4885102477025538,-20.142019923294054,-0
rps_lines_ending_with_terminal_punctution_mark,benefit,0.089092543217942993,0.30494191321854924,3.8382737305692851,0.4062403459993823,100
