mixture_domain,mapping_type_A16,mapping_status,w_arxiv,w_book,w_c4,w_commoncrawl,w_github,w_stackexchange,w_wikipedia
arxiv,direct,official_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0
github,direct,official_candidate,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stackexchange,direct,official_candidate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
wikipedia_en,near_direct,official_candidate,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gutenberg_pg_19,near_direct,official_candidate,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pile_cc,near_direct,official_candidate,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dm_mathematics,inferred,semantic_prior_exploratory,0.8,0.0,0.0,0.0,0.0,0.0,0.2
freelaw,inferred,semantic_prior_exploratory,0.0,0.5,0.0,0.2,0.0,0.0,0.3
nih_exporter,inferred,semantic_prior_exploratory,0.6,0.0,0.0,0.2,0.0,0.0,0.2
pubmed_central,inferred,semantic_prior_exploratory,0.7,0.0,0.0,0.1,0.0,0.0,0.2
philpapers,inferred,semantic_prior_exploratory,0.6,0.2,0.0,0.0,0.0,0.0,0.2
enron_emails,inferred,semantic_prior_exploratory,0.0,0.0,0.0,0.5,0.0,0.3,0.2
ubuntu_irc,inferred,semantic_prior_exploratory,0.0,0.0,0.0,0.5,0.0,0.4,0.1
europarl,inferred,semantic_prior_exploratory,0.0,0.2,0.0,0.3,0.0,0.0,0.5
hackernews,inferred,semantic_prior_exploratory,0.0,0.0,0.0,0.5,0.0,0.4,0.1
pubmed_abstracts,inferred,semantic_prior_exploratory,0.7,0.0,0.0,0.1,0.0,0.0,0.2
uspto_backgrounds,inferred,semantic_prior_exploratory,0.3,0.4,0.0,0.1,0.0,0.0,0.2
