mixture_domain,mapping_type_A16,official_quality_domain_A16,candidate_quality_domains,candidate_weights,q_soft_0_100,q_semantic_range_low_0_100,q_semantic_range_high_0_100,q_semantic_range_width_0_100,mapping_status,note
arxiv,direct,arxiv,arxiv,"{""arxiv"":1.0}",63.862359595226806,63.862359595226806,63.862359595226806,0.0,official_candidate,"range is candidate-domain min/max, not a statistical confidence interval"
github,direct,github,github,"{""github"":1.0}",51.70140753241471,51.70140753241471,51.70140753241471,0.0,official_candidate,"range is candidate-domain min/max, not a statistical confidence interval"
stackexchange,direct,stackexchange,stackexchange,"{""stackexchange"":1.0}",61.38787333596658,61.38787333596658,61.38787333596658,0.0,official_candidate,"range is candidate-domain min/max, not a statistical confidence interval"
wikipedia_en,near_direct,wikipedia,wikipedia,"{""wikipedia"":1.0}",61.10090692042493,61.10090692042493,61.10090692042493,0.0,official_candidate,"range is candidate-domain min/max, not a statistical confidence interval"
gutenberg_pg_19,near_direct,book,book,"{""book"":1.0}",56.03252048079162,56.03252048079162,56.03252048079162,0.0,official_candidate,"range is candidate-domain min/max, not a statistical confidence interval"
pile_cc,near_direct,commoncrawl,commoncrawl,"{""commoncrawl"":1.0}",64.33570995356357,64.33570995356357,64.33570995356357,0.0,official_candidate,"range is candidate-domain min/max, not a statistical confidence interval"
dm_mathematics,inferred,(none),arxiv;wikipedia,"{""arxiv"":0.8,""wikipedia"":0.2}",63.310069060266436,61.10090692042493,63.862359595226806,2.7614526748018733,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
freelaw,inferred,(none),book;wikipedia;commoncrawl,"{""book"":0.5,""wikipedia"":0.3,""commoncrawl"":0.2}",59.213674307236005,56.03252048079162,64.33570995356357,8.303189472771948,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
nih_exporter,inferred,(none),arxiv;wikipedia;commoncrawl,"{""arxiv"":0.6,""wikipedia"":0.2,""commoncrawl"":0.2}",63.40473913193378,61.10090692042493,64.33570995356357,3.2348030331386326,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
pubmed_central,inferred,(none),arxiv;wikipedia;commoncrawl,"{""arxiv"":0.7,""wikipedia"":0.2,""commoncrawl"":0.1}",63.357404096100105,61.10090692042493,64.33570995356357,3.2348030331386326,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
philpapers,inferred,(none),arxiv;book;wikipedia,"{""arxiv"":0.6,""book"":0.2,""wikipedia"":0.2}",61.7441012373794,56.03252048079162,63.862359595226806,7.829839114435188,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
enron_emails,inferred,(none),commoncrawl;stackexchange;wikipedia,"{""commoncrawl"":0.5,""stackexchange"":0.3,""wikipedia"":0.2}",62.804398361656744,61.10090692042493,64.33570995356357,3.2348030331386326,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
ubuntu_irc,inferred,(none),commoncrawl;stackexchange;wikipedia,"{""commoncrawl"":0.5,""stackexchange"":0.4,""wikipedia"":0.1}",62.833095003210914,61.10090692042493,64.33570995356357,3.2348030331386326,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
europarl,inferred,(none),wikipedia;commoncrawl;book,"{""wikipedia"":0.5,""commoncrawl"":0.3,""book"":0.2}",61.057670542439865,56.03252048079162,64.33570995356357,8.303189472771948,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
hackernews,inferred,(none),commoncrawl;stackexchange;wikipedia,"{""commoncrawl"":0.5,""stackexchange"":0.4,""wikipedia"":0.1}",62.833095003210914,61.10090692042493,64.33570995356357,3.2348030331386326,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
pubmed_abstracts,inferred,(none),arxiv;wikipedia;commoncrawl,"{""arxiv"":0.7,""wikipedia"":0.2,""commoncrawl"":0.1}",63.357404096100105,61.10090692042493,64.33570995356357,3.2348030331386326,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
uspto_backgrounds,inferred,(none),book;arxiv;wikipedia;commoncrawl,"{""book"":0.4,""arxiv"":0.3,""wikipedia"":0.2,""commoncrawl"":0.1}",60.225468450326034,56.03252048079162,64.33570995356357,8.303189472771948,semantic_prior_exploratory,"range is candidate-domain min/max, not a statistical confidence interval"
