dataset,target,model,positive_fraction,negative_fraction,near_zero_fraction,sign_agreement_fraction,pair_count
A4_A5_train_1m,metric/the_pile_arxiv_val_loss,ilr_ridge,0.7242647058823529,0.2757352941176471,0.0,,
A4_A5_train_1m,metric/the_pile_arxiv_val_loss,quadratic_ridge,0.6323529411764706,0.36764705882352944,0.0,,
A4_A5_train_1m,metric/the_pile_arxiv_val_loss,ridge_vs_quadratic,,,,0.7389705882352942,272.0
A4_A5_train_1m,metric/the_pile_freelaw_val_loss,ilr_ridge,0.7242647058823529,0.2757352941176471,0.0,,
A4_A5_train_1m,metric/the_pile_freelaw_val_loss,quadratic_ridge,0.6654411764705882,0.33455882352941174,0.0,,
A4_A5_train_1m,metric/the_pile_freelaw_val_loss,ridge_vs_quadratic,,,,0.7205882352941176,272.0
A4_A5_train_1m,metric/the_pile_pubmed_central_val_loss,ilr_ridge,0.7242647058823529,0.2757352941176471,0.0,,
A4_A5_train_1m,metric/the_pile_pubmed_central_val_loss,quadratic_ridge,0.5367647058823529,0.4632352941176471,0.0,,
A4_A5_train_1m,metric/the_pile_pubmed_central_val_loss,ridge_vs_quadratic,,,,0.6654411764705882,272.0
A4_A5_train_1m,metric/the_pile_wikipedia_en_val_loss,ilr_ridge,0.7536764705882353,0.24632352941176472,0.0,,
A4_A5_train_1m,metric/the_pile_wikipedia_en_val_loss,quadratic_ridge,0.6507352941176471,0.3492647058823529,0.0,,
A4_A5_train_1m,metric/the_pile_wikipedia_en_val_loss,ridge_vs_quadratic,,,,0.6764705882352942,272.0
A4_A5_train_1m,metric/the_pile_dm_mathematics_val_loss,ilr_ridge,0.7830882352941176,0.21691176470588236,0.0,,
A4_A5_train_1m,metric/the_pile_dm_mathematics_val_loss,quadratic_ridge,0.5698529411764706,0.43014705882352944,0.0,,
A4_A5_train_1m,metric/the_pile_dm_mathematics_val_loss,ridge_vs_quadratic,,,,0.6911764705882353,272.0
A4_A5_train_1m,metric/the_pile_github_val_loss,ilr_ridge,0.7757352941176471,0.22426470588235295,0.0,,
A4_A5_train_1m,metric/the_pile_github_val_loss,quadratic_ridge,0.6654411764705882,0.33455882352941174,0.0,,
A4_A5_train_1m,metric/the_pile_github_val_loss,ridge_vs_quadratic,,,,0.7132352941176471,272.0
A4_A5_train_1m,metric/the_pile_stackexchange_val_loss,ilr_ridge,0.7536764705882353,0.24632352941176472,0.0,,
A4_A5_train_1m,metric/the_pile_stackexchange_val_loss,quadratic_ridge,0.6360294117647058,0.3639705882352941,0.0,,
A4_A5_train_1m,metric/the_pile_stackexchange_val_loss,ridge_vs_quadratic,,,,0.7058823529411765,272.0
A4_A5_train_1m,metric/the_pile_gutenberg_pg_19_val_loss,ilr_ridge,0.625,0.375,0.0,,
