dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,ALL,51230,51230,66.356212393836046,66.829214015546569,9.9182281078875612,53.593168136875626,78.929219317895004,
A1,fit,ALL,40919,40919,66.33047477554986,66.790311410343747,9.9251569956946017,53.583482661801625,78.906931876065883,
A1,holdout,ALL,10311,10311,66.458351624041882,66.995608581731886,9.8905030923695545,53.627031662137504,78.960893704131223,
A2,full,ALL,17523,17523,67.15773315127862,67.890040008106254,7.9739003636141685,56.819001719476752,76.994607213976252,
A2,overlap_A1,ALL,1419,1419,67.645156642512958,68.688389494006245,8.0902264333121288,56.946914178692083,77.432999749682494,
A2,new_only,ALL,16104,16104,67.114783950206743,67.826122291443738,7.9623930362843121,56.796503323035004,76.94383426684,
A3,full,ALL,203752,203752,56.090472752321389,56.758226901594682,7.4827309494038907,46.661355313344558,64.55397098193562,
A3,overlap_A1,ALL,10000,10000,56.114787392178769,56.858340497440622,7.4539533125456892,46.560765882361494,64.58114773442189,
A3,new_only,ALL,193752,193752,56.089217816121639,56.754427145334375,7.4842302505696763,46.665739113233819,64.551462636339991,
A1+A2+A3,unique_union,ALL,261086,261086,58.78386191515267,58.383528953790623,9.2574720802664885,47.857302577872574,71.182259542996889,
A1+A2+A3,all_file_rows_diagnostic,ALL,272505,261086,58.732058946357178,58.352400573799997,9.2280289009069651,47.825361834514375,71.061899034725002,
