indicator,distance_or_sum_weight
fineweb_edu,0.0625
fluency_en_fluent_margin,0.0625
modernbert_cleanliness_expected,0.0625
modernbert_readability_expected,0.0625
dsir_books,0.0625
dsir_wiki,0.0625
dsir_math,0.0625
qurater_writing_style,0.0625
qurater_facts_trivia,0.0625
qurater_educational_value,0.0625
ad_en_no_ad_margin,0.0625
rps_doc_frac_unique_words,0.0625
rps_doc_frac_no_alph_words,0.0625
rps_doc_frac_chars_top_2gram,0.0625
rps_doc_frac_chars_top_3gram,0.0625
rps_lines_ending_with_terminal_punctution_mark,0.0625
