model,label,primary,n,full_mean,A1_mean,spearman,mean_abs_rank_gap_pp,conflict10_n,conflict20_n,conflict30_n,conflict20_rate,strong_n,top10_jaccard,macro_domain_mean,full_mean_A1_domain_shares,within_domain_change,composition_change,max_linear_weight,effective_weight_count
CRITIC,CRITIC 加权和,True,261086,55.463758902224328,64.008171052301151,0.99999999999999989,0,0,0,0,0,0,1,63.830187945655886,63.993117627502059,-0.015053424799091886,-8.5293587252777314,0.089092543217941453,15.27784772546579
PPGA,原始 PP-GA,True,261086,38.581098190316418,65.789491250671077,0.83357261353147216,12.546844339740163,125842,55774,21458,0.21362309737021518,365,0.41708051778881383,72.264097450712171,65.766091131101632,-0.023400119569444655,-27.184992940785214,0.99994274387094584,1.0001145188246356
EQUAL,16 项等权,True,261086,58.783861915182605,66.356212393856396,0.98704113741575761,2.4997183534557585,7514,3651,1662,0.013983898025937814,0,0.86900032213035538,65.021642218214524,66.337965266536074,-0.018247127320321965,-7.5541033513534686,0.0625,16
GROUP_EQUAL,分组等权,True,261086,58.995881764045443,66.175700855500878,0.97802711992589964,3.4572328200488602,11074,4987,3021,0.01910098588204653,0,0.83549509648845299,64.614287936793929,66.156464290223852,-0.01923656527702633,-7.1605825261784091,0.066666666666666666,15.789473684210526
GROUP_CRITIC,分组 CRITIC,True,261086,57.82589686062741,65.266668741138062,0.97521503399821663,3.5538595477582073,11421,5638,3648,0.021594417165225251,0,0.80678869243278784,63.396561085744047,65.248520383364379,-0.018148357773682733,-7.4226235227369699,0.088741522634802505,15.274441445547113
TOPSIS_CRITIC,固定参照 TOPSIS（CRITIC 权重）,True,261086,54.232263879183712,60.947130543194099,0.99904127624682448,0.90154542585858088,0,0,0,0,0,0.89380916113589381,60.579056337085525,60.934870032894914,-0.012260510299185512,-6.7026061537112014,,
TOPSIS_GROUP,固定参照 TOPSIS（分组 CRITIC 权重）,True,261086,55.887297585416988,61.797092694575113,0.97242005593833913,3.6714640871398205,11184,6175,4472,0.023651210712179127,0,0.76938194632691781,60.278666774820771,61.782763338580878,-0.014329355994235016,-5.8954657531638901,,
BPPGA20,约束 PP-GA（20% 上限）,True,261086,43.504705949219947,57.200662056669877,0.91587919609651536,8.7447100130975297,88167,27471,4860,0.105218203963445,55,0.5741114762005245,60.980467823666189,57.190518880002045,-0.01014317666783171,-13.685812930782099,0.1626934257964476,9.2061294964100391
GEO_0.001,分组几何平均 ε=0.001,True,261086,53.003279197863826,61.644813071779488,0.89553221265117333,7.8153511377458846,63370,14027,7266,0.053725592333560591,2824,0.79227732967221554,57.623311712475122,61.605633532755149,-0.039179539024338794,-8.6023543348913236,,
BPPGA15,约束 PP-GA（15% 上限）,False,261086,43.705967742698064,57.10893973086543,0.91633940476288922,8.7171722703752454,87889,27285,4850,0.10450579502539394,53,0.57496606846629472,60.858110987061437,57.098826736002508,-0.010112994862922164,-13.392858993304444,0.14999999999999999,9.3959487996875772
BPPGA25,约束 PP-GA（25% 上限）,False,261086,43.507189881453648,57.207829666284212,0.91576176582080293,8.7501403353448701,88216,27519,4883,0.10540205143132914,55,0.57420638509541466,60.988971536274413,57.197688583281412,-0.010141083002800144,-13.690498701827764,0.16285102911900756,9.2018956967542067
GEO_0.0001,分组几何平均 ε=0.0001,False,261086,52.876080199163731,61.580487351416494,0.89519898494911843,7.8281822807037278,63550,14055,7275,0.053832836689826344,2828,0.79215430552218824,57.105357463256887,61.538315785675941,-0.042171565740552808,-8.6622355865122103,,
GEO_0.01,分组几何平均 ε=0.01,False,261086,53.29817032350806,61.824263876288072,0.89892098872710502,7.6884443870589321,61852,13639,7111,0.05223949196816375,2766,0.79313897187596583,58.520259962901441,61.789913284488236,-0.034350591799835684,-8.4917429609801758,,
