model_a,model_b,domain,n,spearman,mean_abs_rank_gap_pp,conflict10_n,conflict20_n,conflict30_n,conflict20_rate,strong_n,top10_jaccard
CRITIC,PPGA,ALL,261086,0.83357261353147216,12.546844339740163,125842,55774,21458,0.21362309737021518,365,0.41708051778881383
CRITIC,PPGA,arxiv,17523,0.1389178108727484,30.585641074712576,13546,10599,7963,0.60486218113336754,1876,0.15263157894736842
CRITIC,PPGA,book,171,0.58174814601483205,20.662768031189085,117,77,43,0.45029239766081869,7,0.17241379310344829
CRITIC,PPGA,c4,10000,0.81409782137297826,13.233691999999998,5021,2338,915,0.23380000000000001,28,0.26422250316055623
CRITIC,PPGA,commoncrawl,9640,0.70669938181886582,16.855296912931937,5728,3209,1692,0.33288381742738588,75,0.23352527191298783
CRITIC,PPGA,github,203752,0.75328340515834868,15.331559201606071,111716,60389,29445,0.29638482076249556,1452,0.39483142221461576
CRITIC,PPGA,stackexchange,10000,0.58347151430671529,20.057283999999999,6390,4044,2522,0.40439999999999998,263,0.29701686121919585
CRITIC,PPGA,wikipedia,10000,0.584156931837569,20.426311999999999,6541,4244,2597,0.4244,231,0.2360939431396786
CRITIC,EQUAL,ALL,261086,0.98704113741575761,2.4997183534557585,7514,3651,1662,0.013983898025937814,0,0.86900032213035538
CRITIC,EQUAL,arxiv,17523,0.98632997824423307,3.4964392385196232,854,19,0,0.0010842892198824402,0,0.77958354494667348
CRITIC,EQUAL,book,171,0.97025703794369633,5.0613864094935197,16,5,0,0.029239766081871343,0,0.54545454545454541
CRITIC,EQUAL,c4,10000,0.99832612767526119,1.2037639999999998,2,0,0,0,0,0.91204588910133844
CRITIC,EQUAL,commoncrawl,9640,0.99416954390061574,2.2719413405416571,55,1,0,0.00010373443983402489,0,0.84851390220517742
CRITIC,EQUAL,github,203752,0.99510095136405585,2.0126391121339444,1434,105,19,0.00051533236483568257,0,0.88884768703068506
CRITIC,EQUAL,stackexchange,10000,0.99708454516684575,1.600514,22,0,0,0,0,0.90476190476190477
CRITIC,EQUAL,wikipedia,10000,0.99452163935721605,2.1183339999999999,79,5,0,0.00050000000000000001,0,0.93236714975845414
CRITIC,GROUP_EQUAL,ALL,261086,0.97802711992589964,3.4572328200488602,11074,4987,3021,0.01910098588204653,0,0.83549509648845299
CRITIC,GROUP_EQUAL,arxiv,17523,0.98216015281565816,4.0192397903377275,1361,36,0,0.0020544427324088342,0,0.73037037037037034
CRITIC,GROUP_EQUAL,book,171,0.95330597355221125,6.3335727232310806,34,6,2,0.035087719298245612,0,0.47826086956521741
CRITIC,GROUP_EQUAL,c4,10000,0.99435874991558726,2.2585959999999998,52,0,0,0,0,0.84842883548983361
CRITIC,GROUP_EQUAL,commoncrawl,9640,0.98297721885439193,3.9330525473046256,735,13,1,0.0013485477178423236,0,0.76073059360730588
CRITIC,GROUP_EQUAL,github,203752,0.99071427290557812,2.7987287012663136,4840,265,51,0.00130060073029958,0,0.83542023241149443
CRITIC,GROUP_EQUAL,stackexchange,10000,0.99169513739295156,2.6985179999999995,202,1,0,0.0001,0,0.83823529411764708
