block,dataset,role,alpha,mean_target_r2,centered_relative_mean_target_r2,mean_target_spearman,mae,rmse,delta_mean_target_r2_vs_p_only,delta_centered_relative_mean_target_r2_vs_p_only,delta_mae_vs_p_only,delta_rmse_vs_p_only
p_only,A4_A5_train_1m,fit,10.0,0.7534682337190024,0.7534682337190024,0.8830041273714669,0.27598526293623576,0.3822371939016146,0.0,0.0,0.0,0.0
p_only,A6_A7_validation_1m,same_scale_validation,10.0,0.7648632501349787,0.7722456123381226,0.8897807102487807,0.2626453548842908,0.34644297705135874,0.0,0.0,0.0,0.0
p_only,A8_A9_validation_60m,cross_scale_diagnostic,10.0,-7.955139952018306,0.6147966327852203,0.885947761325422,1.518786891829006,1.6125830561174752,0.0,0.0,0.0,0.0
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,-608.4885698380405,-2.34540610346311,0.8610911524373062,2.955363351632918,3.0237821656137562,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,-235.0801385607503,-2.398323271358777,0.6977767484294162,3.5575718884812515,3.609550175318696,0.0,0.0,0.0,0.0
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,-382.6760848403916,-4.791769800800635,0.6344811766919685,3.9401689580783215,3.996970312628592,0.0,0.0,0.0,0.0
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,0.7742258780762602,0.7742258780762602,0.8947758855890164,0.2661347282547274,0.3720935858182263,0.0207576443572578,0.0207576443572578,-0.009850534681508372,-0.010143608083388267
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,0.7819076739760609,0.7888943653420531,0.8997593953025688,0.25363432605415537,0.3376106462955559,0.01704442384108218,0.01664875300393054,-0.009011028830135437,-0.008832330755802809
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,-7.937686120255238,0.6147006162209714,0.8961796507738083,1.5176218166396471,1.6119459131414482,0.017453831763067917,-9.601656424895744e-05,-0.0011650751893588218,-0.0006371429760270164
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,-603.8310871865631,-2.6666468269145684,0.8723619329388559,2.946620154177509,3.0178163881317306,4.65748265147738,-0.32124072345145827,-0.008743197455408858,-0.005965777482025647
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,0.1,-234.56109146532572,-2.5905021780680046,0.6984801894754321,3.5523005271927377,3.606185483243075,0.5190470954245825,-0.19217890670922744,-0.005271361288513798,-0.0033646920756211784
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,0.1,-382.03420776533534,-5.092510639149558,0.6336872776018141,3.934897596789807,3.9936389805779595,0.641877075056243,-0.30074083834892296,-0.0052713612885142425,-0.0033313320506325184
p_q_renorm_coverage,A4_A5_train_1m,fit,10.0,0.7763578678065528,0.7763578678065528,0.8945155727723771,0.2645459922369894,0.36701219345415564,0.022889634087550403,0.022889634087550403,-0.011439270699246384,-0.015225000447458947
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,10.0,0.7811294306471742,0.7874021775976862,0.8990599745585153,0.25225401017026283,0.3359934282351641,0.016266180512195527,0.015156565259563548,-0.010391344714027972,-0.010449548816194643
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,10.0,-7.8875673582049135,0.627759583112696,0.8953835039702801,1.5132297245519863,1.6049012711203534,0.06757259381339242,0.01296295032747563,-0.0055571672770196034,-0.007681784997121799
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,10.0,-613.455575410145,-2.5123734859322218,0.8765990419836573,2.9641866552006326,3.0339418848089927,-4.96700557210454,-0.16696738246911158,0.008823303567714547,0.010159719195236505
p_q_renorm_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,-234.13978104656252,-2.3643894610244036,0.6955242917722179,3.5495844186780765,3.601558149569096,0.9403575141877809,0.03393381033437359,-0.007987469803174996,-0.007992025749600007
p_q_renorm_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,-381.27176737962714,-4.722374090874573,0.6302753546121939,3.932181488275146,3.989013084134863,1.404317460764446,0.06939570992606203,-0.00798746980317544,-0.00795722849372904
