mixture_domain,quality_domain,mapping_type,mapped,primary_quality_score_0_100
arxiv,arxiv,direct,True,63.862359595226806
freelaw,,inferred,False,
nih_exporter,,inferred,False,
pubmed_central,,inferred,False,
wikipedia_en,wikipedia,near_direct,True,61.10090692042493
dm_mathematics,,inferred,False,
github,github,direct,True,51.70140753241471
philpapers,,inferred,False,
stackexchange,stackexchange,direct,True,61.38787333596658
enron_emails,,inferred,False,
gutenberg_pg_19,book,near_direct,True,56.03252048079162
pile_cc,commoncrawl,near_direct,True,64.33570995356357
ubuntu_irc,,inferred,False,
europarl,,inferred,False,
hackernews,,inferred,False,
pubmed_abstracts,,inferred,False,
uspto_backgrounds,,inferred,False,
