mapping_version,quality_score_version,dataset,role,scale_label,total_scale_tokens,log10_scale,index,mixture_domain,proportion,quality_domain,mapping_type,mapped,quality_model,quality_score_0_100,quality_contribution_0_100,quality_contribution_status
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,arxiv,0.0,arxiv,direct,True,TOPSIS_CRITIC,63.862359595226806,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,freelaw,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,nih_exporter,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,pubmed_central,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,wikipedia_en,0.0,wikipedia,near_direct,True,TOPSIS_CRITIC,61.10090692042493,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,dm_mathematics,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,github,0.0,github,direct,True,TOPSIS_CRITIC,51.70140753241471,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,philpapers,0.004,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,stackexchange,0.0,stackexchange,direct,True,TOPSIS_CRITIC,61.38787333596658,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,enron_emails,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,gutenberg_pg_19,0.209,book,near_direct,True,TOPSIS_CRITIC,56.03252048079162,11.710796780485447,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,pile_cc,0.787,commoncrawl,near_direct,True,TOPSIS_CRITIC,64.33570995356357,50.63220373345453,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,ubuntu_irc,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,europarl,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,hackernews,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,pubmed_abstracts,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,1,uspto_backgrounds,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
