quality_model,dataset_id,subset,quality_domain,n_records,mean_quality_score_0_100,median_quality_score_0_100,sd_quality_score_0_100,p10_quality_score_0_100,p90_quality_score_0_100
TOPSIS_CRITIC,A1,full,arxiv,1419,63.862359595226806,64.40565373434062,5.602849485122005,56.90617448253212,70.65144326497406
TOPSIS_CRITIC,A1,full,book,171,56.03252048079162,55.47767573925225,4.793530056477265,49.5981638032336,62.38752966995928
TOPSIS_CRITIC,A1,full,c4,10000,66.00211266187863,66.9112271907652,8.824631375338626,53.62534555794227,76.61733129535106
TOPSIS_CRITIC,A1,full,commoncrawl,9640,64.33570995356357,65.08416242550962,7.224190253595176,54.696296549653916,72.90631608793123
TOPSIS_CRITIC,A1,full,github,10000,51.70140753241471,51.93806410287239,5.704735616022906,44.43563105792873,58.417488464301094
TOPSIS_CRITIC,A1,full,stackexchange,10000,61.38787333596658,61.41051031003891,5.9646170002418675,53.87420119876658,68.85580162406545
TOPSIS_CRITIC,A1,full,wikipedia,10000,61.10090692042493,60.818230990289926,7.301006700973401,52.35956121992457,70.72655723964745
TOPSIS_CRITIC,A2,full,arxiv,17523,63.50495891176884,63.76715801377394,5.492001449730126,56.69264510415836,70.36782409361197
TOPSIS_CRITIC,A3,full,github,203752,51.68931209513098,51.87170877422871,5.729891261199526,44.5171835552754,58.44204877379952
CRITIC_SUM,A1,full,arxiv,1419,68.82897551583794,69.62048982841091,6.8497206662502,60.25248735545073,76.95834472953707
CRITIC_SUM,A1,full,book,171,58.81310401906001,58.101620503076795,6.934853682833194,49.452600573524144,68.41161497471025
CRITIC_SUM,A1,full,c4,10000,70.79985936471157,72.6279054825677,10.864128416955774,55.42491042199099,83.21794181716919
CRITIC_SUM,A1,full,commoncrawl,9640,68.13913106785193,69.21091011654401,8.92906221234464,56.227497760973414,78.42153894897525
CRITIC_SUM,A1,full,github,10000,52.1509195423281,52.64409331337544,7.646599317460933,42.13832412357476,61.203528838977086
CRITIC_SUM,A1,full,stackexchange,10000,64.37103178138548,64.56803338564325,7.220939412830096,55.2492786815832,73.26590927498441
CRITIC_SUM,A1,full,wikipedia,10000,64.133391558577,64.09621123487125,8.97677215447257,53.2844159595441,75.63512682743387
CRITIC_SUM,A2,full,arxiv,17523,68.42345339138707,68.85301086520758,6.699960292018025,60.072301019849725,76.53709713763668
CRITIC_SUM,A3,full,github,203752,52.131344436537084,52.559415958089495,7.678469958114233,42.24879972359497,61.19868306947706
EQUAL_SUM,A1,full,arxiv,1419,67.64515664251296,68.68838949400626,8.090226433312129,56.94691417869208,77.4329997496825
EQUAL_SUM,A1,full,book,171,56.09650613827894,55.496852766841855,7.240634961549506,46.73803575924374,65.38757580408813
EQUAL_SUM,A1,full,c4,10000,72.25210969639305,73.86591282200938,9.965440073983633,58.19724455479525,83.66452094869125
EQUAL_SUM,A1,full,commoncrawl,9640,70.46646573980148,71.43552835983124,8.164643707910352,59.7988072237875,79.85219012840875
EQUAL_SUM,A1,full,github,10000,56.11478739217877,56.85834049744062,7.453953312545689,46.56076588236148,64.58114773442188
EQUAL_SUM,A1,full,stackexchange,10000,66.64253037547408,66.92752824760626,6.666063055760611,58.17390838886212,74.7227584482794
EQUAL_SUM,A1,full,wikipedia,10000,66.44567767387035,66.51378914684375,8.49576797253566,56.07078968203593,77.27260911351436
EQUAL_SUM,A2,full,arxiv,17523,67.15773315127862,67.89004000810624,7.973900363614168,56.81900171947675,76.99460721397624
EQUAL_SUM,A3,full,github,203752,56.09047275232139,56.75822690159468,7.482730949403891,46.661355313344565,64.55397098193563
TOPSIS_NO_3_COST,A1,full,arxiv,1419,60.608517872756735,61.17919181022301,6.242277438077176,53.02482433489975,68.18854141043907
TOPSIS_NO_3_COST,A1,full,book,171,50.97305514322003,50.55591663112793,5.880520729715338,43.16115579110199,58.73568841527529
TOPSIS_NO_3_COST,A1,full,c4,10000,63.451157224884106,64.4109349354095,9.58104370925395,49.7859611950331,75.08855780484247
TOPSIS_NO_3_COST,A1,full,commoncrawl,9640,60.94319334272167,61.81805202572576,8.165918175469852,49.849419943472064,70.59327013449617
TOPSIS_NO_3_COST,A1,full,github,10000,47.21134956732199,47.55639922576904,6.536750493981728,39.34710906955897,54.787597256513045
TOPSIS_NO_3_COST,A1,full,stackexchange,10000,58.49982990566885,58.381066077604444,6.531413543340427,50.28008116998781,66.76625956183945
TOPSIS_NO_3_COST,A1,full,wikipedia,10000,58.667657621175074,57.95753606975468,7.178293241174611,50.12074661228214,68.54577579958192
TOPSIS_NO_3_COST,A2,full,arxiv,17523,60.213735648525315,60.44875841666368,6.105374330922399,52.815761065766544,67.75969891617949
TOPSIS_NO_3_COST,A3,full,github,203752,47.23193142595466,47.54077838538563,6.552036203017733,39.40624124926627,54.77422317399299
TOPSIS_NO_DSIR,A1,full,arxiv,1419,66.80066351791241,67.19981939902593,4.129236948289914,62.073820217837635,71.43453528155565
TOPSIS_NO_DSIR,A1,full,book,171,60.5880448101132,60.36897159737046,5.428891817296953,53.81750599771684,68.38508407297995
TOPSIS_NO_DSIR,A1,full,c4,10000,63.311304400608854,64.40962397237215,9.805812144842205,49.5516244857257,74.99093586229824
TOPSIS_NO_DSIR,A1,full,commoncrawl,9640,61.62509727368463,62.48918991941914,8.026778215296552,50.82476479129866,71.05950515083168
TOPSIS_NO_DSIR,A1,full,github,10000,47.33477305762611,47.29239430471899,6.073755494080297,39.760487630538314,54.82417480824157
TOPSIS_NO_DSIR,A1,full,stackexchange,10000,58.06927224201378,58.09313064033282,6.622407036810067,49.681830297621,66.38072384699528
TOPSIS_NO_DSIR,A1,full,wikipedia,10000,57.661961306427806,57.40221110106195,8.411939245265408,47.564276786096265,68.63588774321902
TOPSIS_NO_DSIR,A2,full,arxiv,17523,66.62360724893063,66.88646897458798,3.965267013162109,62.17644950594786,71.14061066631169
TOPSIS_NO_DSIR,A3,full,github,203752,47.313321337658145,47.22224133483117,6.110044618799674,39.814422456158226,54.81224684808515
TOPSIS_WEIGHT_SQUARED,A1,full,arxiv,1419,64.07850645107972,64.32562577138711,4.879136015484665,58.16778501456786,70.08602397144637
TOPSIS_WEIGHT_SQUARED,A1,full,book,171,57.67040097737124,57.47006186360937,4.811460781325483,51.66433279820217,64.38566542773054
TOPSIS_WEIGHT_SQUARED,A1,full,c4,10000,65.60470639601353,66.71054794555181,9.210686713273484,52.50684887553842,76.61481972201562
TOPSIS_WEIGHT_SQUARED,A1,full,commoncrawl,9640,62.97607762819489,63.83947063378778,7.7208409170657815,52.46583798031461,72.06224620492847
TOPSIS_WEIGHT_SQUARED,A1,full,github,10000,49.24678254514137,49.325247739829294,5.9487662182367735,41.651523721945686,56.44528318813676
TOPSIS_WEIGHT_SQUARED,A1,full,stackexchange,10000,60.23977038121447,60.1875967276909,6.37578120305949,52.203894012079026,68.36283664661609
TOPSIS_WEIGHT_SQUARED,A1,full,wikipedia,10000,59.98147765092405,59.70813249293168,7.539381652412146,50.79055497858581,69.84269192394281
TOPSIS_WEIGHT_SQUARED,A2,full,arxiv,17523,63.773424525096694,63.81092190069949,4.746691014233264,58.14610035078283,69.68104357707206
TOPSIS_WEIGHT_SQUARED,A3,full,github,203752,49.23919530657134,49.279489613041434,5.973027882125235,41.73567047306479,56.48714603636847
