base_model,correction,dataset,n,role,rmse_pooled_all_domains
ilr_ridge,C0_none,A6_A7_test_1m,256,same_scale_retrospective,0.3464429770513587
ilr_ridge,C0_none,A8_A9_test_60m,256,cross_scale_retrospective,1.6125830561174754
ilr_ridge,C0_none,A10_A11_test_1b,64,cross_scale_retrospective,3.023782165613756
ilr_ridge,C0_none,A12_A13_est_10b,63,supplied_estimate_extrapolation_audit,3.609550175318696
ilr_ridge,C0_none,A14_A15_est_70b,63,supplied_estimate_extrapolation_audit,3.996970312628592
ilr_ridge,C1_global,A6_A7_test_1m,256,same_scale_retrospective; also_scale_calibration_member,0.3464429770513587
ilr_ridge,C1_global,A8_A9_test_60m,256,scale_calibration_in_sample,0.5518453015470415
ilr_ridge,C1_global,A10_A11_test_1b,64,cross_scale_retrospective,0.8076662571336359
ilr_ridge,C1_global,A12_A13_est_10b,63,supplied_estimate_extrapolation_audit,0.6727491538045779
ilr_ridge,C1_global,A14_A15_est_70b,63,supplied_estimate_extrapolation_audit,0.6747066047392326
ilr_ridge,C1_domain,A6_A7_test_1m,256,same_scale_retrospective; also_scale_calibration_member,0.3464429770513587
ilr_ridge,C1_domain,A8_A9_test_60m,256,scale_calibration_in_sample,0.3733642529034672
ilr_ridge,C1_domain,A10_A11_test_1b,64,cross_scale_retrospective,0.7587869972583833
ilr_ridge,C1_domain,A12_A13_est_10b,63,supplied_estimate_extrapolation_audit,1.048542294355449
ilr_ridge,C1_domain,A14_A15_est_70b,63,supplied_estimate_extrapolation_audit,1.1909146446912464
ilr_ridge,C2_mixture_conditioned,A6_A7_test_1m,256,same_scale_retrospective; also_scale_calibration_member,0.3464429770513587
ilr_ridge,C2_mixture_conditioned,A8_A9_test_60m,256,scale_calibration_in_sample,0.3483489047715735
ilr_ridge,C2_mixture_conditioned,A10_A11_test_1b,64,cross_scale_retrospective,0.7147151538051869
ilr_ridge,C2_mixture_conditioned,A12_A13_est_10b,63,supplied_estimate_extrapolation_audit,1.042813262432246
ilr_ridge,C2_mixture_conditioned,A14_A15_est_70b,63,supplied_estimate_extrapolation_audit,1.1985264373883682
quadratic_ridge,C0_none,A6_A7_test_1m,256,same_scale_retrospective,0.2840065107729149
quadratic_ridge,C0_none,A8_A9_test_60m,256,cross_scale_retrospective,1.5993338679597555
quadratic_ridge,C0_none,A10_A11_test_1b,64,cross_scale_retrospective,2.6963496728536778
quadratic_ridge,C0_none,A12_A13_est_10b,63,supplied_estimate_extrapolation_audit,3.623077879446641
quadratic_ridge,C0_none,A14_A15_est_70b,63,supplied_estimate_extrapolation_audit,4.010733969656319
quadratic_ridge,C1_global,A6_A7_test_1m,256,same_scale_retrospective; also_scale_calibration_member,0.2840065107729149
quadratic_ridge,C1_global,A8_A9_test_60m,256,scale_calibration_in_sample,0.5493255284665994
quadratic_ridge,C1_global,A10_A11_test_1b,64,cross_scale_retrospective,0.6575132019975862
quadratic_ridge,C1_global,A12_A13_est_10b,63,supplied_estimate_extrapolation_audit,0.7498201292082116
quadratic_ridge,C1_global,A14_A15_est_70b,63,supplied_estimate_extrapolation_audit,0.7614032136111474
quadratic_ridge,C1_domain,A6_A7_test_1m,256,same_scale_retrospective; also_scale_calibration_member,0.2840065107729149
quadratic_ridge,C1_domain,A8_A9_test_60m,256,scale_calibration_in_sample,0.368786068839705
quadratic_ridge,C1_domain,A10_A11_test_1b,64,cross_scale_retrospective,0.6579227038459456
quadratic_ridge,C1_domain,A12_A13_est_10b,63,supplied_estimate_extrapolation_audit,1.092289625937955
quadratic_ridge,C1_domain,A14_A15_est_70b,63,supplied_estimate_extrapolation_audit,1.2342704721094246
quadratic_ridge,C2_mixture_conditioned,A6_A7_test_1m,256,same_scale_retrospective; also_scale_calibration_member,0.2840065107729149
quadratic_ridge,C2_mixture_conditioned,A8_A9_test_60m,256,scale_calibration_in_sample,0.3017246800400876
quadratic_ridge,C2_mixture_conditioned,A10_A11_test_1b,64,cross_scale_retrospective,0.6252354554252723
quadratic_ridge,C2_mixture_conditioned,A12_A13_est_10b,63,supplied_estimate_extrapolation_audit,1.066296219724759
quadratic_ridge,C2_mixture_conditioned,A14_A15_est_70b,63,supplied_estimate_extrapolation_audit,1.2199020226013644
