base_model,correction,dataset,role,n,rmse_pooled_all_domains,mae_domain_macro,rmse_mean_loss,mae_mean_loss,r2_domain_macro
ilr_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,0.34644297705135874,0.2626453548842908,0.24953523088196142,0.20351596619863188,0.7648632501349787
ilr_ridge,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.6125830561174754,1.5187868918290055,1.5300860293035774,1.5162883926476893,-7.955139952018309
ilr_ridge,C0_none,A10_A11_test_1b,cross_scale_retrospective,64,3.023782165613756,2.955363351632918,2.956868348374443,2.955363351632918,-608.4885698380405
ilr_ridge,C0_none,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,3.6095501753186956,3.557571888481252,3.563641906478362,3.5568699028144644,-235.0801385607503
ilr_ridge,C0_none,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,3.996970312628592,3.9401689580783215,3.9464887976377683,3.9397829675275293,-382.6760848403916
ilr_ridge,C1_global,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.34644297705135874,0.2626453548842908,0.24953523088196142,0.20351596619863188,0.7648632501349787
ilr_ridge,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,0.5518453015470415,0.419335058893139,0.21277307403042386,0.1702301952873879,-0.04726715377097167
ilr_ridge,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,0.8076662571336359,0.5782282384672702,0.5021320816747796,0.4931923945108999,-20.764344203938624
ilr_ridge,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.6727491538045779,0.5191973316614439,0.35111621069139415,0.2960453232319346,-5.357619902064182
ilr_ridge,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.6747066047392326,0.5041015355589488,0.23287583027192635,0.19719490354342953,-7.121275064124424
ilr_ridge,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.34644297705135874,0.2626453548842908,0.24953523088196142,0.20351596619863188,0.7648632501349787
ilr_ridge,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,0.3733642529034672,0.27147590849078396,0.21277307403042395,0.17023019528738798,0.6026357008723707
ilr_ridge,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,0.7587869972583833,0.6446125019672883,0.5021320816747792,0.49319239451089947,-18.958945229928265
ilr_ridge,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,1.048542294355449,0.8550506508433267,0.35111621069139404,0.2960453232319346,-20.122364769764058
ilr_ridge,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,1.1909146446912464,0.9145735562261563,0.23287583027192638,0.1971949035434295,-32.7756728636904
ilr_ridge,C2_mixture_conditioned,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.34644297705135874,0.2626453548842908,0.24953523088196142,0.20351596619863188,0.7648632501349787
ilr_ridge,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,0.3483489047715735,0.2627179322157878,0.23303208796508676,0.18774782527842254,0.6266055002688964
ilr_ridge,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,0.7147151538051869,0.6179547530302643,0.46844551140594926,0.4572235799518337,-19.042199961283725
ilr_ridge,C2_mixture_conditioned,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,1.0428132624322461,0.8386291320511439,0.3332555493497005,0.27477250893306543,-19.98546724547254
ilr_ridge,C2_mixture_conditioned,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,1.1985264373883682,0.9288943601678763,0.2349776671153471,0.19300988834733926,-32.94772702867185
quadratic_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,0.2840065107729149,0.20191012143221615,0.22114843922757452,0.1752180355675891,0.8661472704478559
quadratic_ridge,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.5993338679597555,1.5060437806723048,1.5177851058360226,1.5026590287574528,-7.752112320019946
quadratic_ridge,C0_none,A10_A11_test_1b,cross_scale_retrospective,64,2.6963496728536778,2.6202882452073935,2.6237313780114877,2.619692944609953,-483.6776209503137
quadratic_ridge,C0_none,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,3.623077879446641,3.555073020606523,3.573588097744774,3.555073020606523,-236.10558620590686
quadratic_ridge,C0_none,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,4.010733969656319,3.9379860853195874,3.955892257274074,3.9379860853195874,-384.64669627364884
quadratic_ridge,C1_global,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2840065107729149,0.20191012143221615,0.22114843922757452,0.1752180355675891,0.8661472704478559
