model,epsilon,donor,receiver,delta_mass,delta_scalar_loss_z,direction
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_arxiv,0.01,0.04027793808150354,worsens
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_nih_exporter,0.01,0.010757207932870327,worsens
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_pubmed_central,0.01,0.0011101921896549127,worsens
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_wikipedia_en,0.01,-0.00045004195129599855,improves
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_dm_mathematics,0.01,-0.00046235385626031134,improves
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_github,0.01,0.0035007964625397014,worsens
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_philpapers,0.01,0.0037866033236782504,worsens
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_stackexchange,0.01,-0.0007882602465382194,improves
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_enron_emails,0.01,0.21200091315728484,worsens
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_gutenberg_pg_19,0.01,-0.0009535641684934593,improves
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_pile_cc,0.01,-0.001742657897173816,improves
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_ubuntu_irc,0.01,-0.012976810419904172,improves
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_europarl,0.01,0.04427570466377667,worsens
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_hackernews,0.01,-0.00036887873094548773,improves
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_pubmed_abstracts,0.01,-0.00017778159251574666,improves
ilr_ridge,1e-06,train_the_pile_freelaw,train_the_pile_uspto_backgrounds,0.01,1.140691825501916e-05,worsens
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_arxiv,0.01,0.038902587530912414,worsens
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_freelaw,0.01,-0.0013706745906635898,improves
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_nih_exporter,0.01,0.009381857382278924,worsens
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,0.01,-0.0018253925018872352,improves
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_dm_mathematics,0.01,-0.0018377044068516035,improves
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_github,0.01,0.0021254459119484093,worsens
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_philpapers,0.01,0.0024112527730865696,worsens
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_stackexchange,0.01,-0.002163610797129456,improves
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_enron_emails,0.01,0.21062556260669357,worsens
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_gutenberg_pg_19,0.01,-0.0023289147190845294,improves
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_pile_cc,0.01,-0.003118008447764664,improves
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_ubuntu_irc,0.01,-0.01435216097049602,improves
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_europarl,0.01,0.0429003541131851,worsens
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_hackernews,0.01,-0.0017442292815363913,improves
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_pubmed_abstracts,0.01,-0.001553132143107483,improves
ilr_ridge,1e-06,train_the_pile_pubmed_central,train_the_pile_uspto_backgrounds,0.01,-0.001363943632336273,improves
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_arxiv,0.01,0.04076922409055378,worsens
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_freelaw,0.01,0.0004959619689784422,worsens
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_nih_exporter,0.01,0.01124849394192079,worsens
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_pubmed_central,0.01,0.001601478198705597,worsens
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,0.01,2.8932152790206445e-05,worsens
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_github,0.01,0.003992082471590108,worsens
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_philpapers,0.01,0.004277889332728435,worsens
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_stackexchange,0.01,-0.00029697423748759055,improves
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_enron_emails,0.01,0.2124921991663354,worsens
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_gutenberg_pg_19,0.01,-0.0004622781594421088,improves
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_pile_cc,0.01,-0.0012513718881231317,improves
ilr_ridge,1e-06,train_the_pile_wikipedia_en,train_the_pile_ubuntu_irc,0.01,-0.012485524410853932,improves
