representation,epsilon,model,alpha,cv_mean_target_r2,cv_sd_target_r2,cv_mean_mae
reference_drop_last,,linear_ridge,0.1,0.5909189766011199,0.01672424815560672,0.41943163080522383
reference_drop_last,,linear_ridge,1.0,0.5909736522157057,0.016682108335642494,0.4195565724370928
reference_drop_last,,linear_ridge,10.0,0.5875319204754403,0.016629971204325644,0.42140511664392993
reference_drop_last,,linear_ridge,100.0,0.5454746868933488,0.016751174493733728,0.4372987596521549
reference_drop_last,,quadratic_ridge,0.1,0.5875272024847947,0.04302991399008532,0.3884895670700574
reference_drop_last,,quadratic_ridge,1.0,0.5940816108692115,0.03867774647406647,0.38702477234231975
reference_drop_last,,quadratic_ridge,10.0,0.6086250167259806,0.02921896675970344,0.3844206944316354
reference_drop_last,,quadratic_ridge,100.0,0.6278071772041767,0.018205371265276778,0.38472111465304376
Helmert-ilr,1e-06,linear_ridge,0.1,0.6460481660364241,0.019863428882606143,0.3299997495888987
Helmert-ilr,1e-06,linear_ridge,1.0,0.6461267142620954,0.0198345414455805,0.3299724980358392
Helmert-ilr,1e-06,linear_ridge,10.0,0.6465143690602908,0.019579712877116653,0.32992123125333633
Helmert-ilr,1e-06,linear_ridge,100.0,0.6254096709209186,0.018687930827086186,0.34427798575790164
Helmert-ilr,1e-06,quadratic_ridge,0.1,0.7145972117054558,0.03374118381919466,0.29149998440901437
Helmert-ilr,1e-06,quadratic_ridge,1.0,0.7169197468526952,0.033200778406791774,0.29031103595906077
Helmert-ilr,1e-06,quadratic_ridge,10.0,0.7315851234278704,0.029100567960412292,0.2829579770577511
Helmert-ilr,1e-06,quadratic_ridge,100.0,0.7155942813148904,0.019234726495622374,0.2977691066335792
Helmert-ilr,0.0001,linear_ridge,0.1,0.7309267106867952,0.02040005179471073,0.28752562127290776
Helmert-ilr,0.0001,linear_ridge,1.0,0.7309927009727876,0.020379789019545118,0.2874747814914272
Helmert-ilr,0.0001,linear_ridge,10.0,0.7312099262202765,0.020215044267685826,0.2872512406908634
Helmert-ilr,0.0001,linear_ridge,100.0,0.706013510572158,0.0201355512532082,0.3041698741132695
Helmert-ilr,0.0001,quadratic_ridge,0.1,0.8060052373731033,0.028320575363340147,0.24618532704950258
Helmert-ilr,0.0001,quadratic_ridge,1.0,0.8078931343035944,0.02757198704778573,0.2449117923837896
Helmert-ilr,0.0001,quadratic_ridge,10.0,0.8176593896404858,0.02308877418886703,0.2382720600876677
Helmert-ilr,0.0001,quadratic_ridge,100.0,0.7942537745253467,0.018455044903867998,0.25493165361831155
Helmert-ilr,0.001,linear_ridge,0.1,0.7571108422330679,0.01908483624986177,0.2844926839685708
Helmert-ilr,0.001,linear_ridge,1.0,0.7571804943013398,0.019068843255534273,0.2844094584931506
Helmert-ilr,0.001,linear_ridge,10.0,0.7573781354451583,0.018959149356563506,0.2838929966313636
Helmert-ilr,0.001,linear_ridge,100.0,0.7299560047993771,0.01967388628172243,0.30048926521054675
Helmert-ilr,0.001,quadratic_ridge,0.1,0.810854390911559,0.02538060176032108,0.24960535525307873
Helmert-ilr,0.001,quadratic_ridge,1.0,0.8146203220765639,0.024257958985841623,0.24753562928469233
Helmert-ilr,0.001,quadratic_ridge,10.0,0.8269395450749273,0.02048385666411657,0.24237080210561798
Helmert-ilr,0.001,quadratic_ridge,100.0,0.8040456600731122,0.019775357558510127,0.26361758041831274
