quality_model,domain,mean_canonical_20260924,mean_local_20260925,delta_local_minus_canonical
TOPSIS_CRITIC,arxiv,63.862359595226806,63.862359595226806,0.0
TOPSIS_CRITIC,book,56.03252048079162,56.03252048079162,0.0
TOPSIS_CRITIC,c4,66.00211266187863,66.00211266187863,0.0
TOPSIS_CRITIC,commoncrawl,64.33570995356357,64.33570995356357,0.0
TOPSIS_CRITIC,github,51.70140753241471,51.70140753241471,0.0
TOPSIS_CRITIC,stackexchange,61.387873335966574,61.387873335966574,0.0
TOPSIS_CRITIC,wikipedia,61.10090692042492,61.100906920424926,7.105427357601002e-15
CRITIC_SUM,arxiv,68.82897551583794,68.82897551583794,0.0
CRITIC_SUM,book,58.813104019060006,58.813104019060006,0.0
CRITIC_SUM,c4,70.79985936471158,70.79985936471157,-1.4210854715202004e-14
CRITIC_SUM,commoncrawl,68.13913106785193,68.13913106785193,0.0
CRITIC_SUM,github,52.1509195423281,52.1509195423281,0.0
CRITIC_SUM,stackexchange,64.37103178138548,64.37103178138548,0.0
CRITIC_SUM,wikipedia,64.133391558577,64.133391558577,0.0
EQUAL_SUM,arxiv,67.64515664251296,67.64515664251294,-1.4210854715202004e-14
EQUAL_SUM,book,56.09650613827894,56.09650613827894,0.0
EQUAL_SUM,c4,72.25210969639305,72.25210969639305,0.0
EQUAL_SUM,commoncrawl,70.46646573980148,70.46646573980148,0.0
EQUAL_SUM,github,56.11478739217877,56.11478739217877,0.0
EQUAL_SUM,stackexchange,66.64253037547408,66.64253037547408,0.0
EQUAL_SUM,wikipedia,66.44567767387032,66.44567767387035,2.842170943040401e-14
TOPSIS_NO_3_COST,arxiv,60.608517872756735,60.608517872756735,0.0
TOPSIS_NO_3_COST,book,50.97305514322003,50.97305514322003,0.0
TOPSIS_NO_3_COST,c4,63.451157224884106,63.451157224884106,0.0
TOPSIS_NO_3_COST,commoncrawl,60.94319334272167,60.94319334272167,0.0
TOPSIS_NO_3_COST,github,47.21134956732199,47.21134956732199,0.0
TOPSIS_NO_3_COST,stackexchange,58.49982990566885,58.49982990566885,0.0
TOPSIS_NO_3_COST,wikipedia,58.667657621175074,58.667657621175074,0.0
TOPSIS_NO_DSIR,arxiv,66.80066351791241,66.80066351791241,0.0
TOPSIS_NO_DSIR,book,60.5880448101132,60.5880448101132,0.0
TOPSIS_NO_DSIR,c4,63.31130440060886,63.31130440060885,-1.4210854715202004e-14
TOPSIS_NO_DSIR,commoncrawl,61.62509727368463,61.62509727368463,0.0
TOPSIS_NO_DSIR,github,47.3347730576261,47.3347730576261,0.0
TOPSIS_NO_DSIR,stackexchange,58.069272242013774,58.069272242013774,0.0
TOPSIS_NO_DSIR,wikipedia,57.661961306427806,57.661961306427806,0.0
TOPSIS_WEIGHT_SQUARED,arxiv,64.07850645107972,64.07850645107972,0.0
TOPSIS_WEIGHT_SQUARED,book,57.67040097737124,57.67040097737124,0.0
TOPSIS_WEIGHT_SQUARED,c4,65.60470639601353,65.60470639601353,0.0
TOPSIS_WEIGHT_SQUARED,commoncrawl,62.97607762819488,62.97607762819489,1.4210854715202004e-14
TOPSIS_WEIGHT_SQUARED,github,49.246782545141365,49.246782545141365,0.0
TOPSIS_WEIGHT_SQUARED,stackexchange,60.23977038121448,60.23977038121447,-7.105427357601002e-15
TOPSIS_WEIGHT_SQUARED,wikipedia,59.98147765092405,59.98147765092405,0.0
