base_model,correction,dataset,n,role,domain,rmse,mae,bias_observed_minus_pred,r2,spearman
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_arxiv_val_loss,0.9901031037145648,0.7996945908403048,-2.0816681711721685e-17,0.046472019574052004,0.24353790798342892
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_freelaw_val_loss,0.7459823915823591,0.6294511294526204,-3.122502256758253e-17,0.09384870461450567,0.26064841040958564
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_pubmed_central_val_loss,0.806584288792185,0.6988327112491131,-2.0816681711721685e-17,0.10426554198740401,0.3066932635527174
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_wikipedia_en_val_loss,0.5191737251532098,0.42746430938607977,4.5102810375396984e-17,0.03635604129270964,0.2881452704249207
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_dm_mathematics_val_loss,1.532805658112794,1.4434996851618989,1.3877787807814457e-17,0.0006934758226057047,0.1240072212494707
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_github_val_loss,0.8535603208954357,0.6938217363566128,1.3183898417423734e-16,0.34631275037509257,0.6229596358189995
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_stackexchange_val_loss,0.6760446695042307,0.5605203435920143,7.632783294297951e-17,0.2401809474534572,0.5206567538995892
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_gutenberg_pg_19_val_loss,0.4332139138896424,0.35204677293353615,3.122502256758253e-17,0.008612506979843948,0.032850837853766836
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_pile_cc_val_loss,0.320125789122992,0.2619862609239151,2.949029909160572e-17,0.0018701172160932034,0.17339438779597396
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_ubuntu_irc_val_loss,1.0223541092146844,0.9236176416244652,0.0,0.010256165284172503,0.18074152275666336
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_hackernews_val_loss,0.3391943387541944,0.279135061052503,5.0306980803327406e-17,0.01830107043624385,0.18622317423124018
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_pubmed_abstracts_val_loss,0.5298139392711804,0.41834174982862593,-5.551115123125783e-17,0.17876298806988433,0.34495699866103613
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,metric/the_pile_uspto_backgrounds_val_loss,0.5054107909575123,0.4361551533187591,2.2551405187698492e-17,0.0935501727537853,0.20768039176136688
B1_Q_proxy,C0_none,A6_A7_test_1m,256,external_retrospective_evaluation,metric/the_pile_arxiv_val_loss,0.7774127037067345,0.6575576210347924,-0.18150700138301126,0.005550096231919155,0.2485744735637445
B1_Q_proxy,C0_none,A6_A7_test_1m,256,external_retrospective_evaluation,metric/the_pile_freelaw_val_loss,0.7320850795918336,0.6110534526515785,0.01540252857637174,0.013291587377702418,0.14352612153810937
