model,lambda,fold,n_train,n_valid,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains
C2_mixture_conditioned,0.0001,0,204,52,0.06426550505634056,0.05016810102718815,0.0043540070884707195,0.3644267759538412,0.688465807222744,0.13424406582771126,0.11444283806890544,0.19808614361171295
C2_mixture_conditioned,0.0001,1,205,51,0.06432676366308934,0.05253694928081253,0.004076891135623641,0.4967225816322195,0.6963800904977375,0.13952478502012192,0.11805639123817793,0.21226756468293562
C2_mixture_conditioned,0.0001,2,205,51,0.057232090415637246,0.04545152792560673,0.004129308077649232,0.5891189306236313,0.7958371040723982,0.12930610140863802,0.11028573377500193,0.18993427502735805
C2_mixture_conditioned,0.0001,3,205,51,0.06291999928267174,0.05230524105276981,-0.00756660387599561,0.5295121900365354,0.7499547511312217,0.14382180037294467,0.12076580772462929,0.22459685428512385
C2_mixture_conditioned,0.0001,4,205,51,0.05838217508740897,0.04854025152362578,-0.006901947886024232,0.4392610133433692,0.6712217194570135,0.13416435546668384,0.11213651159789645,0.20350969463218838
C2_mixture_conditioned,0.001,0,204,52,0.06426536130370146,0.05016800165089644,0.004353979464978461,0.36442961932139994,0.688465807222744,0.13424392485758918,0.11444289843246466,0.19808605891939499
C2_mixture_conditioned,0.001,1,205,51,0.06432673020302125,0.05253692399685538,0.004076868347309468,0.4967231051994364,0.6963800904977375,0.1395246404766709,0.11805629875900013,0.21226738483022128
C2_mixture_conditioned,0.001,2,205,51,0.057232071746902,0.0454514718654499,0.004129325678887328,0.5891191986770467,0.7958371040723982,0.12930606398972783,0.11028574527751463,0.18993420676319356
C2_mixture_conditioned,0.001,3,205,51,0.06291990058982742,0.052305117904483306,-0.007566582250946687,0.5295136659978925,0.7499547511312217,0.14382164379954887,0.12076575430085709,0.22459652966367458
C2_mixture_conditioned,0.001,4,205,51,0.058382128521147166,0.048540165792561873,-0.006901939551735766,0.43926190784611785,0.6712217194570135,0.13416429346967107,0.11213647882752771,0.20350963724107865
C2_mixture_conditioned,0.01,0,204,52,0.06426392482318692,0.05016700830474734,0.004353703057352742,0.3644580319606593,0.688465807222744,0.1342425199808002,0.11444350155151276,0.19808521423188957
C2_mixture_conditioned,0.01,1,205,51,0.06432639612756032,0.052536671250460354,0.004076640548827486,0.4967283326382782,0.6963800904977375,0.1395231990825026,0.11805537454943335,0.21226558848171742
C2_mixture_conditioned,0.01,2,205,51,0.05723188518915441,0.04545091132454697,0.004129501679056203,0.5891218773454767,0.7958371040723982,0.12930569250484264,0.11028586012987796,0.18993352566421418
C2_mixture_conditioned,0.01,3,205,51,0.0629189144142138,0.05230388714557206,-0.0075663659469537735,0.5295284142256765,0.7499547511312217,0.14382008207572913,0.12076522001613534,0.22459328559490355
C2_mixture_conditioned,0.01,4,205,51,0.058381663188043616,0.04853930884808792,-0.006901856108372296,0.4392708465046916,0.6712217194570135,0.13416367796771336,0.11213615113827659,0.2035090649414436
C2_mixture_conditioned,0.1,0,204,52,0.06424966366953182,0.05015711621453142,0.004350921863721969,0.3647400737442421,0.6886365576709639,0.1342289473441719,0.11445248395986887,0.1980769880756055
C2_mixture_conditioned,0.1,1,205,51,0.06432310742292292,0.052534153035022534,0.0040743709679063565,0.49677979112676607,0.6963800904977375,0.13950918374622323,0.1180461902429913,0.2122478404345748
C2_mixture_conditioned,0.1,2,205,51,0.05723003254617673,0.04544531196884709,0.004131260460712712,0.589148477837339,0.7958371040723982,0.1293022444359307,0.11028699152083864,0.1899268672731465
C2_mixture_conditioned,0.1,3,205,51,0.06290912732489029,0.05229165142414629,-0.00756419761009077,0.5296747673328914,0.7499547511312217,0.14380486044909152,0.12075994175632948,0.22456105733136134
C2_mixture_conditioned,0.1,4,205,51,0.0583770424755261,0.04853077574970586,-0.0069010117040484735,0.43935960264981666,0.6712217194570135,0.13415796298341934,0.11213415565746085,0.20350350086925373
C2_mixture_conditioned,1.0,0,204,52,0.06411656188740358,0.05006204928966725,0.004321539646566461,0.36736939943317815,0.688295056774524,0.13413503028742205,0.11455143474015093,0.19801424181580202
C2_mixture_conditioned,1.0,1,205,51,0.06429499320124495,0.05250983148226346,0.00405245801518129,0.49721958806006095,0.6988235294117646,0.13940395429037195,0.11797983575415935,0.21208970843599476
C2_mixture_conditioned,1.0,2,205,51,0.0572127746412339,0.04538991120085827,0.004148727698653829,0.589396227738132,0.7958371040723982,0.12929110988664694,0.11030048996152658,0.1898740351766983
C2_mixture_conditioned,1.0,3,205,51,0.06281815751027012,0.05217599010067069,-0.007542034119523558,0.5310340125205946,0.7513122171945701,0.14368728658265137,0.12073040831001336,0.2242580691494193
C2_mixture_conditioned,1.0,4,205,51,0.058333796859418724,0.04844882923795906,-0.006891642464228717,0.44018993793073513,0.674027149321267,0.13413865870305192,0.11214707586110054,0.20346176818134135
C2_mixture_conditioned,10.0,0,204,52,0.06329854615198986,0.049410140675292,0.003949141859588065,0.38340895488625726,0.6825749167591564,0.134607371517183,0.11563032860476079,0.19818892147265404
C2_mixture_conditioned,10.0,1,205,51,0.06426780899486075,0.05231619189265098,0.003878895903637338,0.49764465372768796,0.7038914027149321,0.139581850298257,0.11892604610980297,0.2114011958767459
C2_mixture_conditioned,10.0,2,205,51,0.057148530893900276,0.04505599511218926,0.004312495422027996,0.5903178371143467,0.8025339366515838,0.12995860817481575,0.11079562604734984,0.19000822343495488
C2_mixture_conditioned,10.0,3,205,51,0.06230062355701147,0.0516171586554502,-0.007300201687580268,0.538729432201499,0.7583710407239818,0.14373128181534695,0.12125051463282413,0.2222165302980247
C2_mixture_conditioned,10.0,4,205,51,0.058055960371104644,0.04801960522461535,-0.0067457157864726615,0.4455098475471272,0.6805429864253394,0.1350441411151186,0.11303830276441625,0.20357466677820624
C2_mixture_conditioned,100.0,0,204,52,0.06307320265976878,0.0495854849009701,0.0005694639125145092,0.387791281665289,0.6665243746264834,0.14069623675509785,0.12250901682228355,0.20688250629359117
C2_mixture_conditioned,100.0,1,205,51,0.06727638676457305,0.05454792534676869,0.002879110781034078,0.4495100974951599,0.7010859728506786,0.1448138205919019,0.12491489310365522,0.21551033357467816
C2_mixture_conditioned,100.0,2,205,51,0.060632726672213685,0.05000875461566897,0.005364289371862066,0.5388405499362513,0.8023529411764705,0.13808197658408455,0.11843461273587305,0.20100965414779284
C2_mixture_conditioned,100.0,3,205,51,0.06414964446304192,0.052956753086645526,-0.005550687354399851,0.5109430162031865,0.7644343891402714,0.14890078023130893,0.12549494979327577,0.22074921780798026
C2_mixture_conditioned,100.0,4,205,51,0.05860417914551662,0.04937226026497027,-0.004852883967863444,0.434988373064051,0.7017194570135746,0.14206118694718106,0.1209964626689352,0.20972423054979097
C1_global,0.0,0,204,52,0.08123276673295378,0.0698531316153507,-0.010030181111391388,-0.015482008182369444,,0.3932270210157754,0.3625675577937016,0.47786732103219715
C1_global,0.0,1,205,51,0.09067585666815904,0.07671823122860714,-0.00037365187584007464,-1.69808088705814e-05,,0.39108324806537864,0.3566291046132324,0.4674154157582959
C1_global,0.0,2,205,51,0.08972886897823046,0.07824552414832389,0.008907699362180567,-0.00995332113929659,,0.39055464837873755,0.35625250087048665,0.47430684515052357
C1_global,0.0,3,205,51,0.09176118371719247,0.07643034421936704,-0.002366588152792864,-0.0006656046231441337,,0.40135090782785443,0.36664992929622564,0.48619222685493424
C1_global,0.0,4,205,51,0.0780680682312295,0.06669187157051376,0.004009504916059859,-0.0026447322495530834,,0.39162025020042385,0.3564753512008624,0.47870786790161424
C1_domain,0.0,0,204,52,0.08123276673295383,0.0698531316153507,-0.010030181111391832,-0.015482008182370777,,0.19027669952362425,0.16750534127588157,0.2715476989013775
C1_domain,0.0,1,205,51,0.09067585666815904,0.07671823122860714,-0.00037365187584007464,-1.69808088705814e-05,,0.19340523618738947,0.17084913255012107,0.27856548139437376
C1_domain,0.0,2,205,51,0.08972886897823049,0.07824552414832393,0.008907699362180789,-0.009953321139297255,,0.1918733631421059,0.16728963368302902,0.27873797665610694
C1_domain,0.0,3,205,51,0.09176118371719247,0.07643034421936704,-0.002366588152792864,-0.0006656046231441337,,0.19914378271151603,0.17277557293723117,0.2856897941973626
C1_domain,0.0,4,205,51,0.0780680682312295,0.06669187157051376,0.004009504916059859,-0.0026447322495530834,,0.18731741233452334,0.16398845163791664,0.26895891357810126
