left_dataset,right_dataset,pair_role,correction,domain,n,reference_delta_mean,predicted_delta_mean,rmse,mae,bias_observed_minus_pred,r2,spearman
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_arxiv_val_loss,256,-1.5935994358733296,-1.4593707886882694,0.269137736218538,0.208502188401046,-0.13422864718505978,-0.331092631365818,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_freelaw_val_loss,256,-1.3430465962737799,-1.4593707886882694,0.15592986543776827,0.12599021867040733,0.11632419241448996,-1.2548977280711155,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_pubmed_central_val_loss,256,-1.6638307059183717,-1.4593707886882694,0.349891144177523,0.27629458666454476,-0.20445991723010176,-0.5185299066876095,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_wikipedia_en_val_loss,256,-1.3523109182715416,-1.4593707886882694,0.12149754161554262,0.10926488484703714,0.10705987041672828,-3.473449346133777,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_dm_mathematics_val_loss,256,-1.301036092452705,-1.4593707886882694,0.8029667033085993,0.7470957127499367,0.15833469623556495,-0.04045579562497337,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_github_val_loss,256,-2.439604685641825,-1.4593707886882694,1.0180306549317875,0.9802338969535553,-0.9802338969535553,-12.721897701152038,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_stackexchange_val_loss,256,-1.6231571352109313,-1.4593707886882694,0.20673619512859223,0.17126538449855833,-0.16378634652266144,-1.685695467796032,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_gutenberg_pg_19_val_loss,256,-0.9688598234206438,-1.4593707886882694,0.4970132322222555,0.4905109652676262,0.4905109652676262,-37.470104041808284,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_pile_cc_val_loss,256,-1.0649028662592173,-1.4593707886882694,0.3961356348147534,0.3944679224290527,0.3944679224290527,-118.01670017010146,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_ubuntu_irc_val_loss,256,-1.9264513989910483,-1.4593707886882694,0.5736783394303177,0.48076157813193265,-0.46708061030277837,-1.9664620561227117,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_hackernews_val_loss,256,-0.9763440135866404,-1.4593707886882694,0.48530694126293294,0.48302677510162967,0.48302677510162967,-105.66979389242218,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_pubmed_abstracts_val_loss,256,-1.3422633856534958,-1.4593707886882694,0.12565012900868566,0.11713615345349974,0.11710740303477407,-6.6130150500065366,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,metric/the_pile_uspto_backgrounds_val_loss,256,-1.3764131953939795,-1.4593707886882694,0.12154240658810164,0.09181413642083769,0.08295759329429032,-0.8721728695302309,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_global,loss_mean_13_domains,256,-1.45937078868827,-1.4593707886882694,0.08636698091468056,0.07351992272127134,-3.0531133177191805e-16,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_arxiv_val_loss,256,-1.5935994358733296,-1.5935994358733296,0.23327621252864186,0.1925196954543935,5.204170427930421e-18,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_freelaw_val_loss,256,-1.3430465962737799,-1.3430465962737799,0.1038402869533652,0.09110369798145254,-2.6020852139652106e-17,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_pubmed_central_val_loss,256,-1.6638307059183717,-1.6638307059183717,0.28393653343681596,0.2593205858502188,-5.204170427930421e-18,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_wikipedia_en_val_loss,256,-1.3523109182715416,-1.3523109182715416,0.05744420566927408,0.04545344854705036,1.3877787807814457e-17,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_dm_mathematics_val_loss,256,-1.301036092452705,-1.301036092452705,0.7872011500183873,0.74458811567456,-1.5612511283791264e-17,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_github_val_loss,256,-2.439604685641825,-2.439604685641825,0.2748234372175908,0.21868236453883577,-8.673617379884035e-18,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_stackexchange_val_loss,256,-1.6231571352109313,-1.6231571352109313,0.1261502559212863,0.09079868833214279,-2.2551405187698492e-17,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_gutenberg_pg_19_val_loss,256,-0.9688598234206438,-0.9688598234206438,0.08013205323861004,0.06360693371971138,8.673617379884035e-18,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_pile_cc_val_loss,256,-1.0649028662592173,-1.0649028662592173,0.036311146285879954,0.026559939404251064,2.42861286636753e-17,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_ubuntu_irc_val_loss,256,-1.9264513989910483,-1.9264513989910483,0.3330803816058683,0.29966835168306716,4.163336342344337e-17,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_hackernews_val_loss,256,-0.9763440135866404,-0.9763440135866404,0.046988953732805025,0.03999453150026967,1.3877787807814457e-17,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_pubmed_abstracts_val_loss,256,-1.3422633856534958,-1.3422633856534958,0.04553911587141694,0.037176834070123704,0.0,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,metric/the_pile_uspto_backgrounds_val_loss,256,-1.3764131953939795,-1.3764131953939793,0.08882901729753927,0.0737431804882362,-2.0816681711721685e-16,0.0,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,loss_mean_13_domains,256,-1.45937078868827,-1.4593707886882694,0.08636698091468056,0.07351992272127134,-8.326672684688674e-17,1.1102230246251565e-16,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_arxiv_val_loss,256,-1.5935994358733296,-1.5935994358733296,0.15154038220253482,0.12399548825497553,9.540979117872439e-18,0.5779967015179204,0.8130993934538795
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_freelaw_val_loss,256,-1.3430465962737799,-1.3430465962737799,0.0655655422880353,0.05584329281190879,9.194034422677078e-17,0.6013244922857324,0.7931613355458914
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_pubmed_central_val_loss,256,-1.6638307059183717,-1.6638307059183717,0.1797464828810802,0.1579929335204637,7.719519468096792e-17,0.5992456445794736,0.8509670405127029
