domain,mean_delta_1m_to_60m,slope_per_log10_scale,bootstrap_ci95_low,bootstrap_ci95_high
metric/the_pile_arxiv_val_loss,-1.5935994358733296,-0.8962114080731343,-0.9128127777466383,-0.8805388701992292
metric/the_pile_freelaw_val_loss,-1.3430465962737799,-0.7553050371749939,-0.7624175766154421,-0.7481808895216165
metric/the_pile_pubmed_central_val_loss,-1.6638307059183717,-0.9357082000529444,-0.9555157979667613,-0.9157273765632217
metric/the_pile_wikipedia_en_val_loss,-1.3523109182715416,-0.7605151237723871,-0.7644533733592298,-0.7565818322053062
metric/the_pile_dm_mathematics_val_loss,-1.301036092452705,-0.7316790920749857,-0.7878349936381155,-0.6753312252543308
metric/the_pile_github_val_loss,-2.439604685641825,-1.3719894104145922,-1.390382740088603,-1.3535844055061514
metric/the_pile_stackexchange_val_loss,-1.6231571352109313,-0.9128341218783994,-0.9214123948628218,-0.9043881846897327
metric/the_pile_gutenberg_pg_19_val_loss,-0.9688598234206438,-0.544869185459678,-0.5504177685417545,-0.5393882962143515
metric/the_pile_pile_cc_val_loss,-1.0649028662592173,-0.5988820501233851,-0.6014563067943286,-0.5964205694845055
metric/the_pile_ubuntu_irc_val_loss,-1.9264513989910481,-1.0834013127822553,-1.1063839847477175,-1.060717744293374
metric/the_pile_hackernews_val_loss,-0.9763440135866405,-0.5490781582140384,-0.5523846313448025,-0.5459190138315895
metric/the_pile_pubmed_abstracts_val_loss,-1.3422633856534958,-0.7548645737329133,-0.7581199118222419,-0.7517353941742876
metric/the_pile_uspto_backgrounds_val_loss,-1.3764131953939795,-0.7740698071083731,-0.7801095560098179,-0.7678125417437758
loss_mean_13_domains,-1.4593707886882699,-0.8207236523740061,-0.8266993587132013,-0.8148080311743933
