base_model,correction,dataset,n,role,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains
B1_Q_proxy,C1_global,A6_A7_test_1m,256,paired_calibration_member,0.2855905125324189,0.2268927282647563,-0.0616648873158599,-0.0576653953864179,-0.0645850022888532,0.6819917717927996,0.5922188539369171,0.7506564652331735
B1_Q_proxy,C1_global,A8_A9_test_60m,256,paired_calibration_member,0.2280222002775531,0.1805210760364073,-0.0616648873158598,-0.0852832514906156,-0.0189180876630807,0.6571725398715559,0.5554538606776501,0.6928309348419431
B1_Q_proxy,C1_global,A10_A11_test_1b,64,external_retrospective_evaluation,0.6599792630623345,0.6580221864066067,-0.6580221864066067,-160.4552350534413,0.2822344322344322,0.7531524520220174,0.7245718679018476,0.8911674071452987
B1_Q_proxy,C1_global,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.2833041787686849,0.2660782265517939,-0.2660782265517939,-7.688114272115559,-0.1621543778801843,0.505082390500981,0.4447786838742822,0.553359965540896
B1_Q_proxy,C1_global,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.114651909268718,0.0977162197705868,0.0446006587497563,-0.2116831405374468,-0.2026689708141321,0.4230238705201073,0.3653423609105889,0.504692008282534
B1_Q_mapped,C1_global,A6_A7_test_1m,256,paired_calibration_member,0.2844030218250103,0.2261161804256535,-0.053676073424039,-0.0488880963889017,-0.0484526072410923,0.6913698864905798,0.5984073969859375,0.7589905166219598
B1_Q_mapped,C1_global,A8_A9_test_60m,256,paired_calibration_member,0.2266393885472234,0.1775999064417613,-0.0536760734240389,-0.0721600391191077,-0.0202234854648939,0.66484969478333,0.5646297165476292,0.6975578888122593
B1_Q_mapped,C1_global,A10_A11_test_1b,64,external_retrospective_evaluation,0.6588843685687219,0.65690758566841,-0.65690758566841,-159.91997637749756,0.2619963369963369,0.7497454745300421,0.7232679914631223,0.8913233871504284
B1_Q_mapped,C1_global,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.280605380367383,0.2614230619722341,-0.2614230619722341,-7.523374119365203,-0.0880397475231397,0.4967949654782694,0.4328615776901788,0.542884373684345
B1_Q_mapped,C1_global,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.1209321031492223,0.1039565494834598,0.0492558233293163,-0.3480614642942952,-0.1284353023435988,0.4064133790556328,0.352123928202665,0.4931874680996457
