dataset,role,scale_label,total_scale_tokens,log10_scale,domain,records,proportion_mean,proportion_median,proportion_p05,proportion_p95,proportion_zero_fraction,expected_tokens_mean,expected_tokens_median,expected_tokens_min,expected_tokens_max
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_arxiv,512,0.11302252583269277,0.0060030030030030004,0.0,0.6054450054450052,0.365234375,113022.52583269279,6003.003003003003,0.0,903096.903096903
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_dm_mathematics,512,0.025462854097050385,0.001,0.0,0.15023760023760013,0.47265625,25462.8540970504,1000.0,0.0,235235.2352352352
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_enron_emails,512,0.0022110330434062142,0.0,0.0,0.0149850149850149,0.6875,2211.0330434062257,0.0,0.0,26026.026026026026
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_europarl,512,0.012737064754031515,0.0,0.0,0.07138532934131735,0.515625,12737.064754031531,0.0,0.0,117117.11711711714
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_freelaw,512,0.09682483215202779,0.00499750249750245,0.0,0.5724499999999999,0.37109375,96824.83215202781,4997.502497502497,0.0,993000.0
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_github,512,0.11070066007050916,0.006,0.0,0.654104104104104,0.369140625,110700.66007050917,6000.0,0.0,991000.0
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_gutenberg_pg_19,512,0.04691494424753535,0.00199900099900095,0.0,0.24563103792415164,0.447265625,46914.944247535364,1999.0009990009992,0.0,404404.4044044044
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_hackernews,512,0.011650822378108662,0.0,0.0,0.08186268731268728,0.525390625,11650.822378108678,0.0,0.0,120120.12012012012
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_nih_exporter,512,0.005889680217095937,0.0,0.0,0.035035035035035,0.580078125,5889.68021709595,0.0,0.0,58000.0
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_philpapers,512,0.005487697351193022,0.0,0.0,0.034034034034034,0.59765625,5487.6973511930355,0.0,0.0,55055.055055055054
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_pile_cc,512,0.1194875977918856,0.0109945054945054,0.0,0.6557078057078055,0.306640625,119487.59779188561,10994.505494505494,0.0,995000.0
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_pubmed_abstracts,512,0.0661811661125716,0.002002002002002,0.0,0.41334999999999994,0.4453125,66181.16611257162,2002.002002002002,0.0,575424.5754245755
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_pubmed_central,512,0.11375419105058356,0.0119880119880119,0.0,0.6185604395604395,0.3046875,113754.19105058357,11988.011988011986,0.0,999000.0
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_stackexchange,512,0.09943242344413016,0.005,0.0,0.49689999999999995,0.380859375,99432.42344413018,5000.0,0.0,998000.0
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_ubuntu_irc,512,0.019599998284005875,0.0009990009990009,0.0,0.11764560439560434,0.4921875,19599.998284005895,999.000999000999,0.0,176000.0
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_uspto_backgrounds,512,0.07556475309333585,0.0029970029970029,0.0,0.3832199398797595,0.40625,75564.75309333586,2997.002997002997,0.0,679358.7174348697
