dataset,role,scale_label,total_scale_tokens,log10_scale,index,domain,proportion,expected_tokens
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_arxiv,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_freelaw,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_nih_exporter,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_pubmed_central,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_wikipedia_en,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_github,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_philpapers,0.004,4000.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_stackexchange,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_gutenberg_pg_19,0.209,209000.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_pile_cc,0.787,787000.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_europarl,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_hackernews,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_pubmed_abstracts,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,1,train_the_pile_uspto_backgrounds,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_arxiv,0.025050100200400802,25050.1002004008
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_freelaw,0.002004008016032064,2004.008016032064
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_nih_exporter,0.050100200400801605,50100.2004008016
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_pubmed_central,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_wikipedia_en,0.047094188376753505,47094.188376753504
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_github,0.3046092184368737,304609.2184368737
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_philpapers,0.009018036072144287,9018.036072144287
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_stackexchange,0.003006012024048096,3006.012024048096
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_enron_emails,0.001002004008016032,1002.004008016032
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_gutenberg_pg_19,0.1032064128256513,103206.41282565129
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_pile_cc,0.29959919839679355,299599.19839679357
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_ubuntu_irc,0.02404809619238477,24048.096192384768
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_europarl,0.04008016032064128,40080.160320641284
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_hackernews,0.09018036072144288,90180.36072144288
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_pubmed_abstracts,0.001002004008016032,1002.004008016032
A4_A5_train_1m,fit,1M,1000000,6.0,2,train_the_pile_uspto_backgrounds,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_arxiv,0.679,679000.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_freelaw,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_nih_exporter,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_pubmed_central,0.044,44000.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_wikipedia_en,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_dm_mathematics,0.001,1000.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_github,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_philpapers,0.003,3000.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_stackexchange,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_enron_emails,0.001,1000.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_gutenberg_pg_19,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_pile_cc,0.269,269000.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_europarl,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_hackernews,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_pubmed_abstracts,0.003,3000.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,train_the_pile_uspto_backgrounds,0.0,0.0
