dataset,role,scale_label,total_scale_tokens,log10_scale,index,original_mixture_sum,p_train_the_pile_arxiv,tokens_train_the_pile_arxiv,p_train_the_pile_freelaw,tokens_train_the_pile_freelaw,p_train_the_pile_nih_exporter,tokens_train_the_pile_nih_exporter,p_train_the_pile_pubmed_central,tokens_train_the_pile_pubmed_central,p_train_the_pile_wikipedia_en,tokens_train_the_pile_wikipedia_en,p_train_the_pile_dm_mathematics,tokens_train_the_pile_dm_mathematics,p_train_the_pile_github,tokens_train_the_pile_github,p_train_the_pile_philpapers,tokens_train_the_pile_philpapers,p_train_the_pile_stackexchange,tokens_train_the_pile_stackexchange,p_train_the_pile_enron_emails,tokens_train_the_pile_enron_emails,p_train_the_pile_gutenberg_pg_19,tokens_train_the_pile_gutenberg_pg_19,p_train_the_pile_pile_cc,tokens_train_the_pile_pile_cc,p_train_the_pile_ubuntu_irc,tokens_train_the_pile_ubuntu_irc,p_train_the_pile_europarl,tokens_train_the_pile_europarl,p_train_the_pile_hackernews,tokens_train_the_pile_hackernews,p_train_the_pile_pubmed_abstracts,tokens_train_the_pile_pubmed_abstracts,p_train_the_pile_uspto_backgrounds,tokens_train_the_pile_uspto_backgrounds
A4_A5_train_1m,fit,1M,1000000,6.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,4000.0,0.0,0.0,0.0,0.0,0.209,209000.0,0.787,787000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,2,0.998,0.025050100200400802,25050.1002004008,0.002004008016032064,2004.008016032064,0.050100200400801605,50100.2004008016,0.0,0.0,0.047094188376753505,47094.188376753504,0.0,0.0,0.3046092184368737,304609.2184368737,0.009018036072144287,9018.036072144287,0.003006012024048096,3006.012024048096,0.001002004008016032,1002.004008016032,0.1032064128256513,103206.41282565129,0.29959919839679355,299599.19839679357,0.02404809619238477,24048.096192384768,0.04008016032064128,40080.160320641284,0.09018036072144288,90180.36072144288,0.001002004008016032,1002.004008016032,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,3,1.0,0.679,679000.0,0.0,0.0,0.0,0.0,0.044,44000.0,0.0,0.0,0.001,1000.0,0.0,0.0,0.003,3000.0,0.0,0.0,0.001,1000.0,0.0,0.0,0.269,269000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,3000.0,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,4,1.001,0.007992007992007994,7992.007992007993,0.02497502497502498,24975.02497502498,0.0,0.0,0.006993006993006994,6993.006993006994,0.014985014985014986,14985.014985014986,0.0,0.0,0.31468531468531474,314685.3146853147,0.0,0.0,0.2157842157842158,215784.2157842158,0.0,0.0,0.10889110889110891,108891.1088911089,0.005994005994005995,5994.005994005995,0.0,0.0,0.008991008991008992,8991.008991008992,0.0,0.0,0.05394605394605395,53946.05394605395,0.23676323676323677,236763.23676323675
A4_A5_train_1m,fit,1M,1000000,6.0,5,1.001,0.19280719280719283,192807.19280719283,0.0029970029970029974,2997.0029970029973,0.0,0.0,0.059940059940059943,59940.059940059946,0.009990009990009992,9990.009990009992,0.06093906093906094,60939.060939060946,0.03096903096903097,30969.030969030973,0.0,0.0,0.41658341658341663,416583.41658341663,0.0,0.0,0.1278721278721279,127872.1278721279,0.02197802197802198,21978.02197802198,0.0,0.0,0.007992007992007994,7992.007992007993,0.0009990009990009992,999.0009990009992,0.0,0.0,0.06693306693306694,66933.06693306695
A4_A5_train_1m,fit,1M,1000000,6.0,6,0.999,0.5065065065065065,506506.5065065065,0.005005005005005005,5005.005005005005,0.0,0.0,0.011011011011011011,11011.01101101101,0.13813813813813816,138138.13813813817,0.0,0.0,0.2102102102102102,210210.21021021018,0.0,0.0,0.0,0.0,0.002002002002002002,2002.002002002002,0.0,0.0,0.0,0.0,0.026026026026026026,26026.026026026026,0.0990990990990991,99099.0990990991,0.0,0.0,0.001001001001001001,1001.001001001001,0.001001001001001001,1001.001001001001
A4_A5_train_1m,fit,1M,1000000,6.0,7,1.0,0.0,0.0,0.0,0.0,0.009,9000.0,0.319,319000.0,0.016,16000.0,0.004,4000.0,0.0,0.0,0.001,1000.0,0.028,28000.0,0.019,19000.0,0.004,4000.0,0.185,185000.0,0.008,8000.0,0.0,0.0,0.004,4000.0,0.001,1000.0,0.402,402000.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,0.999,0.0,0.0,0.5675675675675675,567567.5675675676,0.014014014014014014,14014.014014014014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022022022022022022,22022.02202202202,0.0,0.0,0.0,0.0,0.003003003003003003,3003.003003003003,0.3933933933933934,393393.39339339343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.828,828000.0,0.003,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,169000.0,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,1.0,0.006,6000.0,0.0,0.0,0.0,0.0,0.307,307000.0,0.59,590000.0,0.0,0.0,0.005,5000.0,0.0,0.0,0.036,36000.0,0.0,0.0,0.014,14000.0,0.042,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
