dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,arxiv,1419,1419,60.608517872756735,61.179191810222996,6.2422774380771759,53.024824334899748,68.188541410439072,3
A1,full,book,171,171,50.97305514322003,50.555916631127928,5.8805207297153368,43.161155791102004,58.735688415275277,6
A1,full,c4,10000,10000,63.451157224884106,64.410934935409514,9.5810437092539509,49.785961195033103,75.08855780484248,1
A1,full,commoncrawl,9640,9640,60.943193342721671,61.818052025725748,8.1659181754698515,49.849419943472071,70.593270134496166,2
A1,full,github,10000,10000,47.211349567321989,47.556399225769042,6.536750493981728,39.347109069558961,54.787597256513031,7
A1,full,stackexchange,10000,10000,58.499829905668847,58.381066077604437,6.5314135433404266,50.28008116998781,66.766259561839448,5
A1,full,wikipedia,10000,10000,58.667657621175074,57.957536069754681,7.178293241174611,50.12074661228214,68.545775799581918,4
A1,fit,arxiv,1146,1146,60.632063868384861,61.240018536852055,6.241338695549377,53.076514119168529,68.064941990504622,3
A1,fit,book,135,135,51.194521615663376,50.332346295457157,5.8679609376487756,43.943617528655906,58.874874253776227,6
A1,fit,c4,7944,7944,63.445779546106991,64.414552460594862,9.5369546749654557,49.859858364071364,75.035049384338805,1
A1,fit,commoncrawl,7676,7676,60.88199343894118,61.744894337565682,8.1688818893742372,49.78823046626303,70.566804557367561,2
A1,fit,github,8001,8001,47.172224566577732,47.541973311493109,6.5720306708877585,39.246879825772297,54.786221941490041,7
A1,fit,stackexchange,7957,7957,58.495297166653643,58.41980616998341,6.5348585943136426,50.265000667384406,66.721935205172187,5
A1,fit,wikipedia,8060,8060,58.657727630034103,57.922214324617855,7.2165359457102349,50.096937228622465,68.614156488068318,4
A1,holdout,arxiv,273,273,60.509676440559524,61.158723661675637,6.2567143973742176,52.547274042179126,68.42673077319408,3
A1,holdout,book,36,36,50.142555871557434,51.008016152424076,5.9358957896512683,42.071641345964707,57.451212839393563,6
A1,holdout,c4,2056,2056,63.471935571287496,64.366260834314517,9.7518451874609973,49.396197901498788,75.462286877833421,1
A1,holdout,commoncrawl,1964,1964,61.182384005358657,62.029866969877062,8.151994876510976,50.079057030022682,70.817992500808899,2
A1,holdout,github,1999,1999,47.367947431731622,47.601705990598091,6.3928128074241934,39.774380374276006,54.804280482033732,7
A1,holdout,stackexchange,2043,2043,58.517483848078967,58.210350407820698,6.5195459518147487,50.414393660894333,66.906756764224269,5
A1,holdout,wikipedia,1940,1940,58.708913151379321,58.208175881956656,7.0188562239407082,50.21462614581764,68.391160948967013,4
A2,full,arxiv,17523,17523,60.213735648525315,60.448758416663679,6.1053743309223982,52.815761065766544,67.759698916179488,1
A2,overlap_A1,arxiv,1419,1419,60.608517872756735,61.179191810222996,6.2422774380771759,53.024824334899748,68.188541410439072,1
A2,new_only,arxiv,16104,16104,60.178949509914766,60.393337558378505,6.0921351205329159,52.804996677894252,67.729607881570644,1
A3,full,github,203752,203752,47.231931425954663,47.540778385385636,6.5520362030177326,39.406241249266266,54.774223173992993,1
A3,overlap_A1,github,10000,10000,47.211349567321989,47.556399225769042,6.536750493981728,39.347109069558961,54.787597256513031,1
A3,new_only,github,193752,193752,47.232993704467027,47.540191242275014,6.5528392442789931,39.40853656676407,54.772514906134198,1
A1+A2+A3,unique_union,arxiv,17523,17523,60.213735648525315,60.448758416663679,6.1053743309223982,52.815761065766544,67.759698916179488,3
A1+A2+A3,unique_union,book,171,171,50.97305514322003,50.555916631127928,5.8805207297153368,43.161155791102004,58.735688415275277,6
A1+A2+A3,unique_union,c4,10000,10000,63.451157224884106,64.410934935409514,9.5810437092539509,49.785961195033103,75.08855780484248,1
A1+A2+A3,unique_union,commoncrawl,9640,9640,60.943193342721671,61.818052025725748,8.1659181754698515,49.849419943472071,70.593270134496166,2
A1+A2+A3,unique_union,github,203752,203752,47.231931425954663,47.540778385385636,6.5520362030177326,39.406241249266266,54.774223173992993,7
A1+A2+A3,unique_union,stackexchange,10000,10000,58.499829905668847,58.381066077604437,6.5314135433404266,50.28008116998781,66.766259561839448,5
A1+A2+A3,unique_union,wikipedia,10000,10000,58.667657621175074,57.957536069754681,7.178293241174611,50.12074661228214,68.545775799581918,4
A1+A2+A3,all_file_rows_diagnostic,arxiv,18942,17523,60.243309926647179,60.504343862556475,6.1164517204078779,52.825290824112763,67.797382432948979,3
A1+A2+A3,all_file_rows_diagnostic,book,171,171,50.97305514322003,50.555916631127928,5.8805207297153368,43.161155791102004,58.735688415275277,6
A1+A2+A3,all_file_rows_diagnostic,c4,10000,10000,63.451157224884106,64.410934935409514,9.5810437092539509,49.785961195033103,75.08855780484248,1
A1+A2+A3,all_file_rows_diagnostic,commoncrawl,9640,9640,60.943193342721671,61.818052025725748,8.1659181754698515,49.849419943472071,70.593270134496166,2
A1+A2+A3,all_file_rows_diagnostic,github,213752,203752,47.230968540992983,47.54136723171279,6.551308065892532,39.403475369607008,54.775489724615085,7
A1+A2+A3,all_file_rows_diagnostic,stackexchange,10000,10000,58.499829905668847,58.381066077604437,6.5314135433404266,50.28008116998781,66.766259561839448,5
A1+A2+A3,all_file_rows_diagnostic,wikipedia,10000,10000,58.667657621175074,57.957536069754681,7.178293241174611,50.12074661228214,68.545775799581918,4
