dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,ALL,51230,51230,57.837004586756443,58.059927212576099,9.6632876094580684,45.070225936972285,70.2716264335142,
A1,fit,ALL,40919,40919,57.81563830609614,58.015753169834824,9.6601203677852272,45.07145459255964,70.236492512063379,
A1,holdout,ALL,10311,10311,57.921796249867548,58.243560506878985,9.6758502752153639,45.068106118097681,70.403742983064433,
A2,full,ALL,17523,17523,66.623607248930625,66.886468974587984,3.9652670131621091,62.176449505947851,71.140610666311687,
A2,overlap_A1,ALL,1419,1419,66.800663517912412,67.199819399025927,4.1292369482899138,62.073820217837643,71.434535281555668,
A2,new_only,ALL,16104,16104,66.608005979327743,66.86727081332657,3.9502452337456471,62.183910774916022,71.110648088829876,
A3,full,ALL,203752,203752,47.313321337658145,47.222241334831175,6.110044618799674,39.814422456158233,54.812246848085152,
A3,overlap_A1,ALL,10000,10000,47.334773057626109,47.292394304718982,6.0737554940802969,39.760487630538321,54.824174808241573,
A3,new_only,ALL,193752,193752,47.31221416354029,47.217792728795416,6.1119252818602288,39.817168246964307,54.812178725049797,
A1+A2+A3,unique_union,ALL,261086,261086,50.567557019085214,48.881787880715578,9.0061220497868657,40.568773839600311,64.887007812169841,
A1+A2+A3,all_file_rows_diagnostic,ALL,272505,261086,50.533454666861381,48.853439550808652,8.9949029066160975,40.552222120004835,64.875211449070548,
