dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,arxiv,1419,1419,66.800663517912412,67.199819399025927,4.1292369482899138,62.073820217837643,71.434535281555668,1
A1,full,book,171,171,60.588044810113203,60.368971597370468,5.428891817296952,53.817505997716843,68.38508407297995,4
A1,full,c4,10000,10000,63.311304400608861,64.409623972372145,9.8058121448422053,49.551624485725704,74.990935862298244,2
A1,full,commoncrawl,9640,9640,61.625097273684631,62.489189919419147,8.0267782152965523,50.824764791298662,71.059505150831683,3
A1,full,github,10000,10000,47.334773057626109,47.292394304718982,6.0737554940802969,39.760487630538321,54.824174808241573,7
A1,full,stackexchange,10000,10000,58.069272242013781,58.093130640332809,6.6224070368100669,49.681830297621005,66.380723846995281,5
A1,full,wikipedia,10000,10000,57.661961306427806,57.402211101061951,8.4119392452654083,47.564276786096272,68.635887743219016,6
A1,fit,arxiv,1146,1146,66.789733755705342,67.262740689608052,4.1771770206724295,61.960930231692245,71.462779241767635,1
A1,fit,book,135,135,60.819702333181191,60.459342984100402,5.4555927903259409,54.018382794672092,68.949877625447527,4
A1,fit,c4,7944,7944,63.305445819904698,64.393136314165972,9.7665535217501169,49.685062370839795,74.942548006035011,2
A1,fit,commoncrawl,7676,7676,61.575394249576838,62.43114439922779,8.0200479493133514,50.832721847371943,71.021872188505284,3
A1,fit,github,8001,8001,47.308470643157214,47.279366151974855,6.0926259003428127,39.705994843335525,54.800798172006296,7
A1,fit,stackexchange,7957,7957,58.06026292434877,58.110484549190716,6.6344398272814162,49.647020103307881,66.391864661453354,5
A1,fit,wikipedia,8060,8060,57.686679353611858,57.364946433791381,8.4144019421342016,47.59535065469985,68.680293939605434,6
A1,holdout,arxiv,273,273,66.846544497726654,67.131608880279188,3.9286612091183479,62.226383408374936,71.212970775886134,1
A1,holdout,book,36,36,59.719329098608227,59.555321087492374,5.312159760566697,53.186427894762829,66.385182100172528,4
A1,holdout,c4,2056,2056,63.333940862240105,64.466491449847283,9.9584165550888475,49.020926548337378,75.203046126122715,2
A1,holdout,commoncrawl,1964,1964,61.819354103140526,62.761659285350291,8.0521323154628295,50.794137739562593,71.174944507451528,3
A1,holdout,github,1999,1999,47.440048504432319,47.329474660928099,5.9979874267402904,40.063729538380635,54.870055220275717,7
A1,holdout,stackexchange,2043,2043,58.104361395543187,57.990264554869391,6.5768303541284201,49.878736343363187,66.378073715873867,5
A1,holdout,wikipedia,1940,1940,57.559266739261076,57.625947357781364,8.4030884709399842,47.34232299641598,68.614250507918086,6
A2,full,arxiv,17523,17523,66.623607248930625,66.886468974587984,3.9652670131621091,62.176449505947851,71.140610666311687,1
A2,overlap_A1,arxiv,1419,1419,66.800663517912412,67.199819399025927,4.1292369482899138,62.073820217837643,71.434535281555668,1
A2,new_only,arxiv,16104,16104,66.608005979327743,66.86727081332657,3.9502452337456471,62.183910774916022,71.110648088829876,1
A3,full,github,203752,203752,47.313321337658145,47.222241334831175,6.110044618799674,39.814422456158233,54.812246848085152,1
A3,overlap_A1,github,10000,10000,47.334773057626109,47.292394304718982,6.0737554940802969,39.760487630538321,54.824174808241573,1
A3,new_only,github,193752,193752,47.31221416354029,47.217792728795416,6.1119252818602288,39.817168246964307,54.812178725049797,1
A1+A2+A3,unique_union,arxiv,17523,17523,66.623607248930625,66.886468974587984,3.9652670131621091,62.176449505947851,71.140610666311687,1
A1+A2+A3,unique_union,book,171,171,60.588044810113203,60.368971597370468,5.428891817296952,53.817505997716843,68.38508407297995,4
A1+A2+A3,unique_union,c4,10000,10000,63.311304400608861,64.409623972372145,9.8058121448422053,49.551624485725704,74.990935862298244,2
A1+A2+A3,unique_union,commoncrawl,9640,9640,61.625097273684631,62.489189919419147,8.0267782152965523,50.824764791298662,71.059505150831683,3
A1+A2+A3,unique_union,github,203752,203752,47.313321337658145,47.222241334831175,6.110044618799674,39.814422456158233,54.812246848085152,7
A1+A2+A3,unique_union,stackexchange,10000,10000,58.069272242013781,58.093130640332809,6.6224070368100669,49.681830297621005,66.380723846995281,5
A1+A2+A3,unique_union,wikipedia,10000,10000,57.661961306427806,57.402211101061951,8.4119392452654083,47.564276786096272,68.635887743219016,6
A1+A2+A3,all_file_rows_diagnostic,arxiv,18942,17523,66.636871046084323,66.904628371839323,3.9779452857956636,62.169200763238877,71.160728181809631,1
A1+A2+A3,all_file_rows_diagnostic,book,171,171,60.588044810113203,60.368971597370468,5.428891817296952,53.817505997716843,68.38508407297995,4
A1+A2+A3,all_file_rows_diagnostic,c4,10000,10000,63.311304400608861,64.409623972372145,9.8058121448422053,49.551624485725704,74.990935862298244,2
A1+A2+A3,all_file_rows_diagnostic,commoncrawl,9640,9640,61.625097273684631,62.489189919419147,8.0267782152965523,50.824764791298662,71.059505150831683,3
A1+A2+A3,all_file_rows_diagnostic,github,213752,203752,47.314324917506191,47.225541808474475,6.108339249698596,39.812089884548648,54.812382194478374,7
A1+A2+A3,all_file_rows_diagnostic,stackexchange,10000,10000,58.069272242013781,58.093130640332809,6.6224070368100669,49.681830297621005,66.380723846995281,5
A1+A2+A3,all_file_rows_diagnostic,wikipedia,10000,10000,57.661961306427806,57.402211101061951,8.4119392452654083,47.564276786096272,68.635887743219016,6
