dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,ALL,51230,51230,59.703412010344451,59.958707189571413,9.2314020133940371,47.496446227881982,71.594090278554759,
A1,fit,ALL,40919,40919,59.676693834526624,59.91132627128826,9.2309077953480241,47.479291518574968,71.567702859756224,
A1,holdout,ALL,10311,10311,59.809442563762033,60.122764745077895,9.2330485022424629,47.565498179361825,71.652981006807252,
A2,full,ALL,17523,17523,63.773424525096694,63.810921900699476,4.7466910142332637,58.146100350782838,69.681043577072046,
A2,overlap_A1,ALL,1419,1419,64.078506451079718,64.325625771387109,4.879136015484665,58.167785014567876,70.086023971446366,
A2,new_only,ALL,16104,16104,63.746542306208859,63.764052629262181,4.7340559379025642,58.145451447907092,69.64641219407028,
A3,full,ALL,203752,203752,49.239195306571339,49.279489613041434,5.9730278821252352,41.7356704730648,56.487146036368479,
A3,overlap_A1,ALL,10000,10000,49.246782545141372,49.325247739829294,5.9487662182367735,41.651523721945694,56.445283188136749,
A3,new_only,ALL,193752,193752,49.238803711203538,49.278092821158737,5.9742924412270648,41.739968036932687,56.488947633971456,
A1+A2+A3,unique_union,ALL,261086,261086,52.187006623266825,50.854871020994636,8.3886024707482232,42.603223788012031,64.485598256510087,
A1+A2+A3,all_file_rows_diagnostic,ALL,272505,261086,52.141032411690574,50.823359825018684,8.3602489481286053,42.583167430150141,64.410436428694481,
