dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,arxiv,1419,1419,64.078506451079718,64.325625771387109,4.879136015484665,58.167785014567876,70.086023971446366,2
A1,full,book,171,171,57.670400977371237,57.470061863609359,4.8114607813254819,51.664332798202153,64.385665427730558,6
A1,full,c4,10000,10000,65.604706396013526,66.710547945551809,9.2106867132734838,52.506848875538417,76.614819722015653,1
A1,full,commoncrawl,9640,9640,62.976077628194879,63.839470633787784,7.7208409170657806,52.465837980314625,72.062246204928471,3
A1,full,github,10000,10000,49.246782545141372,49.325247739829294,5.9487662182367735,41.651523721945694,56.445283188136749,7
A1,full,stackexchange,10000,10000,60.239770381214484,60.187596727690895,6.37578120305949,52.203894012079026,68.362836646616088,4
A1,full,wikipedia,10000,10000,59.981477650924049,59.708132492931682,7.5393816524121462,50.790554978585803,69.842691923942795,5
A1,fit,arxiv,1146,1146,64.094352305803824,64.322122885104605,4.9034043270579986,58.200168061492725,70.047086365354318,2
A1,fit,book,135,135,57.834313159273478,57.395716122761549,4.8079145059822013,51.936911980097626,64.485953717555503,6
A1,fit,c4,7944,7944,65.600572540529399,66.727406257965058,9.1709705477312582,52.609343601206952,76.532722656007905,1
A1,fit,commoncrawl,7676,7676,62.923163521426424,63.744935239365205,7.721406069741291,52.492211799367823,72.058801712262465,3
A1,fit,github,8001,8001,49.214989628891402,49.321252240243751,5.9732281212643246,41.564973892226163,56.431825071361679,7
A1,fit,stackexchange,7957,7957,60.227587835816855,60.216973453102646,6.3854755739782982,52.193121145908236,68.31623045186123,4
A1,fit,wikipedia,8060,8060,59.990282272115707,59.675805786097712,7.5477417063486261,50.80149844700118,69.81514214749761,5
A1,holdout,arxiv,273,273,64.011988687292828,64.43777176111773,4.7842050540227099,57.840784037350431,70.14055636015955,2
A1,holdout,book,36,36,57.055730295237886,57.783524715346374,4.8425144477962876,50.760306618293313,63.825807214734617,6
A1,holdout,c4,2056,2056,65.620678841522249,66.628443965381109,9.3648012079198928,52.03844282522531,76.874553375670985,1
A1,holdout,commoncrawl,1964,1964,63.182884493548627,64.117282635071604,7.7171167234841285,52.37761774846453,72.075230009502945,3
A1,holdout,github,1999,1999,49.374033732192913,49.331851328404262,5.849579136671017,42.045815086332865,56.487985406958977,7
A1,holdout,stackexchange,2043,2043,60.287218503450816,60.054154265752281,6.3392157878769035,52.238606362367385,68.460661851066362,4
A1,holdout,wikipedia,1940,1940,59.944897626797896,59.936187681305029,7.5063775252296114,50.741001461981668,69.924318861932647,5
A2,full,arxiv,17523,17523,63.773424525096694,63.810921900699476,4.7466910142332637,58.146100350782838,69.681043577072046,1
A2,overlap_A1,arxiv,1419,1419,64.078506451079718,64.325625771387109,4.879136015484665,58.167785014567876,70.086023971446366,1
A2,new_only,arxiv,16104,16104,63.746542306208859,63.764052629262181,4.7340559379025642,58.145451447907092,69.64641219407028,1
A3,full,github,203752,203752,49.239195306571339,49.279489613041434,5.9730278821252352,41.7356704730648,56.487146036368479,1
A3,overlap_A1,github,10000,10000,49.246782545141372,49.325247739829294,5.9487662182367735,41.651523721945694,56.445283188136749,1
A3,new_only,github,193752,193752,49.238803711203538,49.278092821158737,5.9742924412270648,41.739968036932687,56.488947633971456,1
A1+A2+A3,unique_union,arxiv,17523,17523,63.773424525096694,63.810921900699476,4.7466910142332637,58.146100350782838,69.681043577072046,2
A1+A2+A3,unique_union,book,171,171,57.670400977371237,57.470061863609359,4.8114607813254819,51.664332798202153,64.385665427730558,6
A1+A2+A3,unique_union,c4,10000,10000,65.604706396013526,66.710547945551809,9.2106867132734838,52.506848875538417,76.614819722015653,1
A1+A2+A3,unique_union,commoncrawl,9640,9640,62.976077628194879,63.839470633787784,7.7208409170657806,52.465837980314625,72.062246204928471,3
A1+A2+A3,unique_union,github,203752,203752,49.239195306571339,49.279489613041434,5.9730278821252352,41.7356704730648,56.487146036368479,7
A1+A2+A3,unique_union,stackexchange,10000,10000,60.239770381214484,60.187596727690895,6.37578120305949,52.203894012079026,68.362836646616088,4
A1+A2+A3,unique_union,wikipedia,10000,10000,59.981477650924049,59.708132492931682,7.5393816524121462,50.790554978585803,69.842691923942795,5
A1+A2+A3,all_file_rows_diagnostic,arxiv,18942,17523,63.796279094464765,63.84904646624031,4.7572870630948438,58.148456810273721,69.729446496242232,2
A1+A2+A3,all_file_rows_diagnostic,book,171,171,57.670400977371237,57.470061863609359,4.8114607813254819,51.664332798202153,64.385665427730558,6
A1+A2+A3,all_file_rows_diagnostic,c4,10000,10000,65.604706396013526,66.710547945551809,9.2106867132734838,52.506848875538417,76.614819722015653,1
A1+A2+A3,all_file_rows_diagnostic,commoncrawl,9640,9640,62.976077628194879,63.839470633787784,7.7208409170657806,52.465837980314625,72.062246204928471,3
A1+A2+A3,all_file_rows_diagnostic,github,213752,203752,49.239550261779705,49.281026790694753,5.9718813902392789,41.733398519282332,56.484613219867583,7
A1+A2+A3,all_file_rows_diagnostic,stackexchange,10000,10000,60.239770381214484,60.187596727690895,6.37578120305949,52.203894012079026,68.362836646616088,4
A1+A2+A3,all_file_rows_diagnostic,wikipedia,10000,10000,59.981477650924049,59.708132492931682,7.5393816524121462,50.790554978585803,69.842691923942795,5
