pair,role,scale_low,scale_high,log10_scale_gap,target,mean_delta_low_minus_high,mean_loss_drop_per_log10_scale,delta_cv,max_absolute_corr_with_ilr,median_delta_low_minus_high,sd_delta,min_delta,max_delta,positive_fraction,mean_absolute_delta,shared_prediction_mae_lower_bound,shared_prediction_rmse_lower_bound
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_arxiv_val_loss,1.5935994358733296,0.8962114080731342,0.14666996238007116,0.6396613016115847,1.583400845527649,0.23373316930844387,1.2058730125427246,2.274190902709961,1.0,1.5935994358733296,0.7967997179366648,0.8052913996416923
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_freelaw_val_loss,1.3430465962737799,0.7553050371749939,0.07746841875939657,0.6395318117369905,1.3330137729644778,0.1040436961335194,1.117124319076538,1.5414237976074219,1.0,1.3430465962737799,0.6715232981368899,0.6735274613846756
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_pubmed_central_val_loss,1.6638307059183717,0.9357082000529443,0.1709865829326684,0.8568561911649774,1.6157914400100708,0.28449272698343187,1.2611751556396489,2.188296318054199,1.0,1.6638307059183717,0.8319153529591858,0.8439420259971865
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_wikipedia_en_val_loss,1.3523109182715416,0.760515123772387,0.04256175882175922,0.6767550025686144,1.3496978282928467,0.057556731155505095,1.2222685813903809,1.606424331665039,1.0,1.3523109182715416,0.6761554591357708,0.6767652208191172
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_dm_mathematics_val_loss,1.301036092452705,0.7316790920749856,0.6062423448159328,0.8639560670276549,1.3492709398269656,0.7887431713786864,0.30897986888885454,2.4326322078704834,1.0,1.301036092452705,0.6505180462263525,0.7603256809510769
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_github_val_loss,2.439604685641825,1.371989410414592,0.11287147506024241,0.8139674518563784,2.4032907485961914,0.2753617794322718,1.8925976753234863,3.3557739257812482,1.0,2.439604685641825,1.2198023428209126,1.2275177130951758
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_stackexchange_val_loss,1.6231571352109313,0.9128341218783993,0.07787130684596523,0.6573374407575695,1.6189873218536377,0.1263973673352283,1.3504762649536133,2.0576324462890625,1.0,1.6231571352109313,0.8115785676054657,0.8140259474757491
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_gutenberg_pg_19_val_loss,0.9688598234206438,0.5448691854596779,0.08286959499322233,0.6088085524708797,0.9387588500976562,0.08028902117207365,0.8560090065002441,1.2380495071411133,1.0,0.9688598234206438,0.4844299117103219,0.48608396995655917
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_pile_cc_val_loss,1.0649028662592173,0.5988820501233851,0.03416487653375027,0.22923971072505608,1.0657367706298828,0.03638227494618294,0.9348320960998535,1.259798526763916,1.0,1.0649028662592173,0.5324514331296086,0.5327608783290331
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_ubuntu_irc_val_loss,1.9264513989910483,1.0834013127822553,0.17323709361554482,0.8865349790391123,1.973179817199707,0.3337328413528095,1.2889297008514404,2.512852668762207,1.0,1.9264513989910483,0.9632256994955242,0.9775169478435244
