block,dataset,selected_alpha,role,mean_target_r2,centered_relative_mean_target_r2,mae,rmse,mean_residual
shared_ilr_plus_scale,A4_A5_train_1m,10.0,adaptation,0.7436552798452403,0.7446738614681845,0.2802404342522321,0.393081698761033,0.022763421915838664
shared_ilr_plus_scale,A6_A7_validation_1m,10.0,adaptation,0.7847024649172275,0.7874032385122671,0.25138660234764126,0.33493541336389765,-0.034663771412143184
shared_ilr_plus_scale,A8_A9_validation_60m,10.0,adaptation,0.6937706706750262,0.6942109973893446,0.23524616630237005,0.3195121647773367,-0.010863072419539712
shared_ilr_plus_scale,A10_A11_validation_1b,10.0,unseen_scale_holdout,-17.945922562911235,-1.6724656938952482,0.6181972596414034,0.7153540265674333,-0.45814803546333904
shared_ilr_plus_scale,A12_A13_extrapolation_10b,10.0,extrapolation_diagnostic,-19.487745889391903,-1.88314140236143,0.8291424056033138,1.0366083124226455,-0.1943274184513219
shared_ilr_plus_scale,A14_A15_extrapolation_70b,10.0,extrapolation_diagnostic,-33.51021731957778,-3.889446213250639,0.9270645386071412,1.2089623786084467,0.12766317279497028
scale_plus_top1_interactions,A4_A5_train_1m,10.0,adaptation,0.7438761725070125,0.7448977767765956,0.27999498738324563,0.39278726193103186,0.022805305151793024
scale_plus_top1_interactions,A6_A7_validation_1m,10.0,adaptation,0.7847979228711641,0.7875122133828373,0.2511989917296218,0.3347651796304575,-0.034772117850639946
scale_plus_top1_interactions,A8_A9_validation_60m,10.0,adaptation,0.6971676607672043,0.6976064104783053,0.23369765846958535,0.3169231160521331,-0.010838492452946087
scale_plus_top1_interactions,A10_A11_validation_1b,10.0,unseen_scale_holdout,-17.831696453618555,-1.695316042105566,0.6123177668745134,0.7033377272908418,-0.446733608382179
scale_plus_top1_interactions,A12_A13_extrapolation_10b,10.0,extrapolation_diagnostic,-19.406861294109113,-1.7996569358449024,0.8214864768201112,1.0335384648076238,-0.19008014580165894
scale_plus_top1_interactions,A14_A15_extrapolation_70b,10.0,extrapolation_diagnostic,-33.444618706566274,-3.7278034838802947,0.9271306902406153,1.2071280166743978,0.1328956724629416
scale_plus_top3_interactions,A4_A5_train_1m,10.0,adaptation,0.7446023688548749,0.745624877098768,0.27918901271044094,0.3915185969021111,0.0227711220337581
scale_plus_top3_interactions,A6_A7_validation_1m,10.0,adaptation,0.7852530444957182,0.7879737056744601,0.250179966620671,0.33288919745632317,-0.03473199215252616
scale_plus_top3_interactions,A8_A9_validation_60m,10.0,adaptation,0.7157328448750457,0.7161700435013921,0.22526414426374938,0.30106247146928483,-0.010810251914990009
scale_plus_top3_interactions,A10_A11_validation_1b,10.0,unseen_scale_holdout,-17.20074864368156,-1.3363152194098296,0.5912414770523035,0.6770433857410534,-0.4340872261425745
scale_plus_top3_interactions,A12_A13_extrapolation_10b,10.0,extrapolation_diagnostic,-19.35575839792009,-1.6852696591929022,0.8159037440202463,1.0262365410164689,-0.18694219595259437
scale_plus_top3_interactions,A14_A15_extrapolation_70b,10.0,extrapolation_diagnostic,-33.22368866365813,-3.4390814730004826,0.9348098579867039,1.1992511948483262,0.13676046658094307
scale_plus_top5_interactions,A4_A5_train_1m,10.0,adaptation,0.7447948130463153,0.745813844835994,0.27900725390813497,0.39127581701720276,0.02275459035552086
scale_plus_top5_interactions,A6_A7_validation_1m,10.0,adaptation,0.7852970778569397,0.7880093389794289,0.24995404616513445,0.33265442502033155,-0.03469603011128293
scale_plus_top5_interactions,A8_A9_validation_60m,10.0,adaptation,0.7193613316891022,0.7197990690218597,0.22365143857687686,0.29827989534330407,-0.010813150599758785
scale_plus_top5_interactions,A10_A11_validation_1b,10.0,unseen_scale_holdout,-17.22752517249115,-1.3074008628862832,0.5915101016832884,0.6772247384621894,-0.4344310455649959
scale_plus_top5_interactions,A12_A13_extrapolation_10b,10.0,extrapolation_diagnostic,-19.321702217392534,-1.619336810938593,0.8163958070780596,1.024905256734839,-0.18609172149459097
scale_plus_top5_interactions,A14_A15_extrapolation_70b,10.0,extrapolation_diagnostic,-33.21448681720539,-3.284554228197422,0.9350106724883703,1.1982406251290698,0.1378003195690769
full_interaction,A4_A5_train_1m,0.1,adaptation,0.7504898034358365,0.7512039153475867,0.27578090373489533,0.38475119934000207,0.019018904843541733
full_interaction,A6_A7_validation_1m,0.1,adaptation,0.7831277688198559,0.7864081882059704,0.2502669929751937,0.33118915703428076,-0.03792553759477883
full_interaction,A8_A9_validation_60m,0.1,adaptation,0.773040894975424,0.7730409421245678,0.1935717809355214,0.25605950844048714,-0.00011227209231056124
full_interaction,A10_A11_validation_1b,0.1,unseen_scale_holdout,-18.673627309798594,0.015833146395577227,0.5558581420049706,0.6352339835019624,-0.4909654029585695
full_interaction,A12_A13_extrapolation_10b,0.1,extrapolation_diagnostic,-18.490343087521644,-0.4541493992024532,0.7966977515958966,1.0127058699270113,-0.1358705649330518
full_interaction,A14_A15_extrapolation_70b,0.1,extrapolation_diagnostic,-33.21703179598091,-1.3170047480114588,0.9504220236429652,1.2148574727829486,0.19987961525380757
