dataset,calibration_mode,n,offset_added,mae,rmse,mean_signed_error
B1,raw,1176,0.0,0.0732845879197762,0.1030262626859386,-6.933229500720366e-16
B1,median_offset_demo,1176,-0.005130304691489229,0.07313742514016133,0.10315391814788012,-0.005130304691489921
B1,mean_offset_demo,1176,6.933229500720366e-16,0.07328458791977624,0.10302626268593862,1.8579242452910784e-16
B2,raw,1029,0.0,1.3678884629690575,1.4013961230414513,-1.3678884629690575
B2,median_offset_demo,1029,1.2745947518213043,0.16829099370455272,0.3185843108056029,-0.09329371114775302
B2,mean_offset_demo,1029,1.3678884629690575,0.1893523672445623,0.3046181979983478,1.7651359264205598e-16
B4,raw,57,0.0,0.4746052899829802,0.5186414700883323,-0.4746052899829802
B4,median_offset_demo,57,0.4548356241748852,0.16126520720486148,0.21007054267964748,-0.019769665808094937
B4,mean_offset_demo,57,0.4746052899829802,0.1622692631292092,0.20913821557897505,8.180590707764311e-17
B5,raw,44,0.0,0.22545035978108785,0.25089207636552185,-0.19883163388727632
B5,median_offset_demo,44,0.20929778265347798,0.1155777896382375,0.15336999582289626,0.010466148766201621
B5,mean_offset_demo,44,0.19883163388727632,0.11594160737858336,0.1530124679518599,-4.5418214643756407e-17
