axis,lambda_Q,lambda_p,direction_id,to_index,from_index,slope_per_fraction,sign,all_effects_disabled
Q_A_topsis_0_1,0.0,0.0,00_from_01,0,1,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_02,0,2,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_03,0,3,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_04,0,4,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_05,0,5,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_06,0,6,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_07,0,7,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_08,0,8,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_09,0,9,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_10,0,10,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_11,0,11,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_12,0,12,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_13,0,13,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_14,0,14,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_15,0,15,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,00_from_16,0,16,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_00,1,0,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_02,1,2,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_03,1,3,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_04,1,4,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_05,1,5,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_06,1,6,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_07,1,7,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_08,1,8,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_09,1,9,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_10,1,10,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_11,1,11,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_12,1,12,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_13,1,13,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_14,1,14,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_15,1,15,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,01_from_16,1,16,0.0,0,True
Q_A_topsis_0_1,0.0,0.0,02_from_00,2,0,-0.0,0,True
Q_A_topsis_0_1,0.0,0.0,02_from_01,2,1,-0.0,0,True
Q_A_topsis_0_1,0.0,0.0,02_from_03,2,3,-0.0,0,True
