axis,donor_index,to1_index,to2_index,step,minimum_corner_weight,loss00,loss10,loss01,loss11,interaction_loss,complementarity_benefit,all_corners_training_hull_supported,is_empirical_complementarity_evidence
Q_A_topsis_0_1,0,1,2,0.0005078420881752764,0.0018266505543980808,2.3855781852659437,2.385656028572577,2.3844226061686635,2.3845004494752975,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,1,3,0.001,0.0018726389675587085,2.3855781852659437,2.3857314677693955,2.3855188357097497,2.385672118213201,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,1,4,0.001,0.0018750907876170918,2.3855781852659437,2.3857314677693955,2.3854250056248842,2.385578288128336,0.0,-0.0,True,False
Q_A_topsis_0_1,0,1,5,0.001,0.001868061831854567,2.3855781852659437,2.3857314677693955,2.3841764511955996,2.384329733699052,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,1,6,0.001,0.0018764001451444959,2.3855781852659437,2.3857314677693955,2.3858000151730048,2.3859532976764566,0.0,-0.0,True,False
Q_A_topsis_0_1,0,1,7,0.0004929559886726816,0.0018519866191583304,2.3855781852659437,2.385653746793979,2.3834134497014676,2.383489011229503,0.0,-0.0,True,False
Q_A_topsis_0_1,0,1,8,0.001,0.0018731137311515966,2.3855781852659437,2.3857314677693955,2.3852908973656763,2.385444179869128,0.0,-0.0,True,False
Q_A_topsis_0_1,0,1,9,0.0002058725585497028,0.0018822916036562865,2.3855781852659437,2.3856097419271105,2.3846334990376294,2.3846650556987963,0.0,-0.0,True,False
Q_A_topsis_0_1,0,1,10,0.001,0.0018702096757874935,2.3855781852659437,2.3857314677693955,2.385252300352736,2.3854055828561878,0.0,-0.0,True,False
Q_A_topsis_0_1,0,1,11,0.001,0.0018752868405773474,2.3855781852659437,2.3857314677693955,2.385446222744704,2.385599505248156,0.0,-0.0,True,False
Q_A_topsis_0_1,0,1,12,0.001,0.0018551435226511082,2.3855781852659437,2.3857314677693955,2.3832599002932566,2.383413182796709,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,1,13,0.001,0.0018455800415628075,2.3855781852659437,2.3857314677693955,2.384283486089201,2.3844367685926526,0.0,-0.0,True,False
Q_A_topsis_0_1,0,1,14,0.001,0.0018352363994991745,2.3855781852659437,2.3857314677693955,2.3835569802044962,2.3837102627079485,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,1,15,0.001,0.0018729022401284883,2.3855781852659437,2.3857314677693955,2.38523977222687,2.3853930547303213,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,1,16,0.001,0.0018756733900869896,2.3855781852659437,2.3857314677693955,2.3854495335266876,2.3856028160301395,0.0,-0.0,True,False
Q_A_topsis_0_1,0,2,3,0.0005128720771091377,0.0018256547515307236,2.3855781852659437,2.384411160583103,2.385547746535783,2.384380721852942,0.0,-0.0,True,False
Q_A_topsis_0_1,0,2,4,0.0005103094800106895,0.0018300201682804691,2.3855781852659437,2.3844169916942115,2.3855000162429665,2.3843388226712343,0.0,-0.0,True,False
Q_A_topsis_0_1,0,2,5,0.0005037505364682142,0.0018252197937921619,2.3855781852659437,2.3844319163690946,2.384872060976022,2.383725792079173,0.0,-0.0,True,False
Q_A_topsis_0_1,0,2,6,0.0005115136027635266,0.0018246804286910963,2.3855781852659437,2.384414251749815,2.385691654280905,2.3845277207647766,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,2,7,0.0003229484609717128,0.0018461041775654334,2.3855781852659437,2.384843325947098,2.384160009941934,2.3834251506230886,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,2,8,0.0005127876160141002,0.0018247110686122482,2.3855781852659437,2.3844113527717345,2.3854308675884557,2.384264035094247,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,2,9,0.00019633702745256552,0.0018616890626250455,2.3855781852659437,2.385131426381186,2.3846772546744694,2.3842304957897116,0.0,-0.0,True,False
Q_A_topsis_0_1,0,2,10,0.0005080683193920412,0.0018210640447891117,2.3855781852659437,2.384422091386468,2.385412613465775,2.384256519586299,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,2,11,0.0005128648285276837,0.001826018588515594,2.3855781852659437,2.3844111770770278,2.385510506330116,2.3843434981412,0.0,-0.0,True,False
Q_A_topsis_0_1,0,2,12,0.0004567737093835837,0.0018279390472888493,2.3855781852659437,2.384538810698453,2.3845192536395614,2.3834798790720706,0.0,-0.0,True,False
Q_A_topsis_0_1,0,2,13,0.00047045312874173083,0.0018188684305099892,2.3855781852659437,2.38450768359922,2.3849690899874654,2.383898588320742,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,2,14,0.00045882315087658783,0.0018492551600183616,2.3855781852659437,2.3845341472571873,2.3846508095910828,2.3836067715823264,0.0,-0.0,True,False
Q_A_topsis_0_1,0,2,15,0.0004746031452597716,0.001832561869358216,2.3855781852659437,2.384498240363905,2.3854175733732026,2.3843376284711635,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,2,16,0.0005121654783729103,0.0018286364665256695,2.3855781852659437,2.3844127684268575,2.385512294286364,2.384346877447278,0.0,-0.0,True,False
Q_A_topsis_0_1,0,3,4,0.001,0.0018749945582302856,2.3855781852659437,2.3855188357097497,2.3854250056248842,2.3853656560686898,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,3,5,0.001,0.00186759989616445,2.3855781852659437,2.3855188357097497,2.3841764511955996,2.3841171016394056,0.0,-0.0,True,False
