check,comparisons,max_absolute_error,tolerance,passed
train_quality_min_Q_A_topsis_0_1,1,0.0,2e-10,True
train_quality_max_Q_A_topsis_0_1,1,0.0,2e-10,True
train_quality_min_quality_score_soft_proxy_0_1,1,6.591949208711867e-17,2e-10,True
train_quality_max_quality_score_soft_proxy_0_1,1,0.0,2e-10,True
LP_primal_00_from_01,18,2.220446049250313e-16,2e-08,True
LP_dual_gap_00_from_01,1,0.0,2e-08,True
LP_safe_witness_00_from_01,17,1.3877787807814457e-16,2e-08,True
LP_primal_00_from_02,18,2.0816681711721685e-16,2e-08,True
LP_dual_gap_00_from_02,1,0.0,2e-08,True
LP_safe_witness_00_from_02,17,2.220446049250313e-16,2e-08,True
LP_primal_00_from_03,18,1.6653345369377348e-16,2e-08,True
LP_dual_gap_00_from_03,1,0.0,2e-08,True
LP_safe_witness_00_from_03,17,1.6653345369377348e-16,2e-08,True
LP_primal_00_from_04,18,1.1102230246251565e-16,2e-08,True
LP_dual_gap_00_from_04,1,0.0,2e-08,True
LP_safe_witness_00_from_04,17,5.551115123125783e-17,2e-08,True
LP_primal_00_from_05,18,1.2212453270876722e-15,2e-08,True
LP_dual_gap_00_from_05,1,0.0,2e-08,True
LP_safe_witness_00_from_05,17,8.881784197001252e-16,2e-08,True
LP_primal_00_from_06,18,1.249000902703301e-16,2e-08,True
LP_dual_gap_00_from_06,1,0.0,2e-08,True
LP_safe_witness_00_from_06,17,1.5265566588595902e-16,2e-08,True
LP_primal_00_from_07,18,2.636779683484747e-16,2e-08,True
LP_dual_gap_00_from_07,1,0.0,2e-08,True
LP_safe_witness_00_from_07,17,2.7755575615628914e-16,2e-08,True
LP_primal_00_from_08,18,2.220446049250313e-16,2e-08,True
LP_dual_gap_00_from_08,1,0.0,2e-08,True
LP_safe_witness_00_from_08,17,6.938893903907228e-17,2e-08,True
LP_primal_00_from_09,18,2.220446049250313e-16,2e-08,True
LP_dual_gap_00_from_09,1,0.0,2e-08,True
LP_safe_witness_00_from_09,17,9.71445146547012e-17,2e-08,True
LP_primal_00_from_10,18,2.220446049250313e-16,2e-08,True
LP_dual_gap_00_from_10,1,0.0,2e-08,True
LP_safe_witness_00_from_10,17,1.3877787807814457e-16,2e-08,True
LP_primal_00_from_11,18,4.440892098500626e-16,2e-08,True
LP_dual_gap_00_from_11,1,0.0,2e-08,True
LP_safe_witness_00_from_11,17,3.226585665316861e-16,2e-08,True
LP_primal_00_from_12,18,4.440892098500626e-16,2e-08,True
LP_dual_gap_00_from_12,1,0.0,2e-08,True
LP_safe_witness_00_from_12,17,9.71445146547012e-17,2e-08,True
LP_primal_00_from_13,18,2.220446049250313e-16,2e-08,True
LP_dual_gap_00_from_13,1,0.0,2e-08,True
LP_safe_witness_00_from_13,17,1.3877787807814457e-16,2e-08,True
LP_primal_00_from_14,18,9.020562075079397e-17,2e-08,True
LP_dual_gap_00_from_14,1,0.0,2e-08,True
LP_safe_witness_00_from_14,17,9.71445146547012e-17,2e-08,True
LP_primal_00_from_15,18,2.220446049250313e-16,2e-08,True
LP_dual_gap_00_from_15,1,0.0,2e-08,True
LP_safe_witness_00_from_15,17,1.0061396160665481e-16,2e-08,True
LP_primal_00_from_16,18,1.1102230246251565e-16,2e-08,True
LP_dual_gap_00_from_16,1,0.0,2e-08,True
LP_safe_witness_00_from_16,17,8.326672684688674e-17,2e-08,True
LP_primal_01_from_00,18,2.220446049250313e-16,2e-08,True
LP_dual_gap_01_from_00,1,0.0,2e-08,True
LP_safe_witness_01_from_00,17,1.4224732503009818e-16,2e-08,True
LP_primal_01_from_02,18,1.1102230246251565e-16,2e-08,True
LP_dual_gap_01_from_02,1,0.0,2e-08,True
LP_safe_witness_01_from_02,17,1.1102230246251565e-16,2e-08,True
LP_primal_01_from_03,18,2.5091040356528538e-14,2e-08,True
LP_dual_gap_01_from_03,1,0.0,2e-08,True
LP_safe_witness_01_from_03,17,1.2906342661267445e-14,2e-08,True
LP_primal_01_from_04,18,3.3306690738754696e-16,2e-08,True
LP_dual_gap_01_from_04,1,0.0,2e-08,True
LP_safe_witness_01_from_04,17,1.6653345369377348e-16,2e-08,True
LP_primal_01_from_05,18,4.440892098500626e-16,2e-08,True
LP_dual_gap_01_from_05,1,0.0,2e-08,True
LP_safe_witness_01_from_05,17,1.1102230246251565e-16,2e-08,True
LP_primal_01_from_06,18,8.326672684688674e-17,2e-08,True
LP_dual_gap_01_from_06,1,0.0,2e-08,True
LP_safe_witness_01_from_06,17,8.326672684688674e-17,2e-08,True
LP_primal_01_from_07,18,1.6653345369377348e-16,2e-08,True
LP_dual_gap_01_from_07,1,0.0,2e-08,True
LP_safe_witness_01_from_07,17,1.6653345369377348e-16,2e-08,True
LP_primal_01_from_08,18,1.2212453270876722e-15,2e-08,True
LP_dual_gap_01_from_08,1,0.0,2e-08,True
LP_safe_witness_01_from_08,17,1.1102230246251565e-15,2e-08,True
LP_primal_01_from_09,18,1.491862189340054e-16,2e-08,True
LP_dual_gap_01_from_09,1,0.0,2e-08,True
LP_safe_witness_01_from_09,17,1.5265566588595902e-16,2e-08,True
LP_primal_01_from_10,18,2.6020852139652106e-16,2e-08,True
LP_dual_gap_01_from_10,1,0.0,2e-08,True
LP_safe_witness_01_from_10,17,2.393918396847994e-16,2e-08,True
LP_primal_01_from_11,18,4.440892098500626e-16,2e-08,True
LP_dual_gap_01_from_11,1,0.0,2e-08,True
LP_safe_witness_01_from_11,17,1.3877787807814457e-16,2e-08,True
LP_primal_01_from_12,18,2.220446049250313e-16,2e-08,True
LP_dual_gap_01_from_12,1,0.0,2e-08,True
LP_safe_witness_01_from_12,17,1.1102230246251565e-16,2e-08,True
LP_primal_01_from_13,18,2.220446049250313e-16,2e-08,True
LP_dual_gap_01_from_13,1,0.0,2e-08,True
LP_safe_witness_01_from_13,17,1.942890293094024e-16,2e-08,True
LP_primal_01_from_14,18,9.71445146547012e-17,2e-08,True
LP_dual_gap_01_from_14,1,0.0,2e-08,True
LP_safe_witness_01_from_14,17,1.249000902703301e-16,2e-08,True
LP_primal_01_from_15,18,3.0531133177191805e-16,2e-08,True
LP_dual_gap_01_from_15,1,0.0,2e-08,True
LP_safe_witness_01_from_15,17,2.636779683484747e-16,2e-08,True
LP_primal_01_from_16,18,2.498001805406602e-16,2e-08,True
LP_dual_gap_01_from_16,1,0.0,2e-08,True
LP_safe_witness_01_from_16,17,2.220446049250313e-16,2e-08,True
LP_primal_02_from_00,18,4.440892098500626e-16,2e-08,True
LP_dual_gap_02_from_00,1,2.0816681711721685e-17,2e-08,True
LP_safe_witness_02_from_00,17,2.220446049250313e-16,2e-08,True
