axis,N0_B,lambda_Q,kind,delta_QB,gain,N_required_B,required_status,N_required_ratio,required_in_B1,N_scale_equivalent_B,scale_status,N_scale_ratio,scale_is_expansion,scale_in_B1,quality_cost_ceiling_FLOPs,quality_cost_ceiling_per_token
Q_A_topsis_0_1,0.1,0.0,feasible_fixed_residual,0.10415880058273051,0.0,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,0.0,formal_quality_coordinate,0.250604252319939,0.0,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,1.0,0.0,feasible_fixed_residual,0.10415880058273051,0.0,1.0,FINITE,1.0,True,1.0,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,1.0,0.0,formal_quality_coordinate,0.250604252319939,0.0,1.0,FINITE,1.0,True,1.0,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,10.0,0.0,feasible_fixed_residual,0.10415880058273051,0.0,10.0,FINITE,1.0,True,10.0,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,10.0,0.0,formal_quality_coordinate,0.250604252319939,0.0,10.0,FINITE,1.0,True,10.0,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,0.5,feasible_fixed_residual,0.10415880058273051,0.01885249741335164,0.09316941634763029,FINITE,0.9316941634763029,True,0.1075186899869326,FINITE,1.075186899869326,True,True,4.0983501914218296e+18,40983501.91421829
Q_A_topsis_0_1,0.1,0.5,formal_quality_coordinate,0.250604252319939,0.045358779020156025,0.0845834483448812,FINITE,0.845834483448812,True,0.11942765315039586,FINITE,1.1942765315039585,True,True,9.249930993071284e+18,92499309.93071285
Q_A_topsis_0_1,1.0,0.5,feasible_fixed_residual,0.10415880058273051,0.01885249741335164,0.8584519236906342,FINITE,0.8584519236906342,True,1.1746610230696768,FINITE,1.1746610230696768,True,True,8.49288457856195e+19,849288457.856195
Q_A_topsis_0_1,1.0,0.5,formal_quality_coordinate,0.250604252319939,0.045358779020156025,0.7014252620230993,FINITE,0.7014252620230993,True,1.4968131856180582,FINITE,1.4968131856180582,True,True,1.7914484278614042e+20,1791448427.8614042
Q_A_topsis_0_1,10.0,0.5,feasible_fixed_residual,0.10415880058273051,0.01885249741335164,7.2313092165515505,FINITE,0.723130921655155,True,14.39602517181762,FINITE,1.439602517181762,True,False,1.6612144700690695e+21,16612144700.690699
Q_A_topsis_0_1,10.0,0.5,formal_quality_coordinate,0.250604252319939,0.045358779020156025,4.834287497030279,FINITE,0.4834287497030279,True,26.31555313263815,FINITE,2.631555313263815,True,False,3.0994275017818327e+21,30994275017.818325
Q_A_topsis_0_1,0.1,1.0,feasible_fixed_residual,0.10415880058273051,0.03770499482670328,0.08694978409719843,FINITE,0.8694978409719842,True,0.11581466264359891,FINITE,1.158146626435989,True,True,7.830129541680944e+18,78301295.41680944
Q_A_topsis_0_1,0.1,1.0,formal_quality_coordinate,0.250604252319939,0.09071755804031205,0.07219180818544602,FINITE,0.7219180818544602,True,0.14426616401797773,FINITE,1.4426616401797772,True,True,1.6684915088732391e+19,166849150.88732395
Q_A_topsis_0_1,1.0,1.0,feasible_fixed_residual,0.10415880058273051,0.03770499482670328,0.7425100811706248,FINITE,0.7425100811706248,True,1.3927528196587176,FINITE,1.3927528196587176,True,True,1.5449395129762513e+20,1544939512.9762514
Q_A_topsis_0_1,1.0,1.0,formal_quality_coordinate,0.250604252319939,0.09071755804031205,0.5111527389534258,FINITE,0.5111527389534258,True,2.389081713651306,FINITE,2.389081713651306,True,True,2.9330835662794447e+20,2933083566.279445
Q_A_topsis_0_1,10.0,1.0,feasible_fixed_residual,0.10415880058273051,0.03770499482670328,5.400334223624786,FINITE,0.5400334223624786,True,21.8221044696053,FINITE,2.18221044696053,True,False,2.759799465825128e+21,27597994658.25128
Q_A_topsis_0_1,10.0,1.0,formal_quality_coordinate,0.250604252319939,0.09071755804031205,2.700339583693044,FINITE,0.27003395836930444,True,112.3616293376422,FINITE,11.23616293376422,True,False,4.3797962497841735e+21,43797962497.841736
quality_score_soft_proxy_0_1,0.1,0.0,feasible_fixed_residual,0.19728490996518072,0.0,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
quality_score_soft_proxy_0_1,0.1,0.0,formal_quality_coordinate,0.5183119083707207,0.0,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
quality_score_soft_proxy_0_1,1.0,0.0,feasible_fixed_residual,0.19728490996518072,0.0,1.0,FINITE,1.0,True,1.0,FINITE,1.0,False,True,0.0,0.0
quality_score_soft_proxy_0_1,1.0,0.0,formal_quality_coordinate,0.5183119083707207,0.0,1.0,FINITE,1.0,True,1.0,FINITE,1.0,False,True,0.0,0.0
quality_score_soft_proxy_0_1,10.0,0.0,feasible_fixed_residual,0.19728490996518072,0.0,10.0,FINITE,1.0,True,10.0,FINITE,1.0,False,True,0.0,0.0
quality_score_soft_proxy_0_1,10.0,0.0,formal_quality_coordinate,0.5183119083707207,0.0,10.0,FINITE,1.0,True,10.0,FINITE,1.0,False,True,0.0,0.0
quality_score_soft_proxy_0_1,0.1,0.5,feasible_fixed_residual,0.19728490996518072,0.03570810372242844,0.087581728478582,FINITE,0.87581728478582,True,0.11489617030630334,FINITE,1.1489617030630332,True,True,7.4509629128508e+18,74509629.128508
quality_score_soft_proxy_0_1,0.1,0.5,formal_quality_coordinate,0.5183119083707207,0.09381323380454201,0.07143728513005275,FINITE,0.7143728513005274,True,0.14620488128941347,FINITE,1.4620488128941347,True,True,1.7137628921968353e+19,171376289.21968353
quality_score_soft_proxy_0_1,1.0,0.5,feasible_fixed_residual,0.19728490996518072,0.03570810372242844,0.7537573886263603,FINITE,0.7537573886263603,True,1.3672062329823775,FINITE,1.3672062329823775,True,True,1.4774556682418382e+20,1477455668.241838
quality_score_soft_proxy_0_1,1.0,0.5,formal_quality_coordinate,0.5183119083707207,0.09381323380454201,0.500828417757579,FINITE,0.500828417757579,True,2.473666254614351,FINITE,2.473666254614351,True,True,2.9950294934545256e+20,2995029493.454526
quality_score_soft_proxy_0_1,10.0,0.5,feasible_fixed_residual,0.19728490996518072,0.03570810372242844,5.562506286813032,FINITE,0.5562506286813031,True,20.821205817368067,FINITE,2.082120581736807,True,False,2.662496227912181e+21,26624962279.12181
quality_score_soft_proxy_0_1,10.0,0.5,formal_quality_coordinate,0.5183119083707207,0.09381323380454201,2.605276829162513,FINITE,0.2605276829162513,True,128.08284383839785,FINITE,12.808284383839785,True,False,4.4368339025024925e+21,44368339025.024925
quality_score_soft_proxy_0_1,0.1,1.0,feasible_fixed_residual,0.19728490996518072,0.07141620744485688,0.07714564883340475,FINITE,0.7714564883340475,True,0.1329228743427502,FINITE,1.329228743427502,True,True,1.3712610699957158e+19,137126106.99957156
quality_score_soft_proxy_0_1,0.1,1.0,formal_quality_coordinate,0.5183119083707207,0.18762646760908402,0.0528266172229262,FINITE,0.528266172229262,False,0.22616741604106572,FINITE,2.261674160410657,True,True,2.8304029666244284e+19,283040296.66244286
quality_score_soft_proxy_0_1,1.0,1.0,feasible_fixed_residual,0.19728490996518072,0.07141620744485688,0.5824174137210778,FINITE,0.5824174137210778,True,1.9402137346494477,FINITE,1.9402137346494477,True,True,2.505495517673533e+20,2505495517.673533
quality_score_soft_proxy_0_1,1.0,1.0,formal_quality_coordinate,0.5183119083707207,0.18762646760908402,0.2862283434375332,FINITE,0.2862283434375332,True,9.217523326203276,FINITE,9.217523326203276,True,True,4.282629939374801e+20,4282629939.3748
quality_score_soft_proxy_0_1,10.0,1.0,feasible_fixed_residual,0.19728490996518072,0.07141620744485688,3.411841479835952,FINITE,0.3411841479835952,True,55.43493218238831,FINITE,5.543493218238831,True,False,3.952895112098429e+21,39528951120.98429
quality_score_soft_proxy_0_1,10.0,1.0,formal_quality_coordinate,0.5183119083707207,0.18762646760908402,1.0387417862635078,FINITE,0.10387417862635077,True,,BELOW_ASYMPTOTIC_FLOOR,,True,False,5.376754928241896e+21,53767549282.41895
