axis,N0_B,D_B,lambda_Q,t_QA,delta_QB,gain,observed_joint_row,N_required_B,required_status,N_required_ratio,required_in_B1,N_scale_equivalent_B,scale_status,N_scale_ratio,scale_is_expansion,scale_in_B1,quality_cost_ceiling_FLOPs,quality_cost_ceiling_per_token
Q_A_topsis_0_1,0.1,100.0,0.0,0.0,0.0,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.00028942908885096127,0.0020831760116546104,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0005788581777019225,0.004166352023309221,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0008682872665528839,0.006249528034963832,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.001157716355403845,0.008332704046618442,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0014471454442548063,0.010415880058273052,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0017365745331057677,0.012499056069927664,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.002026003621956729,0.014582232081582274,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.00231543271080769,0.016665408093236883,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0026048617996586513,0.018748584104891493,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0028942908885096126,0.020831760116546104,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0031837199773605738,0.022914936128200714,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0034731490662115354,0.024998112139855328,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0037625781550624966,0.02708128815150994,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.004052007243913458,0.02916446416316455,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.004341436332764419,0.03124764017481916,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.00463086542161538,0.033330816186473766,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,0.1,100.0,0.0,0.0049202945104663415,0.03541399219812838,0.0,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
