axis,source_recipe_id,N0_B,lambda_Q,lambda_p,delta_QA,gain_quality,gain_residual,gain_total,quality_up_loss_not_improved,observed_joint_row,N_required_B,required_status,N_required_ratio,required_in_B1,N_scale_equivalent_B,scale_status,N_scale_ratio,scale_is_expansion,scale_in_B1,quality_cost_ceiling_FLOPs,quality_cost_ceiling_per_token
Q_A_topsis_0_1,1,0.1,0.0,0.0,0.017523863992745747,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,2,0.1,0.0,0.0,-0.017662251072816715,-0.0,0.0,0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,3,0.1,0.0,0.0,0.03120402386703458,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,4,0.1,0.0,0.0,-0.03260373685321749,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,5,0.1,0.0,0.0,0.0025419754540421113,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,6,0.1,0.0,0.0,-0.0025286976720396703,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,7,0.1,0.0,0.0,0.013030362342103197,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,8,0.1,0.0,0.0,0.004959645158856607,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,9,0.1,0.0,0.0,0.02513044084958138,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,10,0.1,0.0,0.0,0.010008673610474972,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,11,0.1,0.0,0.0,-0.01503528545657995,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,12,0.1,0.0,0.0,-0.012122538133286787,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,13,0.1,0.0,0.0,0.026427609866663815,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,14,0.1,0.0,0.0,0.007738618785223861,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,15,0.1,0.0,0.0,-0.0019773414592924032,-0.0,0.0,0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,16,0.1,0.0,0.0,0.0022217084007480903,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,17,0.1,0.0,0.0,0.01426002906437751,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,18,0.1,0.0,0.0,0.022712653565416407,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,19,0.1,0.0,0.0,0.01859249265192897,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,20,0.1,0.0,0.0,0.01254596620550441,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,21,0.1,0.0,0.0,0.023816480165377962,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,22,0.1,0.0,0.0,-0.0369804514538945,-0.0,0.0,0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,23,0.1,0.0,0.0,0.009786311831789019,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,24,0.1,0.0,0.0,-0.014007601096789668,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,25,0.1,0.0,0.0,0.0017591473030870164,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,26,0.1,0.0,0.0,0.025181749057327396,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,27,0.1,0.0,0.0,-0.0008215496042918158,-0.0,0.0,0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,28,0.1,0.0,0.0,-0.0021354946690208543,-0.0,0.0,0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,29,0.1,0.0,0.0,-0.018042705244412982,-0.0,0.0,0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,30,0.1,0.0,0.0,-0.028422672655911918,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,31,0.1,0.0,0.0,-0.008952417829832027,-0.0,0.0,0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,32,0.1,0.0,0.0,-0.014302313359293328,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,33,0.1,0.0,0.0,-0.04688341093159898,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,34,0.1,0.0,0.0,-0.07053615455481432,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,35,0.1,0.0,0.0,0.008471496593757455,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,36,0.1,0.0,0.0,0.020318350418225717,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,37,0.1,0.0,0.0,0.006685632372895101,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,38,0.1,0.0,0.0,0.021516140923741545,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,39,0.1,0.0,0.0,0.004418436853323993,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,40,0.1,0.0,0.0,0.004765251240299695,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,41,0.1,0.0,0.0,-0.07154139950501226,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,42,0.1,0.0,0.0,-0.032242966641521265,-0.0,0.0,0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,43,0.1,0.0,0.0,0.004931880643267883,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,44,0.1,0.0,0.0,0.006589529761041879,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,45,0.1,0.0,0.0,0.027835086104049278,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,46,0.1,0.0,0.0,0.009351494767112944,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,47,0.1,0.0,0.0,0.0007059354378713412,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,48,0.1,0.0,0.0,0.009133626526319216,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,49,0.1,0.0,0.0,0.02130951258246494,0.0,-0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,50,0.1,0.0,0.0,0.020986967077120333,0.0,0.0,0.0,True,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,51,0.1,0.0,0.0,-0.055732349382136115,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
Q_A_topsis_0_1,52,0.1,0.0,0.0,-0.004815097098532672,-0.0,-0.0,-0.0,False,False,0.1,FINITE,1.0,True,0.1,FINITE,1.0,False,True,0.0,0.0
