axis,N0_B,lambda_Q,lambda_p,recipe_count,quality_up_loss_not_improved,positive_gain,required_in_B1,scale_in_B1
Q_A_topsis_0_1,0.1,0.0,0.0,512,314,0,512,512
Q_A_topsis_0_1,0.1,0.0,0.5,512,163,241,445,452
Q_A_topsis_0_1,0.1,0.0,1.0,512,163,241,384,350
Q_A_topsis_0_1,0.1,0.5,0.0,512,0,314,512,502
Q_A_topsis_0_1,0.1,0.5,0.5,512,144,237,440,441
Q_A_topsis_0_1,0.1,0.5,1.0,512,150,241,380,350
Q_A_topsis_0_1,0.1,1.0,0.0,512,0,314,512,466
Q_A_topsis_0_1,0.1,1.0,0.5,512,110,259,428,432
Q_A_topsis_0_1,0.1,1.0,1.0,512,144,237,372,353
Q_A_topsis_0_1,1.0,0.0,0.0,512,314,0,512,512
Q_A_topsis_0_1,1.0,0.0,0.5,512,163,241,512,500
Q_A_topsis_0_1,1.0,0.0,1.0,512,163,241,453,447
Q_A_topsis_0_1,1.0,0.5,0.0,512,0,314,512,512
Q_A_topsis_0_1,1.0,0.5,0.5,512,144,237,507,500
Q_A_topsis_0_1,1.0,0.5,1.0,512,150,241,446,448
Q_A_topsis_0_1,1.0,1.0,0.0,512,0,314,503,512
Q_A_topsis_0_1,1.0,1.0,0.5,512,110,259,487,498
Q_A_topsis_0_1,1.0,1.0,1.0,512,144,237,445,442
Q_A_topsis_0_1,10.0,0.0,0.0,512,314,0,512,512
Q_A_topsis_0_1,10.0,0.0,0.5,512,163,241,268,291
Q_A_topsis_0_1,10.0,0.0,1.0,512,163,241,257,285
Q_A_topsis_0_1,10.0,0.5,0.0,512,0,314,377,270
Q_A_topsis_0_1,10.0,0.5,0.5,512,144,237,258,288
Q_A_topsis_0_1,10.0,0.5,1.0,512,150,241,251,279
Q_A_topsis_0_1,10.0,1.0,0.0,512,0,314,348,226
Q_A_topsis_0_1,10.0,1.0,0.5,512,110,259,286,268
Q_A_topsis_0_1,10.0,1.0,1.0,512,144,237,249,283
quality_score_soft_proxy_0_1,0.1,0.0,0.0,512,216,0,512,512
quality_score_soft_proxy_0_1,0.1,0.0,0.5,512,103,240,445,445
quality_score_soft_proxy_0_1,0.1,0.0,1.0,512,103,240,380,349
quality_score_soft_proxy_0_1,0.1,0.5,0.0,512,0,216,512,512
quality_score_soft_proxy_0_1,0.1,0.5,0.5,512,70,249,433,432
quality_score_soft_proxy_0_1,0.1,0.5,1.0,512,89,244,372,347
quality_score_soft_proxy_0_1,0.1,1.0,0.0,512,0,216,458,487
quality_score_soft_proxy_0_1,0.1,1.0,0.5,512,34,264,412,406
quality_score_soft_proxy_0_1,0.1,1.0,1.0,512,70,249,363,345
quality_score_soft_proxy_0_1,1.0,0.0,0.0,512,216,0,512,512
quality_score_soft_proxy_0_1,1.0,0.0,0.5,512,103,240,512,502
quality_score_soft_proxy_0_1,1.0,0.0,1.0,512,103,240,447,449
quality_score_soft_proxy_0_1,1.0,0.5,0.0,512,0,216,512,512
quality_score_soft_proxy_0_1,1.0,0.5,0.5,512,70,249,511,499
quality_score_soft_proxy_0_1,1.0,0.5,1.0,512,89,244,441,442
quality_score_soft_proxy_0_1,1.0,1.0,0.0,512,0,216,512,512
quality_score_soft_proxy_0_1,1.0,1.0,0.5,512,34,264,498,497
quality_score_soft_proxy_0_1,1.0,1.0,1.0,512,70,249,432,439
quality_score_soft_proxy_0_1,10.0,0.0,0.0,512,216,0,512,512
quality_score_soft_proxy_0_1,10.0,0.0,0.5,512,103,240,267,296
quality_score_soft_proxy_0_1,10.0,0.0,1.0,512,103,240,252,283
quality_score_soft_proxy_0_1,10.0,0.5,0.0,512,0,216,267,339
quality_score_soft_proxy_0_1,10.0,0.5,0.5,512,70,249,270,282
quality_score_soft_proxy_0_1,10.0,0.5,1.0,512,89,244,261,283
quality_score_soft_proxy_0_1,10.0,1.0,0.0,512,0,216,236,318
quality_score_soft_proxy_0_1,10.0,1.0,0.5,512,34,264,288,270
quality_score_soft_proxy_0_1,10.0,1.0,1.0,512,70,249,261,273
