check,comparisons,max_absolute_error,tolerance,passed
q_dot_v_Q_A_topsis_0_1,1,1.3322676295501878e-15,2e-10,True
sum_v_Q_A_topsis_0_1,1,2.7200464103316335e-15,2e-10,True
quality_reference_Q_A_topsis_0_1,1,0.0,2e-10,True
mapping_reference_Q_A_topsis_0_1,1,0.0,2e-10,True
lp_primal_Q_A_topsis_0_1,18,2.636779683484747e-16,2e-08,True
lp_dual_gap_Q_A_topsis_0_1,1,0.0,2e-08,True
safe_witness_Q_A_topsis_0_1,17,2.914335439641036e-16,2e-08,True
fixed_residual_Q_A_topsis_0_1,51,1.614345271918395e-16,2e-10,True
path_quality_Q_A_topsis_0_1,51,1.1102230246251565e-16,2e-10,True
path_gain_Q_A_topsis_0_1,51,3.5735303605122226e-16,2e-10,True
derivative_witness_Q_A_topsis_0_1,17,3.1086244689504383e-15,2e-08,True
"equal_loss_path_Q_A_topsis_0_1(0.0, 0.1)",51,0.0,2e-10,True
"D_invariance_Q_A_topsis_0_1(0.0, 0.1)",51,0.0,2e-10,True
"brent_relative_Q_A_topsis_0_1(0.0, 0.1)",51,2.220446049250313e-16,2e-10,True
"derivative_Q_A_topsis_0_1(0.0, 0.1)",1,0.0,2e-06,True
"equal_loss_path_Q_A_topsis_0_1(0.0, 1.0)",51,0.0,2e-10,True
"D_invariance_Q_A_topsis_0_1(0.0, 1.0)",51,0.0,2e-10,True
"brent_relative_Q_A_topsis_0_1(0.0, 1.0)",51,2.220446049250313e-16,2e-10,True
"derivative_Q_A_topsis_0_1(0.0, 1.0)",1,0.0,2e-06,True
"equal_loss_path_Q_A_topsis_0_1(0.0, 10.0)",51,0.0,2e-10,True
"D_invariance_Q_A_topsis_0_1(0.0, 10.0)",51,0.0,2e-10,True
"brent_relative_Q_A_topsis_0_1(0.0, 10.0)",51,2.220446049250313e-16,2e-10,True
"derivative_Q_A_topsis_0_1(0.0, 10.0)",1,0.0,2e-06,True
"equal_loss_path_Q_A_topsis_0_1(0.5, 0.1)",51,4.440892098500626e-16,2e-10,True
"D_invariance_Q_A_topsis_0_1(0.5, 0.1)",51,4.440892098500626e-16,2e-10,True
"brent_relative_Q_A_topsis_0_1(0.5, 0.1)",51,1.758593271006248e-13,2e-10,True
"derivative_Q_A_topsis_0_1(0.5, 0.1)",1,9.15884035279646e-12,2e-06,True
"equal_loss_path_Q_A_topsis_0_1(0.5, 1.0)",51,8.881784197001252e-16,2e-10,True
"D_invariance_Q_A_topsis_0_1(0.5, 1.0)",51,4.440892098500626e-16,2e-10,True
"brent_relative_Q_A_topsis_0_1(0.5, 1.0)",51,2.3936408410918375e-13,2e-10,True
"derivative_Q_A_topsis_0_1(0.5, 1.0)",1,9.098339859292537e-10,2.165003397576756e-05,True
"equal_loss_path_Q_A_topsis_0_1(0.5, 10.0)",51,4.440892098500626e-16,2e-10,True
"D_invariance_Q_A_topsis_0_1(0.5, 10.0)",51,4.440892098500626e-16,2e-10,True
"brent_relative_Q_A_topsis_0_1(0.5, 10.0)",51,2.220446049250313e-13,2e-10,True
"derivative_Q_A_topsis_0_1(0.5, 10.0)",1,1.0645854331414739e-07,0.00047362559527998305,True
"equal_loss_path_Q_A_topsis_0_1(1.0, 0.1)",51,8.881784197001252e-16,2e-10,True
"D_invariance_Q_A_topsis_0_1(1.0, 0.1)",51,4.440892098500626e-16,2e-10,True
"brent_relative_Q_A_topsis_0_1(1.0, 0.1)",51,2.3148150063434514e-13,2e-10,True
"derivative_Q_A_topsis_0_1(1.0, 0.1)",1,7.106149002567008e-11,2e-06,True
"equal_loss_path_Q_A_topsis_0_1(1.0, 1.0)",51,8.881784197001252e-16,2e-10,True
"D_invariance_Q_A_topsis_0_1(1.0, 1.0)",51,4.440892098500626e-16,2e-10,True
"brent_relative_Q_A_topsis_0_1(1.0, 1.0)",51,2.3936408410918375e-13,2e-10,True
"derivative_Q_A_topsis_0_1(1.0, 1.0)",1,8.110554006179882e-09,4.330006795153512e-05,True
"equal_loss_path_Q_A_topsis_0_1(1.0, 10.0)",51,8.881784197001252e-16,2e-10,True
"D_invariance_Q_A_topsis_0_1(1.0, 10.0)",51,4.440892098500626e-16,2e-10,True
"brent_relative_Q_A_topsis_0_1(1.0, 10.0)",51,2.2071233729548112e-13,2e-10,True
"derivative_Q_A_topsis_0_1(1.0, 10.0)",1,8.346408435500052e-07,0.0009472511905599661,True
"recipe_backsub_Q_A_topsis_0_1(0.0, 0.0, 0.1)",512,0.0,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.0, 0.0, 0.1)",512,0.0,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.0, 0.0, 1.0)",512,0.0,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.0, 0.0, 1.0)",512,0.0,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.0, 0.0, 10.0)",512,0.0,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.0, 0.0, 10.0)",512,0.0,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.0, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.0, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.0, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.0, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.0, 0.5, 10.0)",510,4.440892098500626e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.0, 0.5, 10.0)",490,4.440892098500626e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.0, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.0, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
