N_params_B,D_tokens_B,perturbed_parameter,relative_change,baseline_loss,perturbed_loss,delta,observed_joint_row
0.1,0.1,alpha,-0.1,4.826870824491312,4.768562246523243,-0.05830857796806921,False
0.1,0.1,alpha,0.1,4.826870824491312,4.889927360342372,0.06305653585105997,False
0.1,0.1,beta,-0.1,4.826870824491312,4.679411336848913,-0.1474594876423989,False
0.1,0.1,beta,0.1,4.826870824491312,4.984146128537308,0.15727530404599577,False
0.1,1.0,alpha,-0.1,3.7044859501222813,3.6461773721542117,-0.05830857796806965,False
0.1,1.0,alpha,0.1,3.7044859501222813,3.767542485973341,0.06305653585105953,False
0.1,1.0,beta,-0.1,3.7044859501222813,3.7044859501222813,0.0,False
0.1,1.0,beta,0.1,3.7044859501222813,3.7044859501222813,0.0,False
0.1,10.0,alpha,-0.1,3.1152846766739195,3.05697609870585,-0.05830857796806965,False
0.1,10.0,alpha,0.1,3.1152846766739195,3.178341212524979,0.06305653585105953,False
0.1,10.0,beta,-0.1,3.1152846766739195,3.1586262104720895,0.04334153379816996,False
0.1,10.0,beta,0.1,3.1152846766739195,3.0746481609394163,-0.04063651573450322,False
0.1,100.0,alpha,-0.1,2.805980668253161,2.747672090285091,-0.0583085779680701,False
0.1,100.0,alpha,0.1,2.805980668253161,2.8690372041042203,0.06305653585105908,False
0.1,100.0,beta,-0.1,2.805980668253161,2.852999893394222,0.04701922514106105,False
0.1,100.0,beta,0.1,2.805980668253161,2.7646473909114686,-0.041333277341692565,False
0.1,1000.0,alpha,-0.1,2.643610059199253,2.585301481231183,-0.05830857796806965,False
0.1,1000.0,alpha,0.1,2.643610059199253,2.7066665950503124,0.06305653585105953,False
0.1,1000.0,beta,-0.1,2.643610059199253,2.681880027051927,0.038269967852674114,False
0.1,1000.0,beta,0.1,2.643610059199253,2.6120676647210175,-0.03154239447823537,False
0.1,10000.0,alpha,-0.1,2.5583728363803595,2.50006425841229,-0.05830857796806965,False
0.1,10000.0,alpha,0.1,2.5583728363803595,2.621429372231419,0.06305653585105953,False
0.1,10000.0,beta,-0.1,2.5583728363803595,2.586070186665883,0.02769735028552356,False
0.1,10000.0,beta,0.1,2.5583728363803595,2.5369692291840535,-0.021403607196305963,False
0.1,36000.0,alpha,-0.1,2.52999451734863,2.4716859393805604,-0.05830857796806965,False
0.1,36000.0,alpha,0.1,2.52999451734863,2.5930510531996895,0.06305653585105953,False
0.1,36000.0,beta,-0.1,2.52999451734863,2.5524558741706027,0.0224613568219727,False
0.1,36000.0,beta,0.1,2.52999451734863,2.513248364709893,-0.016746152638737133,False
1.0,0.1,alpha,-0.1,4.4064683415040955,4.4064683415040955,0.0,False
1.0,0.1,alpha,0.1,4.4064683415040955,4.4064683415040955,0.0,False
1.0,0.1,beta,-0.1,4.4064683415040955,4.259008853861696,-0.1474594876423998,False
1.0,0.1,beta,0.1,4.4064683415040955,4.56374364555009,0.15727530404599488,False
1.0,1.0,alpha,-0.1,3.2840834671350643,3.2840834671350643,0.0,False
