axis,quality_case,lambda_Q,N_params_B,D_tokens_B,scale_loss,quality_increment_loss,predicted_loss,quality_gain,relative_to_scale,N_in_B1_range,D_in_B1_range,observed_joint_row
Q_A_topsis_0_1,reference,0.0,0.1,0.1,4.826870824491312,-0.0,4.826870824491312,0.0,0.0,True,False,False
Q_A_topsis_0_1,reference,0.0,0.1,1.0,3.7044859501222813,-0.0,3.7044859501222813,0.0,0.0,True,True,False
Q_A_topsis_0_1,reference,0.0,0.1,10.0,3.1152846766739195,-0.0,3.1152846766739195,0.0,0.0,True,True,False
Q_A_topsis_0_1,reference,0.0,0.1,100.0,2.805980668253161,-0.0,2.805980668253161,0.0,0.0,True,True,False
Q_A_topsis_0_1,reference,0.0,0.1,1000.0,2.643610059199253,-0.0,2.643610059199253,0.0,0.0,True,False,False
Q_A_topsis_0_1,reference,0.0,0.1,10000.0,2.5583728363803595,-0.0,2.5583728363803595,0.0,0.0,True,False,False
Q_A_topsis_0_1,reference,0.0,0.1,36000.0,2.52999451734863,-0.0,2.52999451734863,0.0,0.0,True,False,False
Q_A_topsis_0_1,reference,0.0,1.0,0.1,4.4064683415040955,-0.0,4.4064683415040955,0.0,0.0,True,False,False
Q_A_topsis_0_1,reference,0.0,1.0,1.0,3.2840834671350643,-0.0,3.2840834671350643,0.0,0.0,True,True,False
Q_A_topsis_0_1,reference,0.0,1.0,10.0,2.6948821936867025,-0.0,2.6948821936867025,0.0,0.0,True,True,False
Q_A_topsis_0_1,reference,0.0,1.0,100.0,2.3855781852659437,-0.0,2.3855781852659437,0.0,0.0,True,True,False
Q_A_topsis_0_1,reference,0.0,1.0,1000.0,2.223207576212036,-0.0,2.223207576212036,0.0,0.0,True,False,False
Q_A_topsis_0_1,reference,0.0,1.0,10000.0,2.1379703533931425,-0.0,2.1379703533931425,0.0,0.0,True,False,False
Q_A_topsis_0_1,reference,0.0,1.0,36000.0,2.109592034361413,-0.0,2.109592034361413,0.0,0.0,True,False,False
Q_A_topsis_0_1,reference,0.0,10.0,0.1,4.214296969625643,-0.0,4.214296969625643,0.0,0.0,True,False,False
Q_A_topsis_0_1,reference,0.0,10.0,1.0,3.091912095256612,-0.0,3.091912095256612,0.0,0.0,True,True,False
Q_A_topsis_0_1,reference,0.0,10.0,10.0,2.5027108218082503,-0.0,2.5027108218082503,0.0,0.0,True,True,False
