run_id,N_params_B,D_tokens_B,val_loss,L_hat,epsilon_N,epsilon_D
8,0.070542,0.134,4.7388,4.738596534343822,-0.06255747061795323,-0.1285737181013396
9,0.070542,0.268,4.3541,4.35472814506488,-0.06807189877133701,-0.11523626547674751
10,0.070542,0.537,4.0384,4.037780658443336,-0.07341523439310137,-0.10231262521336915
11,0.070542,1.074,3.7776,3.7774937251800544,-0.07847388640027962,-0.09007753399205418
12,0.070542,2.097,3.5698,3.5698629338746524,-0.08303809388720841,-0.07903832930346517
13,0.070542,4.194,3.3922,3.392088334715434,-0.08739000409681752,-0.06851259669209304
14,0.070542,6.291,3.3024,3.3030079608619833,-0.08974686618381277,-0.06281218033818566
15,0.070542,8.389,3.2452,3.245639584083004,-0.09133318897184355,-0.05897542620082533
16,0.070542,10.486,3.2041,3.204237726075206,-0.09251330232312205,-0.0561211491159625
17,0.070542,12.583,3.172,3.172276828469695,-0.09344537992623696,-0.05386678283750076
18,0.070542,14.68,3.1466,3.146497507709076,-0.09421097990424879,-0.05201506709253166
19,0.070542,16.777,3.1248,3.1250477353290558,-0.09485762733039828,-0.05045105552665587
20,0.070542,18.874,3.1064,3.106781583495758,-0.09541533754490708,-0.04910215164082
21,0.070542,20.972,3.0913,3.0909372592661226,-0.09590444211667072,-0.047919180556072805
22,0.070542,23.069,3.077,3.077008247592849,-0.09633858267992951,-0.04686914798083199
23,0.070542,25.166,3.0646,3.064612327393525,-0.0967282585199507,-0.04592665985501577
24,0.070542,27.263,3.0531,3.0534726174883775,-0.09708114353793677,-0.04507315572396104
25,0.070542,29.36,3.0432,3.0433789167702847,-0.09740312382203561,-0.04429439922087996
26,0.070542,31.457,3.0342,3.034168177833622,-0.09769880774347889,-0.043579244324595146
27,0.070542,33.554,3.0254,3.0257115845333638,-0.09797186717426866,-0.04291881007455926
28,0.070542,35.652,3.018,3.0179021551650624,-0.09822538910355606,-0.042305630135114236
29,0.070542,37.749,3.0105,3.0106631465095854,-0.09846156778157675,-0.04173439739049924
