model,fold,E,A,B,alpha,beta,G
M0,fold_1,1.6898361849053836,0.3538917276685838,1.2403612578182213,0.3400666767886917,0.2798608372978694,
M0,fold_2,1.6898368161865558,0.3539505978191598,1.2402700375582356,0.3399935234682461,0.2798813672638398,
M0,fold_3,1.6898126401006575,0.35398248786286207,1.2402844187235138,0.3399750180314988,0.27988537644222106,
M0,fold_4,1.6898103817887542,0.3540033212895374,1.2402922361682327,0.3399583797925995,0.27989618347774486,
M0,fold_5,1.689765426512735,0.35398725934997166,1.2403217723026736,0.33997078057454494,0.27986236358221284,
M0,fold_6,1.689779629825417,0.3540089883824697,1.2402864671427298,0.3399575823678758,0.2798813398830252,
M0,fold_7,1.6898082431784132,0.3539802941806935,1.240298702092281,0.33997787523608475,0.2798855921215838,
M0,fold_8,1.689789268378315,0.3539727887318217,1.2403297825032968,0.3399812794792106,0.279871968683802,
M1,fold_1,1.5176092006709792,0.514007870151306,1.3137934819140384,0.3502825151000146,0.2892988606431599,0.28128845355096915
M1,fold_2,1.4599807135871508,0.5736768858704402,1.3175679878767503,0.36155838167216653,0.2650213202752908,0.2837399814248822
M1,fold_3,1.4809628983461445,0.5481538170031316,1.316217291697704,0.3650765959721486,0.27633085729084456,0.28298884509221417
M1,fold_4,1.485038950586262,0.5418235183963592,1.3164993990474931,0.36392283927260527,0.27986075310738573,0.28181914461387203
M1,fold_5,1.496584625685831,0.5258863534879431,1.3169575653224592,0.3703968440366765,0.28487031752826764,0.2815078871942513
