mixture_domain,quality_domain,mapping_type,quality_score_available,quality_score_0_100
arxiv,arxiv,direct,True,63.862359595226806
github,github,direct,True,51.70140753241471
stackexchange,stackexchange,direct,True,61.387873335966574
wikipedia_en,wikipedia,near_direct,True,61.100906920424926
gutenberg_pg_19,book,near_direct,True,56.03252048079162
pile_cc,commoncrawl,near_direct,True,64.33570995356357
dm_mathematics,(none),inferred,False,
freelaw,(none),inferred,False,
nih_exporter,(none),inferred,False,
pubmed_central,(none),inferred,False,
philpapers,(none),inferred,False,
enron_emails,(none),inferred,False,
ubuntu_irc,(none),inferred,False,
europarl,(none),inferred,False,
hackernews,(none),inferred,False,
pubmed_abstracts,(none),inferred,False,
uspto_backgrounds,(none),inferred,False,
