recipe,role,index,mapped_mass,unmapped_mass,q_partial_raw,q_scenario_low,q_scenario_mid,q_scenario_high,status
A4_A5_train_1m,fit,1,0.996,0.0040000000000000036,62.34300051393998,62.549806144069635,62.588552007283845,62.60034335375423,conditional_scenario_only
A4_A5_train_1m,fit,2,0.7809999999999999,0.21700000000000008,45.37742001063965,56.59662544517365,58.698588524544405,59.33826907056295,conditional_scenario_only
A4_A5_train_1m,fit,3,0.9480000000000001,0.051999999999999935,60.668848142667606,63.357321334353166,63.86101755613787,64.01430506025291,conditional_scenario_only
A4_A5_train_1m,fit,4,0.669,0.33199999999999985,37.466695485975265,54.63156278673694,57.84746943351616,58.82615119055836,conditional_scenario_only
A4_A5_train_1m,fit,5,0.801,0.19999999999999984,48.72547952620567,59.0657610326886,61.003054193398974,61.59262151691837,conditional_scenario_only
A4_A5_train_1m,fit,6,0.854,0.14500000000000002,51.60357469201049,59.10027878421062,60.50481632572564,60.93225263527721,conditional_scenario_only
A4_A5_train_1m,fit,7,0.23299999999999998,0.767,14.82271138746629,54.477690964828376,61.90721023615266,64.16820092184955,conditional_scenario_only
A4_A5_train_1m,fit,8,0.396,0.603,25.45203157319286,56.62798031523893,62.46891919478071,64.24646467519169,conditional_scenario_only
A4_A5_train_1m,fit,9,0.003,0.997,0.18330272076127477,51.72960603057874,61.38701243671996,64.32600554446415,conditional_scenario_only
A4_A5_train_1m,fit,10,0.6930000000000001,0.30699999999999994,42.387734823159676,58.26006693561099,61.23381193730141,62.13879777890369,conditional_scenario_only
A4_A5_train_1m,fit,11,0.027,0.973,1.5161141133619407,51.82158364240146,61.246514869257425,64.11475989817929,conditional_scenario_only
A4_A5_train_1m,fit,12,0.17500000000000002,0.8230000000000001,9.826538562728151,52.37679696190546,60.348758318228654,62.774827854510974,conditional_scenario_only
A4_A5_train_1m,fit,13,0.161,0.839,10.358049302523733,53.73553022221967,61.86247503139969,64.33570995356357,conditional_scenario_only
A4_A5_train_1m,fit,14,0.235,0.7660000000000001,13.33612859430661,52.93940676413629,60.359239569657014,62.61728241873631,conditional_scenario_only
