protocol,model,n,mae,rmse,r2
group_ND,logND,450,0.10902799570581398,0.1365607946540129,0.8392831793478633
group_ND,logNDQ,450,0.06959168312531246,0.08875195843557562,0.9321163552268841
group_ND,scale_Q,450,0.057322310498205256,0.073856721745075,0.9529901012727587
group_ND,scale_logQ,450,0.06272167373820928,0.08058948688852753,0.9440286163398565
group_ND,scale_offset,450,0.10196464775495448,0.12738428418496048,0.860156925393738
leave_Q,logND,450,0.11547631411378391,0.14388473515284886,0.8215819841533577
leave_Q,logNDQ,450,0.06716637823141525,0.08585053023268893,0.9364822324633861
leave_Q,scale_Q,450,0.05704616039383039,0.0732023382297942,0.9538194427726796
leave_Q,scale_logQ,450,0.06763328019198694,0.0882924271897356,0.9328174980090345
leave_Q,scale_offset,450,0.11040667173126606,0.13671534585071562,0.8389191944626514
nonoverlap,logND,90,0.0685955286099968,0.08896212351275028,0.9235535677047833
nonoverlap,logNDQ,90,0.060595964416898684,0.0785397488606671,0.9404165073984302
nonoverlap,scale_Q,90,0.04460334898069843,0.05951711577415829,0.9657838852247059
nonoverlap,scale_logQ,90,0.05059864149166879,0.06586503678129398,0.9580958710482452
nonoverlap,scale_offset,90,0.05749086988692736,0.07271900947397286,0.9489209455310588
