quality_axis,variant,size,min,mean,max
Q_A_topsis_0_1,combined,400,1.870966309317497,2.831893068474069,4.919717295928403
Q_A_topsis_0_1,combined_half_p,400,2.005182156265033,2.7964239639839725,4.856924776800873
Q_A_topsis_0_1,scale_Q,400,2.012078206082147,2.7609548594938764,4.823544715206019
Q_A_topsis_0_1,scale_only,400,2.0933794714905263,2.7744002243676884,4.738596534339873
Q_A_topsis_0_1,scale_remaining_p,400,1.8249477775954546,2.8453384333478806,5.001018561336782
quality_score_soft_proxy_0_1,combined,400,1.8067959089803372,2.850303687449726,5.063902330572265
quality_score_soft_proxy_0_1,combined_half_p,400,1.9281643404389632,2.818576829045386,4.9564293438767235
quality_score_soft_proxy_0_1,scale_Q,400,1.9990073549027307,2.786849970641046,4.848956357181182
quality_score_soft_proxy_0_1,scale_only,400,2.0933794714905263,2.7744002243676884,4.738596534339873
quality_score_soft_proxy_0_1,scale_remaining_p,400,1.8506426085732743,2.8378539411763684,4.9535425077309565
