N_params_B,D_tokens_B,n,within_cell_slope_dL_d_impurity,deviation_from_frozen_G,deviation_from_declared_G
0.07,10.0,8,0.6164021909233186,0.25415475591786024,0.333599277443236
0.07,50.0,8,0.5252832550860739,0.1630358200806155,0.24248034160599125
0.07,150.0,8,0.550389671361503,0.1881422363560446,0.26758675788142033
0.07,300.0,8,0.5205790297339593,0.15833159472850095,0.23777611625387668
0.07,600.0,8,0.5176009389671369,0.15535350396167852,0.23479802548705425
0.16,10.0,8,0.5259968701095462,0.16374943510408785,0.24319395662946358
0.16,50.0,8,0.5388982785602507,0.17665084355479238,0.2560953650801681
0.16,150.0,8,0.4770970266040678,0.11484959159860941,0.19429411312398515
0.16,300.0,8,0.4279092331768396,0.06566179817138124,0.14510631969675697
0.16,600.0,8,0.45990453834116013,0.09765710333570177,0.1771016248610775
0.41,10.0,8,0.3921283255086074,0.029880890503149016,0.10932541202852475
0.41,50.0,8,0.4545915492957753,0.09234411429031691,0.17178863581569265
0.41,150.0,8,0.47659937402190994,0.11435193901645158,0.1937964605418273
0.41,300.0,8,0.4696494522691705,0.10740201726371212,0.18684653878908786
0.41,600.0,8,0.32493583724569797,-0.037311597759760395,0.04213292376561534
0.7,10.0,8,0.41607981220657253,0.05383237720111417,0.1332768987264899
0.7,50.0,8,0.33538967136150344,-0.026857763643954924,0.05258675788142081
0.7,150.0,8,0.4108497652582175,0.04860233025275912,0.12804685177813485
0.7,300.0,8,0.34899843505477424,-0.013248999950684126,0.06619552157469161
0.7,600.0,8,0.3571830985915493,-0.005064336413909076,0.07438018511146666
1.0,10.0,8,0.34086071987480643,-0.021386715130651934,0.0580578063947238
1.0,50.0,8,0.306322378716747,-0.05592505628871136,0.023519465236664372
1.0,150.0,8,0.3730375586854482,0.010790123679989827,0.09023464520536556
1.0,300.0,8,0.3658951486697967,0.003647713664338359,0.08309223518971409
1.0,600.0,8,0.30167449139280295,-0.06057294361265542,0.018871577912720316
2.8,10.0,8,0.43821126760563295,0.07596383260017459,0.15540835412555032
2.8,50.0,8,0.3058701095461672,-0.05637732545929114,0.023067196066084594
2.8,150.0,8,0.2666525821596263,-0.09559485284583208,-0.016150331320456346
2.8,300.0,8,0.28451799687011026,-0.0777294381353481,0.0017150833900276274
2.8,600.0,8,0.3085086071987485,-0.053738827806709855,0.02570569371866588
4.0,10.0,8,0.3583677621283256,-0.003879672877132756,0.07556484864824298
4.0,50.0,8,0.2500078247261366,-0.11223961027932178,-0.032795088753946045
4.0,150.0,8,0.3135117370892032,-0.04873569791625515,0.030708823609120584
4.0,300.0,8,0.253937402190923,-0.10831003281453538,-0.02886551128915965
4.0,600.0,8,0.2049029733959314,-0.15734446160952698,-0.07789994008415124
6.9,10.0,8,0.29355086071987563,-0.06869657428558273,0.010747947239792999
6.9,50.0,8,0.3026697965571221,-0.059577638448336245,0.019866883077039488
6.9,150.0,8,0.2117683881064165,-0.15047904689904187,-0.07103452537366614
6.9,300.0,8,0.28190453834115903,-0.08034289666429933,-0.0008983751389236017
6.9,600.0,8,0.22523630672926503,-0.13701112827619333,-0.057566606750817595
11.97,10.0,8,0.30936619718309927,-0.052881237822359095,0.026563283703016638
11.97,50.0,8,0.1808794992175285,-0.18136793578792987,-0.10192341426255414
11.97,150.0,8,0.2051267605633822,-0.15712067444207617,-0.07767615291670044
11.97,300.0,8,0.20498591549295853,-0.15726151951249984,-0.0778169979871241
11.97,600.0,8,0.26690140845070387,-0.09534602655475449,-0.01590150502937876
