formula_id,parameter,value,source_run
M0_B1_ND,E,1.6897975629375732,q2-m0-m1-20260925-r01
M0_B1_ND,A,0.353980320647387,q2-m0-m1-20260925-r01
M0_B1_ND,B,1.2403055835489103,q2-m0-m1-20260925-r01
M0_B1_ND,alpha,0.3399765819095136,q2-m0-m1-20260925-r01
M0_B1_ND,beta,0.2798781285449292,q2-m0-m1-20260925-r01
M1_B6B7_NDQ,E,1.4892660413046754,q2-m0-m1-20260925-r01
M1_B6B7_NDQ,A,0.5401729882501645,q2-m0-m1-20260925-r01
M1_B6B7_NDQ,B,1.3167948616197847,q2-m0-m1-20260925-r01
M1_B6B7_NDQ,G,0.36224743500545836,q2-m0-m1-20260925-r01
M1_B6B7_NDQ,alpha,0.27905392394495887,q2-m0-m1-20260925-r01
M1_B6B7_NDQ,beta,0.28280291348008263,q2-m0-m1-20260925-r01
