dataset,role,scale,loss_observed,index,q_low_0_100,q_high_0_100,q_range_width_0_100
A4_A5_train_1m,train,1m,True,1,62.56713059586314,62.59844995232088,0.0313193564577432
A4_A5_train_1m,train,1m,True,2,58.49481874143344,59.45291474683157,0.95809600539814
A4_A5_train_1m,train,1m,True,3,63.8308901432108,64.01241165881956,0.1815215156087646
A4_A5_train_1m,train,1m,True,4,56.32234151689883,58.76738380675164,2.4450422898528075
A4_A5_train_1m,train,1m,True,5,60.48983693106821,61.50224490015969,1.012407969091477
A4_A5_train_1m,train,1m,True,6,59.99101663594656,60.99324588115838,1.0022292452118222
A4_A5_train_1m,train,1m,True,7,59.64454726025998,64.16583417005786,4.52128690979788
A4_A5_train_1m,train,1m,True,8,59.369968802067135,64.30035131862691,4.930382516559774
A4_A5_train_1m,train,1m,True,9,61.10090692042493,64.32600554446415,3.2250986240392194
A4_A5_train_1m,train,1m,True,10,61.14571324773014,62.13879777890371,0.9930845311735652
A4_A5_train_1m,train,1m,True,11,56.28410747671423,64.1147598981793,7.830652421465075
A4_A5_train_1m,train,1m,True,12,57.17068931376651,62.89446322630519,5.723773912538682
A4_A5_train_1m,train,1m,True,13,61.58623150368282,64.33570995356357,2.749478449880748
A4_A5_train_1m,train,1m,True,14,59.87681102674002,62.54195999906214,2.665148972322122
A4_A5_train_1m,train,1m,True,15,59.700206595624095,61.24866569365008,1.5484590980259796
A4_A5_train_1m,train,1m,True,16,59.41461245975787,62.18920144094669,2.7745889811888205
A4_A5_train_1m,train,1m,True,17,61.362583720702304,63.48503350555324,2.122449784850936
A4_A5_train_1m,train,1m,True,18,62.12932773940608,63.6046909794799,1.4753632400738184
A4_A5_train_1m,train,1m,True,19,61.73917796499478,63.860108355587975,2.1209303905931947
A4_A5_train_1m,train,1m,True,20,60.83037461762391,62.67410821822585,1.8437336006019365
A4_A5_train_1m,train,1m,True,21,62.7549540865236,63.61147835072133,0.8565242641977235
A4_A5_train_1m,train,1m,True,22,55.4877122376181,58.74547385567387,3.257761618055774
A4_A5_train_1m,train,1m,True,23,59.262758790573216,63.69037794277657,4.427619152203356
A4_A5_train_1m,train,1m,True,24,56.02394220461786,64.14708390046518,8.123141695847316
A4_A5_train_1m,train,1m,True,25,59.70699221657228,62.7026108883598,2.9956186717875184
A4_A5_train_1m,train,1m,True,26,62.07232711102344,63.96129921449919,1.8889721034757516
A4_A5_train_1m,train,1m,True,27,58.854740132384485,62.592759899480754,3.7380197670962687
A4_A5_train_1m,train,1m,True,28,58.89668560604888,62.518412838252765,3.621727232203888
A4_A5_train_1m,train,1m,True,29,56.14953500157945,61.838000930565535,5.688465928986084
A4_A5_train_1m,train,1m,True,30,56.21305857505028,59.74118841039629,3.5281298353460144
A4_A5_train_1m,train,1m,True,31,59.54330816395079,60.1734131484803,0.6301049845295097
A4_A5_train_1m,train,1m,True,32,56.30075672735322,64.33570995356357,8.034953226210348
A4_A5_train_1m,train,1m,True,33,56.14699292927934,56.15022773231248,0.0032348030331377
A4_A5_train_1m,train,1m,True,34,53.12988793398893,54.26559173039828,1.135703796409345
A4_A5_train_1m,train,1m,True,35,61.228606975340966,61.81285083974961,0.5842438644086414
A4_A5_train_1m,train,1m,True,36,62.39385573799926,63.12093362924484,0.7270778912455782
A4_A5_train_1m,train,1m,True,37,59.77334223303141,62.737119776639005,2.9637775436075984
A4_A5_train_1m,train,1m,True,38,61.52949988209613,64.33144553592089,2.80194565382476
A4_A5_train_1m,train,1m,True,39,60.820719870513344,61.68767026711922,0.8669503966058798
A4_A5_train_1m,train,1m,True,40,58.883301960078285,64.189691632636,5.306389672557714
A4_A5_train_1m,train,1m,True,41,53.39960227973745,53.84003833082601,0.440436051088561
A4_A5_train_1m,train,1m,True,42,55.924176261634464,58.98035807384598,3.0561818122115127
A4_A5_train_1m,train,1m,True,43,60.90311152448663,61.540140827558766,0.6370293030721328
A4_A5_train_1m,train,1m,True,44,59.41518996456877,63.13483402166377,3.719644057095003
A4_A5_train_1m,train,1m,True,45,63.49217832347737,63.76599505618487,0.2738167327075018
A4_A5_train_1m,train,1m,True,46,60.65646154121735,62.38710247612599,1.7306409349086422
A4_A5_train_1m,train,1m,True,47,59.16671748991552,62.56567597662198,3.398958486706462
A4_A5_train_1m,train,1m,True,48,60.16839209187844,63.04664471949547,2.87825262761703
A4_A5_train_1m,train,1m,True,49,62.23469685312691,64.00057789986114,1.7658810467342292
A4_A5_train_1m,train,1m,True,50,62.07054639070592,63.647269256436914,1.576722865731
A4_A5_train_1m,train,1m,True,51,54.8284156866012,55.45335761392428,0.6249419273230785
A4_A5_train_1m,train,1m,True,52,57.67451532291773,63.93117403073837,6.256658707820641
A4_A5_train_1m,train,1m,True,53,56.09358724082557,64.07966346417332,7.986076223347752
A4_A5_train_1m,train,1m,True,54,63.66532535323887,64.19617979360754,0.530854440368671
A4_A5_train_1m,train,1m,True,55,58.79540963961525,63.78391264744594,4.988503007830694
A4_A5_train_1m,train,1m,True,56,59.988393492064,62.24757576464368,2.259182272579679
A4_A5_train_1m,train,1m,True,57,63.16612981803825,63.18271960719464,0.0165897891563915
