scenario,mixture_domain,q_domain_0_100,baseline_q_domain_0_100,delta_q_domain_0_100
S0_baseline,arxiv,63.862359595226806,63.862359595226806,0.0
S0_baseline,dm_mathematics,63.310069060266436,63.310069060266436,0.0
S0_baseline,enron_emails,62.804398361656744,62.804398361656744,0.0
S0_baseline,europarl,61.057670542439865,61.057670542439865,0.0
S0_baseline,freelaw,59.213674307236005,59.213674307236005,0.0
S0_baseline,github,51.70140753241471,51.70140753241471,0.0
S0_baseline,gutenberg_pg_19,56.03252048079162,56.03252048079162,0.0
S0_baseline,hackernews,62.833095003210914,62.833095003210914,0.0
S0_baseline,nih_exporter,63.40473913193378,63.40473913193378,0.0
S0_baseline,philpapers,61.7441012373794,61.7441012373794,0.0
S0_baseline,pile_cc,64.33570995356357,64.33570995356357,0.0
S0_baseline,pubmed_abstracts,63.357404096100105,63.357404096100105,0.0
S0_baseline,pubmed_central,63.357404096100105,63.357404096100105,0.0
S0_baseline,stackexchange,61.38787333596658,61.38787333596658,0.0
S0_baseline,ubuntu_irc,62.833095003210914,62.833095003210914,0.0
S0_baseline,uspto_backgrounds,60.225468450326034,60.225468450326034,0.0
S0_baseline,wikipedia_en,61.10090692042493,61.10090692042493,0.0
S1_c4_nih_exporter,arxiv,63.862359595226806,63.862359595226806,0.0
S1_c4_nih_exporter,dm_mathematics,63.310069060266436,63.310069060266436,0.0
S1_c4_nih_exporter,enron_emails,62.804398361656744,62.804398361656744,0.0
S1_c4_nih_exporter,europarl,61.057670542439865,61.057670542439865,0.0
S1_c4_nih_exporter,freelaw,59.213674307236005,59.213674307236005,0.0
S1_c4_nih_exporter,github,51.70140753241471,51.70140753241471,0.0
S1_c4_nih_exporter,gutenberg_pg_19,56.03252048079162,56.03252048079162,0.0
S1_c4_nih_exporter,hackernews,62.833095003210914,62.833095003210914,0.0
S1_c4_nih_exporter,nih_exporter,64.65609086107253,63.40473913193378,1.2513517291387473
S1_c4_nih_exporter,philpapers,61.7441012373794,61.7441012373794,0.0
S1_c4_nih_exporter,pile_cc,64.33570995356357,64.33570995356357,0.0
S1_c4_nih_exporter,pubmed_abstracts,63.357404096100105,63.357404096100105,0.0
S1_c4_nih_exporter,pubmed_central,63.357404096100105,63.357404096100105,0.0
S1_c4_nih_exporter,stackexchange,61.38787333596658,61.38787333596658,0.0
S1_c4_nih_exporter,ubuntu_irc,62.833095003210914,62.833095003210914,0.0
S1_c4_nih_exporter,uspto_backgrounds,60.225468450326034,60.225468450326034,0.0
S1_c4_nih_exporter,wikipedia_en,61.10090692042493,61.10090692042493,0.0
S2_c4_pubmed_abstracts,arxiv,63.862359595226806,63.862359595226806,0.0
S2_c4_pubmed_abstracts,dm_mathematics,63.310069060266436,63.310069060266436,0.0
S2_c4_pubmed_abstracts,enron_emails,62.804398361656744,62.804398361656744,0.0
S2_c4_pubmed_abstracts,europarl,61.057670542439865,61.057670542439865,0.0
S2_c4_pubmed_abstracts,freelaw,59.213674307236005,59.213674307236005,0.0
S2_c4_pubmed_abstracts,github,51.70140753241471,51.70140753241471,0.0
S2_c4_pubmed_abstracts,gutenberg_pg_19,56.03252048079162,56.03252048079162,0.0
S2_c4_pubmed_abstracts,hackernews,62.833095003210914,62.833095003210914,0.0
S2_c4_pubmed_abstracts,nih_exporter,63.40473913193378,63.40473913193378,0.0
S2_c4_pubmed_abstracts,philpapers,61.7441012373794,61.7441012373794,0.0
S2_c4_pubmed_abstracts,pile_cc,64.33570995356357,64.33570995356357,0.0
S2_c4_pubmed_abstracts,pubmed_abstracts,64.65609086107253,63.357404096100105,1.2986867649724232
S2_c4_pubmed_abstracts,pubmed_central,63.357404096100105,63.357404096100105,0.0
S2_c4_pubmed_abstracts,stackexchange,61.38787333596658,61.38787333596658,0.0
S2_c4_pubmed_abstracts,ubuntu_irc,62.833095003210914,62.833095003210914,0.0
S2_c4_pubmed_abstracts,uspto_backgrounds,60.225468450326034,60.225468450326034,0.0
S2_c4_pubmed_abstracts,wikipedia_en,61.10090692042493,61.10090692042493,0.0
S3_c4_uspto_backgrounds,arxiv,63.862359595226806,63.862359595226806,0.0
S3_c4_uspto_backgrounds,dm_mathematics,63.310069060266436,63.310069060266436,0.0
S3_c4_uspto_backgrounds,enron_emails,62.804398361656744,62.804398361656744,0.0
S3_c4_uspto_backgrounds,europarl,61.057670542439865,61.057670542439865,0.0
S3_c4_uspto_backgrounds,freelaw,59.213674307236005,59.213674307236005,0.0
S3_c4_uspto_backgrounds,github,51.70140753241471,51.70140753241471,0.0
S3_c4_uspto_backgrounds,gutenberg_pg_19,56.03252048079162,56.03252048079162,0.0
S3_c4_uspto_backgrounds,hackernews,62.833095003210914,62.833095003210914,0.0
S3_c4_uspto_backgrounds,nih_exporter,63.40473913193378,63.40473913193378,0.0
S3_c4_uspto_backgrounds,philpapers,61.7441012373794,61.7441012373794,0.0
S3_c4_uspto_backgrounds,pile_cc,64.33570995356357,64.33570995356357,0.0
S3_c4_uspto_backgrounds,pubmed_abstracts,63.357404096100105,63.357404096100105,0.0
S3_c4_uspto_backgrounds,pubmed_central,63.357404096100105,63.357404096100105,0.0
S3_c4_uspto_backgrounds,stackexchange,61.38787333596658,61.38787333596658,0.0
S3_c4_uspto_backgrounds,ubuntu_irc,62.833095003210914,62.833095003210914,0.0
S3_c4_uspto_backgrounds,uspto_backgrounds,62.09316382007678,60.225468450326034,1.8676953697507486
S3_c4_uspto_backgrounds,wikipedia_en,61.10090692042493,61.10090692042493,0.0
S4_c4_all_reviewed,arxiv,63.862359595226806,63.862359595226806,0.0
S4_c4_all_reviewed,dm_mathematics,63.310069060266436,63.310069060266436,0.0
S4_c4_all_reviewed,enron_emails,62.804398361656744,62.804398361656744,0.0
S4_c4_all_reviewed,europarl,61.057670542439865,61.057670542439865,0.0
S4_c4_all_reviewed,freelaw,59.213674307236005,59.213674307236005,0.0
S4_c4_all_reviewed,github,51.70140753241471,51.70140753241471,0.0
S4_c4_all_reviewed,gutenberg_pg_19,56.03252048079162,56.03252048079162,0.0
S4_c4_all_reviewed,hackernews,62.833095003210914,62.833095003210914,0.0
S4_c4_all_reviewed,nih_exporter,64.65609086107253,63.40473913193378,1.2513517291387473
S4_c4_all_reviewed,philpapers,61.7441012373794,61.7441012373794,0.0
S4_c4_all_reviewed,pile_cc,64.33570995356357,64.33570995356357,0.0
S4_c4_all_reviewed,pubmed_abstracts,64.65609086107253,63.357404096100105,1.2986867649724232
S4_c4_all_reviewed,pubmed_central,63.357404096100105,63.357404096100105,0.0
S4_c4_all_reviewed,stackexchange,61.38787333596658,61.38787333596658,0.0
S4_c4_all_reviewed,ubuntu_irc,62.833095003210914,62.833095003210914,0.0
S4_c4_all_reviewed,uspto_backgrounds,62.09316382007678,60.225468450326034,1.8676953697507486
S4_c4_all_reviewed,wikipedia_en,61.10090692042493,61.10090692042493,0.0
