scenario,dataset,role,n_rows,q_mean_0_100,q_sd_0_100,q_min_0_100,q_max_0_100,delta_mean_0_100,delta_mean_abs_0_100,delta_max_abs_0_100,spearman_vs_baseline,top10_overlap_vs_baseline,p_sum_max_abs_error,q_in_0_100
S0_baseline,A4_A5_train_1m,train,512,60.83759051961492,2.457047789920407,51.81511625420505,64.3193971459079,0.0,0.0,0.0,1.0,1.0,1.6653345369377348e-15,True
S0_baseline,A6_A7_test_1m,test,256,60.70709360966627,2.442018175823377,51.832182947054896,64.1772501175528,0.0,0.0,0.0,0.9999999999999998,1.0,1.6653345369377348e-15,True
S0_baseline,A8_A9_test_60m,test,256,60.70709360966627,2.442018175823377,51.832182947054896,64.1772501175528,0.0,0.0,0.0,0.9999999999999998,1.0,1.6653345369377348e-15,True
S0_baseline,A10_A11_test_1b,test,64,61.57099851808579,1.165360569448634,57.574426623055395,63.348278328602326,0.0,0.0,0.0,0.9999999999999998,1.0,1.1102230246251565e-15,True
S0_baseline,A12_A13_est_10b,estimate,63,60.95186118908111,2.274002501564761,53.683450569113695,63.957992906318374,0.0,0.0,0.0,1.0,1.0,1.2212453270876722e-15,True
S0_baseline,A14_A15_est_70b,estimate,63,60.95186118908111,2.274002501564761,53.683450569113695,63.957992906318374,0.0,0.0,0.0,1.0,1.0,1.2212453270876722e-15,True
S1_c4_nih_exporter,A4_A5_train_1m,train,512,60.844960581138665,2.457873034236441,51.81511625420505,64.3193971459079,0.007370061523737578,0.007370061523737578,0.07257840029004115,0.999929278819194,1.0,1.6653345369377348e-15,True
S1_c4_nih_exporter,A6_A7_test_1m,test,256,60.7144648693108,2.4424851948277184,51.832182947054896,64.1772501175528,0.007371259644531697,0.007371259644531697,0.06889323834096928,0.9999184596017393,1.0,1.6653345369377348e-15,True
S1_c4_nih_exporter,A8_A9_test_60m,test,256,60.7144648693108,2.4424851948277184,51.832182947054896,64.1772501175528,0.007371259644531697,0.007371259644531697,0.06889323834096928,0.9999184596017393,1.0,1.6653345369377348e-15,True
S1_c4_nih_exporter,A10_A11_test_1b,test,64,61.57895811509407,1.169335290597959,57.574426623055395,63.36581478927094,0.007959597008281194,0.007959597008281194,0.31659198747210127,0.9989010989010987,1.0,1.1102230246251565e-15,True
S1_c4_nih_exporter,A12_A13_est_10b,estimate,63,60.96261238365653,2.2759462540753415,53.68595327257198,63.957992906318374,0.010751194575431123,0.010751194575431123,0.06269297240173444,0.9997599846390169,1.0,1.2212453270876722e-15,True
S1_c4_nih_exporter,A14_A15_est_70b,estimate,63,60.96261238365653,2.2759462540753415,53.68595327257198,63.957992906318374,0.010751194575431236,0.010751194575431236,0.06269297240173444,0.9997599846390169,1.0,1.2212453270876722e-15,True
S2_c4_pubmed_abstracts,A4_A5_train_1m,train,512,60.92353912413576,2.484531390711098,51.81511625420505,64.33580767953414,0.0859486045208382,0.0859486045208382,0.7472962803437753,0.9939321942127006,0.7,1.6653345369377348e-15,True
S2_c4_pubmed_abstracts,A6_A7_test_1m,test,256,60.79538696890965,2.4566311992362797,51.83478292055835,64.1772501175528,0.08829335924337964,0.08829335924337964,0.7292925677172448,0.9949759670405125,0.7,1.6653345369377348e-15,True
S2_c4_pubmed_abstracts,A8_A9_test_60m,test,256,60.79538696890965,2.4566311992362797,51.83478292055835,64.1772501175528,0.08829335924337964,0.08829335924337964,0.7292925677172448,0.9949759670405125,0.7,1.6653345369377348e-15,True
S2_c4_pubmed_abstracts,A10_A11_test_1b,test,64,61.61107633657493,1.1688710636931492,57.577023996585346,63.518508038397705,0.040077818489146155,0.040077818489146155,0.454929196113099,0.9973901098901098,0.9,1.1102230246251565e-15,True
S2_c4_pubmed_abstracts,A12_A13_est_10b,estimate,63,61.02035940877331,2.2824999742979313,53.696437436763425,63.961888966613294,0.06849821969220261,0.06849821969220261,0.7090829736749384,0.9936155913978496,0.9,1.2212453270876722e-15,True
S2_c4_pubmed_abstracts,A14_A15_est_70b,estimate,63,61.02035940877331,2.2824999742979313,53.696437436763425,63.961888966613294,0.06849821969220272,0.06849821969220272,0.7090829736749455,0.9936155913978496,0.9,1.2212453270876722e-15,True
S3_c4_uspto_backgrounds,A4_A5_train_1m,train,512,60.978722459083706,2.4656078425839443,51.81511625420505,64.3193971459079,0.14113193946878186,0.14113193946878186,1.2688351309529082,0.9859684170471842,0.9,1.6653345369377348e-15,True
S3_c4_uspto_backgrounds,A6_A7_test_1m,test,256,60.84690932240187,2.4561621530575266,51.832182947054896,64.1772501175528,0.13981571273559507,0.13981571273559507,1.2954573672422853,0.9868691348134584,0.8,1.6653345369377348e-15,True
S3_c4_uspto_backgrounds,A8_A9_test_60m,test,256,60.84690932240187,2.4561621530575266,51.832182947054896,64.1772501175528,0.13981571273559507,0.13981571273559507,1.2954573672422853,0.9868691348134584,0.8,1.6653345369377348e-15,True
S3_c4_uspto_backgrounds,A10_A11_test_1b,test,64,61.65536431560473,1.1711528319966276,57.671546782282434,63.3520174584717,0.08436579751894013,0.08436579751894013,0.57338247851348,0.9863553113553112,0.9,1.1102230246251565e-15,True
S3_c4_uspto_backgrounds,A12_A13_est_10b,estimate,63,61.10299829905468,2.2453891138627515,53.698392132071696,64.05338531007651,0.15113710997358423,0.15113710997358423,1.25570328056169,0.9885272657450076,0.9,1.2212453270876722e-15,True
S3_c4_uspto_backgrounds,A14_A15_est_70b,estimate,63,61.10299829905468,2.2453891138627515,53.698392132071696,64.05338531007651,0.15113710997358412,0.15113710997358412,1.25570328056169,0.9885272657450076,0.9,1.2212453270876722e-15,True
S4_c4_all_reviewed,A4_A5_train_1m,train,512,61.07204112512829,2.4937341957612906,51.81511625420505,64.33580767953414,0.23445060551335736,0.23445060551335736,1.4064270985151595,0.9798306947448531,0.7,1.6653345369377348e-15,True
S4_c4_all_reviewed,A6_A7_test_1m,test,256,60.94257394128978,2.4701145803264852,51.83478292055835,64.1772501175528,0.23548033162350612,0.23548033162350612,1.3091947614743447,0.9825868333714808,0.6,1.6653345369377348e-15,True
S4_c4_all_reviewed,A8_A9_test_60m,test,256,60.94257394128978,2.4701145803264852,51.83478292055835,64.1772501175528,0.23548033162350612,0.23548033162350612,1.3091947614743447,0.9825868333714808,0.6,1.6653345369377348e-15,True
S4_c4_all_reviewed,A10_A11_test_1b,test,64,61.703401731102154,1.1787223590918148,57.674144155812385,63.56706811801122,0.1324032130163677,0.1324032130163677,0.57338247851348,0.9825091575091573,0.9,1.1102230246251565e-15,True
S4_c4_all_reviewed,A12_A13_est_10b,estimate,63,61.182247713322305,2.2535223538692293,53.7138817031797,64.05338531007651,0.2303865242412182,0.2303865242412182,1.257000669937284,0.9846870199692782,0.8,1.2212453270876722e-15,True
S4_c4_all_reviewed,A14_A15_est_70b,estimate,63,61.182247713322305,2.2535223538692293,53.7138817031797,64.05338531007651,0.2303865242412182,0.2303865242412182,1.257000669937284,0.9846870199692782,0.8,1.2212453270876722e-15,True
